,co2
2015,406.717941991202
2016,408.6537729357746
2017,411.5679506129168
2018,414.28830794579136
2019,416.98358638400583
2020,419.3054004407978
2021,422.4630506911472
2022,426.06609565708936
2023,428.70432635072535
2024,430.80234254887813
2025,433.6695758561246
2026,437.510515435787
2027,440.6302524193984
2028,444.25599387434204
2029,447.91588894773514
2030,451.15361680537785
2031,454.98667565108695
2032,459.27004409599766
2033,463.9740842161378
2034,468.61542701207287
2035,473.1579971539528
2036,477.95193674869904
2037,482.4527023463876
2038,486.70199440355435
2039,491.32783961145714
2040,497.17243573583994
2041,501.9975689637744
2042,506.5952708925759
2043,511.39808557855326
2044,515.9100503723018
2045,519.7038668996988
2046,523.4194791992818
2047,527.8546394333597
2048,531.295670538022
2049,534.080617190983
2050,537.8130833874253
2051,541.9773594700922
2052,544.8755708894098
2053,546.7357023107264
2054,548.5503852049436
2055,549.806247607816
2056,550.7778585278454
2057,552.2979114561978
2058,553.5855709371857
2059,554.1232956682371
2060,554.44187742806
2061,553.6788399422642
2062,553.2025387331496
2063,552.4188690481196
2064,550.7639692478396
2065,548.8707467668894
2066,548.0726683860331
2067,547.5736136679943
2068,545.9183674979465
2069,544.018786826013
2070,541.4209897671575
2071,538.2922128965446
2072,535.4124970904168
2073,532.7587571365906
2074,531.2364081100147
2075,529.9516639313723
2076,527.4155179543518
2077,524.6431253176204
2078,521.9386870558544
2079,519.5661530350008
2080,516.7584686607102
2081,513.6624508265747
2082,509.87615105239803
2083,507.2642841394089
2084,504.98444340821527
2085,502.06649610917765
2086,499.5523388322369
2087,496.76618234918374
2088,493.81967833711775
2089,491.08547274782825
2090,488.2685842452816
2091,485.4124572031573
2092,483.1852347737968
2093,480.4402211364558
2094,477.66810517004245
2095,475.1730614713393
2096,473.18918819434293
2097,471.4101330372997
2098,468.11949708707175
2099,465.17475894492935
2100,462.86062100108785
2101,460.1561143673731
2102,456.3460398021193
2103,453.7474873719215
2104,452.0770962057683
2105,450.69284370676286
2106,447.6904822411231
2107,443.90256250548634
2108,441.1625186075552
2109,439.7551192466096
2110,437.82348795199476
2111,435.24932596421695
2112,432.85106596915125
2113,430.71256012940694
2114,428.6304752591781
2115,427.0802498303795
2116,425.1359918176109
2117,422.0682385413384
2118,419.08861777687014
2119,416.91270276762395
2120,414.88105796442034
2121,413.2574220674607
2122,412.4619844499384
2123,409.99043494976354
2124,407.23612635913673
2125,405.76470588045447
2126,404.2685440165001
2127,402.5017921278755
2128,400.61126834648417
2129,398.125846139636
2130,395.5500201671147
2131,393.91446033294426
2132,391.9937075422343
2133,390.5182570843051
2134,388.9373415635762
2135,388.45434553870535
2136,386.6558583744149
2137,384.28733633788613
2138,382.19877641890184
2139,380.36172367346734
2140,378.8130644729295
2141,377.6469179836668
2142,376.1455397682255
2143,374.62896485222205
2144,373.06459462071433
2145,372.30298977365806
2146,371.29614028712297
2147,370.14351727577366
2148,368.7412630198435
2149,367.94673070948386
2150,367.0891251423422
2151,365.60400865899373
2152,364.05076712656376
2153,364.0500624330697
2154,363.9580129837462
2155,363.1964145241685
2156,361.54631009211903
2157,361.008429210221
2158,361.0669108774666
2159,360.9224362654357
2160,360.5915703969574
2161,360.2427370605254
2162,359.9239739574821
2163,360.3932472299369
2164,360.7667447438073
2165,360.8731426611856
2166,360.69515715331505
2167,361.49769273521156
2168,362.2615925184231
2169,362.30198976637473
2170,362.0925660052394
2171,362.3229613766952
2172,362.67810597273404
2173,363.3727599869714
2174,363.9759117655256
2175,363.95649680642487
2176,364.1054715312049
2177,365.8255019515987
2178,365.74502459717854
2179,364.99909649493776
2180,364.30780795494275
2181,363.6192056815941
2182,363.78926936372216
2183,363.732853777998
2184,363.9563202911046
2185,364.8366796379657
2186,365.2917544162037
2187,365.383804124074
2188,364.4119495002299
2189,363.84576301124787
2190,364.0155531462534
2191,364.37518798973684
2192,364.9996751745461
2193,365.15236957286646
2194,364.685894506728
2195,364.7732868722604
2196,364.7331381800375
2197,364.1611695883081
2198,364.764524439233
2199,365.5642749331843
2200,365.5130577151302
2201,364.43085754983605
2202,363.96249946004576
2203,364.1060263052688
2204,365.22953841803945
2205,365.981105672199
2206,365.6195199987926
2207,364.7805415729301
2208,364.03159843235886
2209,364.30372195813044
2210,364.57898447959667
2211,364.9993601304301
2212,365.7656799370349
2213,365.3682835729536
2214,364.3837446108515
2215,363.5778980363454
2216,363.49737910640374
2217,363.4957236759901
2218,363.7756608887095
2219,364.048652372209
2220,364.0199312982213
2221,364.09300166348714
2222,364.38348287950294
2223,364.5851897726011
2224,365.1732820711225
2225,363.8546560759274
2226,362.9381709113736
2227,362.6540968715455
2228,363.5980459381529
2229,363.4995187227721
2230,362.5097469600314
2231,362.5864865262262
2232,362.6956280140119
2233,362.2392771956608
2234,361.81427689962914
2235,362.2168091725504
2236,362.70008242165693
2237,363.11751421733726
2238,363.2949508964373
2239,363.4712548710091
2240,363.2418981280675
2241,363.74309600007126
2242,364.16626294550645
2243,364.0789024646052
2244,363.1775739778643
2245,362.194784036123
2246,361.96590076686823
2247,362.128925794062
2248,361.9088059401105
2249,361.3000513477554
2250,361.710596309724
2251,362.4185616248091
2252,362.01358498908894
2253,361.3005707028727
2254,361.4685156941188
2255,361.0704615792864
2256,361.0142504719037
2257,361.1500854974277
2258,360.99730572974096
2259,361.0661238214784
2260,360.6101834799277
2261,360.86448922151004
2262,361.3291086655021
2263,360.7625194459191
2264,359.8387027436242
2265,359.93295636361006
2266,360.3082733570963
2267,360.0935284455348
2268,359.96247984258997
2269,359.86362601498166
2270,359.56540987576943
2271,359.5527640861053
2272,359.50265676422634
2273,359.1017767604534
2274,358.67461131524055
2275,358.9308225650773
2276,360.25747852275794
2277,360.2221363006009
2278,358.696835707235
2279,358.1879065287816
2280,358.44804254535757
2281,359.00226898874917
2282,359.3449694714268
2283,359.39219296308966
2284,359.38573189420083
2285,358.7039819078039
2286,358.035353192137
2287,358.81966360096476
2288,358.8611160318789
2289,358.76650439667225
2290,359.6665179368996
2291,359.4317822000402
2292,358.43182878959885
2293,358.5331196641053
2294,359.07007295558196
2295,359.9544299845515
2296,360.5755055620023
2297,360.5464049198903
2298,359.70387788792965
2299,358.8146560514678
