,co2
2015,408.3752396613141
2016,410.8017399212976
2017,414.1486595304185
2018,417.38075503585554
2019,419.60562906146714
2020,421.70671416454405
2021,424.49069529465856
2022,427.795226399571
2023,431.92163212794475
2024,435.1944799627135
2025,437.2042421935295
2026,440.1565195134366
2027,444.26502970814056
2028,448.07814172649387
2029,451.26474885907317
2030,454.67570001087876
2031,458.31515171410956
2032,462.5735729868883
2033,467.40978115837606
2034,472.5494711859691
2035,477.22132593079067
2036,481.68008245172166
2037,486.6068143009528
2038,491.44675636123037
2039,496.5205144700316
2040,501.4579207236163
2041,505.9385656158457
2042,510.7777727723123
2043,514.7761947775489
2044,519.4210829301533
2045,523.8094971910992
2046,528.9790139759286
2047,532.857317754656
2048,535.6099004440075
2049,538.2607054031006
2050,541.4562017783468
2051,545.4798773536592
2052,548.6381240133707
2053,549.6612439620113
2054,551.2236813881885
2055,553.4533187221704
2056,555.7180785999975
2057,556.6682410741179
2058,556.4779044926222
2059,556.1961514269514
2060,555.7838359976441
2061,556.3100128659822
2062,556.369269117299
2063,555.7916210126842
2064,554.0192221251688
2065,552.5822643416919
2066,552.1375827574258
2067,550.0858027255952
2068,547.6236241409802
2069,546.2403415858403
2070,544.2455320894466
2071,541.9754928069668
2072,539.7045917346767
2073,537.3071213886724
2074,535.1313405037218
2075,532.084837090451
2076,528.7644349119098
2077,525.987102019248
2078,523.852763138866
2079,520.2821478686257
2080,516.7802400363124
2081,513.9783056495379
2082,511.4232264401677
2083,508.50783429787225
2084,505.637254934009
2085,502.6352020941906
2086,500.8192212267292
2087,499.1558594228497
2088,495.68431851097176
2089,492.21726289772636
2090,489.8696862112703
2091,487.4380872764962
2092,484.3012456872647
2093,481.06476247489235
2094,479.2283989820488
2095,478.0997867795045
2096,474.06015541656546
2097,470.73785623683665
2098,467.9806444511274
2099,465.41740593443524
2100,463.34484023824723
2101,461.20794470361807
2102,458.33628846321193
2103,455.1829827674715
2104,452.9649455702889
2105,450.97726137768746
2106,448.37051997560206
2107,446.02468307195267
2108,443.1477056058734
2109,440.668128096283
2110,439.18587298043957
2111,437.46670505213075
2112,434.23305673476233
2113,431.40848406397566
2114,428.97559250930743
2115,426.3487584094978
2116,424.0837466107762
2117,421.5733422634562
2118,419.4448301126189
2119,417.7369298489069
2120,415.7063114604021
2121,413.8128930834275
2122,411.7575793623546
2123,409.19247122552883
2124,406.86208769823435
2125,404.5442768889672
2126,403.6358931985195
2127,402.5819077100777
2128,400.290068862032
2129,397.14230834173
2130,394.8688415942916
2131,393.3262071801055
2132,391.7594766595147
2133,390.5626866040437
2134,388.7203014847334
2135,386.8051642977865
2136,386.0533319862575
2137,385.60764696624045
2138,382.9613127913623
2139,380.57289979636744
2140,378.9252768497378
2141,376.84666430802133
2142,375.1047861421721
2143,373.3327963606706
2144,372.50010053159093
2145,372.2937221856273
2146,370.6554634328202
2147,369.21014617996974
2148,368.3586811483353
2149,367.1013003197947
2150,365.929797838523
2151,365.11081888928237
2152,364.24307438173525
2153,363.4216087311191
2154,363.196221745292
2155,362.77434300356936
2156,361.9515514397076
2157,361.57002462376613
2158,361.7280016562265
2159,361.77800337155696
2160,362.20662677796975
2161,361.70512141253437
2162,360.28099407025405
2163,360.0591068334735
2164,361.0070690318473
2165,362.0332975836544
2166,362.0326749255921
2167,362.32800472861453
2168,362.1542215290938
2169,361.826060377455
2170,361.4898472107733
2171,361.96834986670837
2172,363.386397045959
2173,362.69001722003844
2174,362.0358241586319
2175,361.98453510477384
2176,362.8849715856502
2177,363.9490098609023
2178,364.06878996862207
2179,364.13931560380814
2180,364.32753664615234
2181,364.3929265528331
2182,365.134537186639
2183,365.2500227003255
2184,364.6081766702626
2185,364.397886833485
