,nonCO2_erf
1850,0.3025992562223143
1851,-0.06539834639504542
1852,-0.2184189132777168
1853,0.09214970678333698
1854,-0.16114189053628342
1855,-0.19779385899646065
1856,0.4637007453381132
1857,-0.014451142896810952
1858,0.45947602071196514
1859,0.23441796516230134
1860,0.7061131028871022
1861,-0.44381948647427205
1862,-0.6613595918892315
1863,-0.25013119877142914
1864,-0.026712334267307843
1865,-0.4186418952099177
1866,-0.15288052967466698
1867,0.1862221306067734
1868,0.25261602594875054
1869,0.042679765854413645
1870,-0.2524895726595966
1871,-0.3801683930854975
1872,0.38225563297931064
1873,-0.2775278133795267
1874,0.27176167458847694
1875,-0.14325743716378483
1876,-0.5177705868011662
1877,-0.1477583416620321
1878,0.11391838953554913
1879,0.348314640270972
1880,-0.2484899055521466
1881,-0.3198477234130189
1882,0.03201851751190782
1883,-1.2944740533459191
1884,-2.756475844439929
1885,-1.2823612795444406
1886,-0.12303957600559748
1887,-0.40528079274334333
1888,-0.1935301234279264
1889,0.3190419891812734
1890,-0.45131553999819723
1891,-0.30958487129881396
1892,-0.4942872254221735
1893,-0.23647755835605205
1894,0.29302389255612316
1895,0.19261428520955579
1896,-0.10941755058288688
1897,-0.3078782509984638
1898,-0.9723003738571032
1899,-0.7554750313201
1900,-0.03829289524999918
1901,-0.2954620911638624
1902,-1.1511317858167127
1903,-1.4803855391329868
1904,-0.6032944641030109
1905,-0.6028768524880492
1906,-0.3756680825664694
1907,-0.43436181611216784
1908,-0.8127490028236596
1909,-0.394797309705954
1910,0.15788494985971385
1911,-0.02587621987419758
1912,-0.6968645287859584
1913,-0.6991579685861908
1914,-0.9753394702138617
1915,-0.9995272796359549
1916,0.598156827646023
1917,0.2451791527645399
1918,0.4979885731259122
1919,0.13505647356000827
1920,0.09408194949293897
1921,0.4180665127940222
1922,-0.3794272094065917
1923,-0.12053939846200101
1924,-0.5256171384903036
1925,-0.6912047643643043
1926,-0.06787686068365562
1927,0.33619371625031763
1928,0.14105061112587886
1929,-0.5078692921750193
1930,0.2554692786459538
1931,0.22012544200422696
1932,-0.9089370910072667
1933,-0.46968455090187755
1934,-0.5211133902324261
1935,0.1964223426415711
1936,0.9836588198889908
1937,0.49197618362530104
1938,-0.35797927356956144
1939,-0.5397615368387062
1940,0.23850306220889084
1941,0.43031234933054074
1942,0.7024592570995185
1943,0.05203352784087878
1944,-0.8463840962257447
1945,-0.21116168778993272
1946,-0.5521129709252217
1947,-0.004954580223152982
1948,0.24498830000865301
1949,0.11061297283939342
1950,0.6835798346911904
1951,0.022371169827957837
1952,-0.4048271086817991
1953,-1.0344797097798724
1954,-0.3239399529599724
1955,0.0996297839940653
1956,0.19518274446309758
1957,0.38776036341305664
1958,0.1494283323718686
1959,0.4402038754947152
1960,0.0522150061640555
1961,-0.12358367077636534
1962,0.6289574655688419
1963,-1.180839305664565
1964,-1.1108047314266343
1965,-0.979301893374951
1966,-0.07135511379384651
1967,0.2717039307066569
1968,0.12381161263023632
1969,0.10972952099585731
1970,-0.23279836667812182
1971,0.19483402634594227
1972,0.006223440811895298
1973,0.41925683060260055
1974,0.18017315334302286
1975,-0.5457859697374282
1976,-0.573232594754671
1977,-0.4945433752773065
1978,-0.28578479524404865
1979,0.3378280981813604
1980,0.03157540630921862
1981,0.058176721604088044
1982,-0.525021430115902
1983,-1.0325492830271543
1984,-0.7428860218885102
1985,-0.12866754628835153
1986,0.07562609362176032
1987,0.09442639388268415
1988,0.21734071358744278
1989,0.2534318925869612
1990,0.3658730872549263
1991,-1.0953160311769223
1992,-1.2418454614071457
1993,-0.8314575421617189
1994,-0.2251582266959018
1995,0.4682292655026128
1996,0.20286872238842157
1997,0.17963622472697316
1998,0.35458474635888004
1999,0.7681448224689016
2000,0.6062422348510275
2001,0.7304265897494657
2002,0.6877063485096588
2003,1.2053284906725406
2004,0.7251514099393854
2005,-0.8640278723428587
2006,0.265321907625347
2007,0.39983557082134835
2008,0.4355879190629075
2009,0.45354584494599726
2010,0.8439954015801114
2011,0.7412520657615747
2012,0.5150857531274751
2013,0.5420931159871452
2014,0.574187952475167
2015,0.685666395918267
2016,0.4507538390704342
2017,0.5695305398015509
2018,0.47815417694920104
2019,0.43789791150036805
2020,0.68697356779994
2021,0.3758292867427526
2022,0.6827809842902601
2023,0.6425289143128938
2024,-0.17904944688484337
2025,0.589883788540821
2026,0.8709442164272665
2027,0.3584466067516714
2028,0.4922049108388924
2029,0.9375720198055992
2030,0.020046042182265467
2031,0.5713819524149222
2032,1.1771912551625827
2033,1.014859053572339
2034,0.7620291662319048
2035,-0.4856876446830918
2036,0.3528704672142817
2037,0.8996128578547014
2038,1.0806729972183984
2039,0.6679573594065813
2040,0.7915322568023364
2041,-0.04559539704709081
2042,0.4392903466945106
2043,0.49047536614885257
2044,0.22339098794380918
2045,0.2632337923492085
2046,0.3771620865946561
2047,0.9948141137685638
2048,1.0872011278827762
2049,0.7594738258403622
2050,0.7860111413695998
2051,0.5525200816003331
2052,0.216123904977521
2053,0.23993599890217432
2054,0.9311747973980102
2055,1.1647716548348228
2056,0.738103022116726
2057,0.18259274851723717
2058,1.046339819224345
2059,1.1178245227536419
2060,0.5688761745134103
2061,0.07312601840589483
2062,1.0875743123403643
2063,0.5627248649003054
2064,0.45509140097710343
2065,1.0701201650026162
2066,1.6097452408939832
2067,1.4160674628140253
2068,0.922135700728921
2069,-0.47598122468995996
2070,0.8697055745325954
2071,0.9979164040658803
2072,0.5798330845084934
2073,1.0468706013714906
2074,0.666215739090755
2075,0.332673111090525
2076,0.6452951243468945
2077,-0.22679805915994677
2078,0.5308446629742756
2079,1.0689408200098232
2080,1.2253411799210996
2081,1.2088020354424307
2082,0.7333471820924498
2083,0.349357946395088
2084,0.792047222599698
2085,0.6515655794587163
2086,0.9284261024481548
2087,0.8299586692533536
2088,0.039311118272950196
2089,0.37492986330023825
2090,1.1714665579649495
2091,0.559013883115635
2092,0.3066184124410807
2093,0.28991544858224483
2094,0.648748404122121
2095,0.8857406760399407
2096,1.6489527218738482
2097,1.162058308978878
2098,-0.13297461571951708
2099,0.21586386473811192
2100,0.36255527025912215
2101,1.0770125539821294
2102,0.29890138705086233
2103,0.8914094206770864
2104,1.125797120918545
2105,1.1132073519724068
2106,0.5904770005240785
2107,0.795727459812726
2108,0.8627040977719771
2109,0.7647575269200706
2110,0.34090809526668764
2111,0.836277952574144
2112,1.4311102905948703
2113,0.9606865460236769
2114,0.9518941226587296
2115,0.5037202237237137
2116,0.9989830466263729
2117,1.0553929487132647
2118,0.9913609465620645
2119,0.8775180930610968
2120,-0.002863817474822561
2121,-0.12888912671516373
2122,1.2436411219422139
2123,1.1241094024866713
2124,0.9701429614725052
2125,0.6345795248929722
2126,1.2435936557408809
2127,0.6943808680274195
2128,-0.46804913233003465
2129,1.0963050039487667
2130,1.4449071417867057
2131,0.5891094008452651
2132,0.29967293901759007
2133,0.8213310605450523
2134,1.1503193420401896
2135,-0.03225103007424224
2136,0.39359046348787174
2137,0.8414103736546164
2138,0.5289678798343456
2139,0.7060243711828749
2140,1.0854616061542677
2141,-0.3591628147901744
2142,0.18882156682452944
2143,0.7480732537760479
2144,0.7659619062133523
2145,1.0061743806548789
2146,0.9032869474919547
2147,0.5450717531520946
2148,1.0164105752622596
2149,1.0552759119581863
2150,0.292228688704558
2151,1.1461795587938228
2152,0.5209619745579408
2153,0.14838052146574565
2154,0.9156950567539663
2155,1.24851446385241
2156,0.8604508193492535
2157,1.4497858925368865
2158,0.8153859449507133
2159,-0.04782534192342691
2160,0.6561155307041817
2161,1.3262204160115427
2162,0.968363535567021
2163,0.9706055857763491
2164,1.4075863685480519
2165,0.025000193930535097
2166,-0.628774100339994
2167,0.8080208436020833
2168,1.2122732920744523
2169,1.2925488873145383
2170,0.9628641096588586
2171,0.5107464025488637
2172,0.5977767758827373
2173,0.49240075094101776
2174,0.9367106464304076
2175,0.905638496281667
2176,0.7991932902092618
2177,1.3177040739839843
2178,0.7348958583855252
2179,1.358009908044484
2180,0.47780690020378636
2181,0.8697822901253334
2182,1.0425203539738046
2183,0.7875841700539965
2184,0.565088288241788
2185,0.2042233929933408
2186,0.836680594941269
2187,1.3475743278737617
2188,1.1102896469874635
2189,0.8916097975970354
2190,1.031550783251908
2191,0.922922128233683
2192,0.4771562326514678
2193,0.33361719856859207
2194,-0.024927656168581613
2195,0.9196124437310615
2196,0.8570384712058949
2197,1.1491900336829328
2198,0.9776902633186433
2199,0.6473666996675487
2200,1.2043432436832786
2201,0.12010173395633661
2202,0.48890124506558497
2203,1.6509901817587034
2204,1.5572330232469573
2205,1.3444922003047042
2206,1.1575913963531432
2207,1.8243972724238535
2208,1.7678981463378287
2209,0.4372358977114903
2210,-0.03905795988839511
2211,1.25561189397233
2212,0.9760505721450485
2213,0.7905648178559437
2214,1.1344178183564386
2215,1.3009343151441835
2216,1.1599701194281051
2217,1.406534116571005
2218,0.8273583623433423
2219,0.5415033388952386
2220,1.5275346739320943
2221,1.4499894609271653
2222,1.791123626392559
2223,0.8693408142502816
2224,0.9089324376453849
2225,1.4745324106552804
2226,1.222458714611066
2227,1.2260067963575905
2228,1.3368738209701903
2229,1.6025237120451177
2230,1.5931840651659215
2231,0.8810603097911978
2232,0.985677332625043
2233,1.3592624861344849
2234,1.035324379657932
2235,0.5135743319645858
2236,1.1314234523359907
2237,0.5706515907740766
2238,1.362313928213391
2239,1.9513831838303224
2240,1.032881612351333
2241,1.3221796520419486
2242,1.6478028631287787
2243,0.8538578518425384
2244,0.1056094499155984
2245,1.584082755386163
2246,2.0422865257842355
2247,1.8798254158024719
2248,1.0801498957315108
2249,0.7710605887369137
2250,1.4228022083687968
2251,1.010882459850361
2252,0.8441553668435926
2253,1.4259309440931096
2254,1.6727803978129296
2255,0.6508310533393269
2256,0.8102650801947435
2257,1.6662523595654264
2258,1.5015604373459084
2259,1.7493479067979285
2260,1.0752916538793515
2261,1.5300958655594954
2262,1.795380771868321
2263,1.3462388049492375
2264,1.8977473413542372
2265,1.2485225361127288
2266,0.5404638784398834
2267,1.2869783755130264
2268,1.4684423780547302
2269,2.0010441288098972
2270,1.448507850908542
2271,1.5153850230147867
2272,1.3898164952361496
2273,0.7856949745429782
2274,0.7362527440771345
2275,0.8548824339487622
2276,1.401267014272423
2277,1.372141434331593
2278,1.553994739404735
2279,1.6865726847370235
2280,1.7922212318716975
2281,1.686897796601408
2282,1.5652310613077907
2283,1.0783473417642329
2284,0.997391926302571
2285,1.3810633674184327
2286,1.6813780036587591
2287,1.845267416796041
2288,0.8291210496918273
2289,0.8814000326039739
2290,1.5560253802053765
2291,2.1602141913767987
2292,1.6507645661448729
2293,0.7933427660474974
2294,1.3752058948436687
2295,1.9058076325528974
2296,1.1756352364094989
2297,1.3843255069814084
2298,1.577855587338778
2299,1.3559468686667522
