,co2
2101,360.3388582952466
2102,359.0399094191264
2103,357.54456121842526
2104,356.3540869197568
2105,354.86373418494316
2106,353.6346741861959
2107,352.8120735696368
2108,351.8296531416253
2109,350.1369236565153
2110,349.1279362525308
2111,348.5136563189262
2112,347.3595717079469
2113,346.0347577948544
2114,345.1309400998738
2115,344.3315086593995
2116,343.6577445845596
2117,342.67691153876376
2118,342.0294320604037
2119,341.52784588598547
2120,340.42091393302456
2121,339.2714309850582
2122,338.8894987101425
2123,337.95762845699755
2124,336.8671712199433
2125,336.25959310555487
2126,336.1839688015979
2127,335.587274326891
2128,334.6970097154203
2129,334.48385301239955
2130,334.14910075602796
2131,333.48196981605025
2132,332.67071947765345
2133,332.28797487816854
2134,331.7372497659229
2135,330.98097087463003
2136,330.4862423800771
2137,330.4873098179605
2138,329.9857221339961
2139,329.3301748857678
2140,328.95022209770315
2141,329.15468117268796
2142,328.88981241593075
2143,328.52073137987105
2144,328.11204588871544
2145,327.5476769314923
2146,327.06759028067313
2147,326.92127005818594
2148,326.4005873690859
2149,325.8419761042538
2150,325.3346477102935
2151,325.02829464164097
2152,324.7580167089803
2153,324.58706342794403
2154,324.6590499141611
2155,324.59617438860914
2156,324.44308847423054
2157,324.25296716375925
2158,324.010150518871
2159,323.73283725162224
2160,323.6284751498557
2161,323.47569501293685
2162,323.5875865426445
2163,323.5474363865835
2164,323.132552226842
2165,322.93729327009703
2166,323.1092748351613
2167,322.7860418317839
2168,322.3530663264617
2169,322.5048367656407
2170,322.3368869155379
2171,322.40190382677486
2172,322.54548214721444
2173,322.2795685957673
2174,322.0947502268831
2175,321.86986953865954
2176,321.9696543188465
2177,321.9167470818761
2178,321.5317232562653
2179,321.3303856398605
2180,321.3048746858275
2181,321.47172643538903
2182,321.651650100597
2183,321.81549945703813
2184,321.73404443639083
2185,321.7722694492654
2186,322.1483305327822
2187,322.4204789819248
2188,322.2648881642576
2189,321.91838748690344
2190,321.93624872102953
2191,322.14957421018886
2192,322.31956496680533
2193,322.7792013230071
2194,323.27622489392144
2195,323.22412384898877
2196,323.2443996023222
2197,323.4687979905228
2198,323.62997158191064
2199,323.8560228288949
2200,324.2943140126004
2201,324.26251268504774
2202,323.9972862601787
2203,324.1157075208315
2204,323.92187310400175
2205,323.69418333892287
2206,324.0912614573227
2207,324.31873998027487
2208,324.2800143641292
2209,324.33123883443096
2210,324.3587055943083
2211,324.1143910078188
2212,324.0075036238896
2213,323.97394301454335
2214,323.96594109862986
2215,324.2913081286543
2216,324.2741855343717
2217,324.2461777908614
2218,324.4632460112242
2219,324.37867321151595
2220,324.35560272201644
2221,324.2185834743269
2222,323.96709448630213
2223,324.1660622094603
2224,324.3463703372258
2225,324.0560323276504
2226,324.0134523682263
2227,323.8836706399741
2228,323.64910272180924
2229,323.89694813694905
2230,324.454982566425
2231,324.4787849971566
2232,324.59575652734117
2233,324.57747507328116
2234,324.41380742846854
2235,324.2155599475592
2236,324.13784463902283
2237,324.46056232105326
2238,324.30706675356424
2239,324.0113524007162
2240,323.80286783764836
2241,324.0052228882175
2242,324.4192149061324
2243,324.3759547074349
2244,324.4528953357113
2245,324.2905564689745
2246,324.1585994845936
2247,324.0409451677763
2248,323.9903691419304
2249,324.2257929728122
2250,324.8520565335726
2251,324.4484624588372
2252,324.2090522937278
2253,324.4116000001356
2254,324.50670641349154
2255,324.34486569701323
2256,324.08475021831913
2257,323.89853995345686
2258,324.035655717759
2259,323.9898147610745
2260,323.8059405190154
2261,323.77567581518616
2262,323.5771003853567
2263,323.38039613243564
2264,323.5612004291802
2265,323.7353823465793
2266,323.92544610560014
2267,323.57483549992
2268,323.5794547114079
2269,323.96232932056245
2270,323.70897009909567
2271,323.1866930461286
2272,322.9939423891511
2273,323.0413439336054
2274,322.9526097866527
2275,322.9107765808831
2276,323.0090299264117
2277,323.4347220598296
2278,323.54667463181323
2279,323.4147405736659
2280,323.19643914837326
2281,322.83379444008517
2282,322.221803261617
2283,322.31400813841054
2284,322.6268868811027
2285,322.4367794395875
2286,322.7564535933625
2287,322.8337075468299
2288,322.4020805380313
2289,322.0333243374527
2290,321.9425722102198
2291,322.50334590003763
2292,322.7388974762698
2293,322.575154165452
2294,322.72006947212503
2295,322.4004817398722
2296,321.9862510249584
2297,321.81969542949946
2298,321.906611799742
2299,322.1652617920791
