year,tas,rlut,rsut,rsdt
2015,1.0628473841644563,-1.110589323663703,0.4897319651703782,0.07251984987374271
2016,0.8611901146196601,-1.3315052665315648,0.026362286860688755,0.0294088084826285
2017,0.9890101923004977,-1.3194685242479807,0.05473438466076175,-0.019574112665850407
2018,1.1974506887993357,-1.4010620349122291,0.4372729413421581,-0.030495267683022576
2019,1.2240202043434465,-1.1778162818674502,0.5236197213590259,-0.03331122882650561
2020,1.0239416924013653,-1.1798037864056425,0.4198925880088922,0.01108792177859641
2021,0.9913360077106859,-1.305823312887327,0.07975155186113625,0.046633617097597835
2022,1.2982210063159414,-0.912453638978036,0.2421500920886217,0.1261937460557192
2023,1.3445339643080274,-0.6960047810524372,0.39547032556433237,0.1758435971926815
2024,1.039932075987565,-1.362083727277252,0.16574599852934568,0.2205233252417429
2025,1.2507945653168804,-1.1533065534021887,0.23463233395760597,0.1466400379388233
2026,1.249198622004542,-1.3550135198136672,0.6867749556750766,0.09722863552565286
2027,1.448033521720447,-1.0329560683078967,0.29294376476798334,0.04945492609812163
2028,1.4049412022601473,-1.075941242062612,0.38887978076026286,0.06186370643433747
2029,1.2246706613096876,-1.5367714275612627,-0.07155627427790989,-0.005850820172042859
2030,1.6513395635624306,-1.176020313251371,0.7322561562835261,-0.025332042179513792
2031,1.6248393215696524,-0.8829759377110804,0.9209399847228923,-0.0394176155372179
2032,1.3091190700127981,-1.2708483241130466,0.3070656706103705,-0.007079163389278165
2033,1.1865033473482072,-1.3037962298363936,-0.3061287132072579,0.004496492529199259
2034,1.283620198998392,-1.8232998576092143,0.003809176937693337,0.08262167910220342
2035,1.5620215453036508,-1.1687905704621357,-0.18328741151859163,0.08891322325490592
2036,1.5163347109267988,-1.3095881022289575,0.12763429807728244,0.15847002501936913
2037,1.618734821479677,-1.5032418975147266,0.09633111085038593,0.08708986739412694
2038,1.7812940494251848,-0.873646531860544,0.3186635896851868,0.0855902506140751
2039,1.6906554150792203,-1.3470788028033382,-0.008422349104264981,0.0453933816527865
2040,1.7947665776084705,-1.1651511457931463,-0.21540361631954852,0.026743103367437016
2041,1.8220256456475568,-1.4472358682562572,0.1687990657011369,-0.04366933002859241
2042,1.8128472214897329,-1.095945457299905,-0.08292259704454352,-0.05467892128609719
2043,1.8437644071702834,-1.2218433444854497,0.07095606554632639,-0.05277778055608451
2044,1.8866393541966886,-1.3581012614651513,0.0010826626898392533,0.00615357047939824
2045,1.8067562302745728,-1.2160501678726803,-0.2677876288942116,0.04213103610379676
2046,1.8770412464537003,-1.3077046647602515,-0.44071273260036037,0.09126261503894284
2047,1.951761623716834,-1.2098963587574758,0.07196896544321874,0.14999175877318294
2048,2.1361440412051707,-1.303168210865806,0.007179495907550404,0.1829020716538139
2049,2.201432379597975,-1.0872116236737952,0.042068459605062,0.10594576891026009
2050,1.9657904073819168,-1.5895664185137832,0.13131496370994,0.042631596691478535
2051,2.0249733122531666,-1.3601080706565654,-0.4285666959362686,0.008962660284680624
2052,2.1449852242057545,-1.463331757200251,-0.14192866062259668,0.011051501726740298
2053,2.1970184466186993,-1.2808629891369208,0.08170704418216701,-0.04589949447313302
2054,2.038194751408639,-1.4550579893169413,-0.10802862111799527,-0.038613385484495666
2055,2.1080767429539833,-1.5042866614708146,-0.25284482662276275,0.004970637004873879
2056,2.379461759961373,-1.3468877441404743,-0.26696703123315046,0.08280346539737593
2057,2.4260682288324915,-1.6024594591535504,0.28908430591357615,0.055734086702557306
2058,2.4144636034523614,-1.3604940480585412,-0.010042585586646169,0.06592035473261149
2059,2.298905671116529,-1.42892198237098,-0.4456945600062312,0.07087723095708043
2060,2.429934176110237,-1.5459071423237845,-0.4603563052983475,0.06214495492770311
2061,2.5444208966882798,-1.4494439284125349,-0.2878430100639662,-0.00863051953035665
2062,2.527095883773711,-1.5046244666622783,-0.3335089193467553,-0.03699433108397443
2063,2.5164607008543953,-1.8511572131879745,-0.5404793251590831,-0.043286658692522906
2064,2.707577066577471,-1.6181632605863854,-0.3738590533964157,-0.01739764828829493
2065,2.7837411901619475,-1.4227825003504506,-0.5326397348430021,-0.03813908784212572
2066,2.796355545858205,-1.4064461896114153,-0.21586310239302975,0.017796475427360292
2067,2.653863132826814,-1.4234469087866728,-0.4357369089293712,0.06479636094246644
2068,2.6948466767975106,-1.7046482716632738,-0.7687073973426237,0.12695543018480748
2069,2.9267120688111277,-1.6573786490261568,-0.17829562075610284,0.08328813357996978
2070,3.0326271212595657,-1.3804943263511689,-0.22742893445575874,0.05283343922059203
2071,3.040942775092219,-1.442426921465028,-0.7806580685262787,0.012711402389754767
2072,3.0996264403053146,-1.5843072317660756,-0.4277119712801465,0.020148520487680344
2073,3.0998097165615945,-1.538190934899717,-0.5211300309678677,-0.0280120286038823
2074,3.0441158327711832,-1.7026554871594897,-0.524978745399082,-0.049228664242320974
2075,3.101933696308265,-1.6960872582158117,-0.7477535809827316,-0.05982091732829531
2076,3.2181058173497945,-1.6116074425081308,-0.7411966426768402,-0.03587978154996563
2077,3.399040030542608,-1.5750741501298933,-0.8141857466588647,-0.05856781072304784
2078,3.4838334794807224,-1.3212101319287513,-0.2940626765067549,-0.025036332224431135
2079,3.2028203203231556,-1.5664051530337701,-0.9299402419098044,0.017274532193937375
2080,3.42659199688228,-1.526579078989272,-1.1321298759531118,0.07233650837804362
2081,3.5655267805601056,-1.2280718097564147,-0.6590793799559407,0.04423979200356598
2082,3.396674924938452,-1.5258842224067166,-0.8622017059053633,0.04536680846553054
2083,3.337906509655852,-1.7960026599342882,-0.8049787006793281,0.017097146717901524
2084,3.4985596181764436,-1.7012699063134562,-0.7665325227819011,0.03447425779700097
2085,3.7595561634248043,-1.5588430420281725,-0.7949921381486718,-0.04125199958940584
2086,3.7743369670965876,-1.43632843293841,-0.7790455829848355,-0.0633569771723046
2087,3.6629613883218326,-1.3621732211703659,-0.9967631894453604,-0.06223202009778106
2088,3.6078918646647367,-1.6578581110697144,-1.0607816989788716,-0.029374888299685153
2089,3.7764855644520026,-1.5307871665596622,-1.2233663108556811,-0.029475120077847805
2090,4.03706613658062,-1.0682634129745736,-0.961712323802189,0.02491598289623198
2091,3.901598278666029,-1.2692052160279275,-0.7271925728185948,0.061517680828444554
2092,3.8613484602084895,-1.4278534249570498,-0.9503095799485664,0.14725761469094323
2093,3.9401308557421544,-1.3089256759562886,-1.0818233236343104,0.09312532260867101
2094,3.9608250670159464,-1.3774003705100881,-1.225867626624975,0.052042324137403284
2095,4.051674032408414,-1.5862513326747205,-1.344416802397177,0.018374214063783256
2096,4.283045543253138,-1.216918819194575,-1.1982995075531164,0.008315716644915483
2097,4.312986934993319,-1.3967527203466545,-1.0365994156884852,-0.03738532770432812
2098,4.338505697447715,-1.2830650145497202,-1.3233761609586736,-0.047463276296753065
2099,4.331901777892654,-1.6614769852945415,-1.0597386961540565,-0.029506915696345004
