,tas,rsdt,rsut,rlut
2015,287.81954371044407,340.34394956041194,100.98448887884268,238.00423099560442
2016,287.7833098472894,340.27736917746796,101.2328729094869,237.85102275473923
2017,287.9442786738353,340.25119696295275,101.19564434458586,237.67573612299466
2018,287.8352510673849,340.24039930698086,101.36420451697938,237.92533033218558
2019,287.73408576098274,340.23799579669804,100.81325383165272,237.7027002616165
2020,287.86591844285675,340.25899541007544,100.4995966025143,237.748330301509
2021,287.9428305352572,340.31724681280474,101.00615104747925,238.06501392272455
2022,287.96105470732005,340.39684201295745,101.25365955943273,237.8734850078935
2023,288.17073265384414,340.4468983826957,100.97993100343838,238.06610109991166
2024,288.13161399552115,340.4686559146823,101.11507315626172,238.23705435433257
2025,288.0161012864823,340.41755624797025,101.18874063013733,237.87968824407645
2026,287.93338259929055,340.36812073179175,101.02923024700544,237.77043312591505
2027,287.9924001198425,340.3208208155904,100.87808864889892,237.90820724471448
2028,287.9638602970469,340.3098045921981,101.14562423825981,237.7371644105726
2029,287.9701997257719,340.26500974455394,100.64549252756943,237.8613551778955
2030,288.0216402301899,340.2457551440845,100.89011757051738,237.88626440343376
2031,288.01603289646636,340.23192914542545,101.28591675403665,237.60991273463378
2032,288.2506881455358,340.2409082119888,101.47676490936082,237.63843867494685
2033,288.1720336872502,340.2754098772791,101.3721190537277,237.959804467601
2034,288.0805313112283,340.3535615421285,100.92790299695689,237.77755182549905
2035,288.0688827707835,340.3599164687222,101.05163758252031,237.77289079277827
2036,288.01761238279886,340.4066265549944,100.78262255883821,237.85762795990846
2037,288.2072646529885,340.35709419159394,101.07717285987354,237.507449181115
2038,288.4106625632274,340.35691485553735,101.42513036183055,237.7836363735295
2039,288.3445089560991,340.31686708531976,101.29647965143967,237.794621527647
2040,288.17278642423906,340.2747777542756,100.80130263243507,237.7338837751398
2041,288.26779436986493,340.227225059316,101.0131679034307,237.5657876368277
2042,288.38935830027845,340.21633835600795,101.01263930544513,237.57114919042715
2043,288.51090421341837,340.21864266885683,101.36708973013661,237.78114132383044
2044,288.36876459476315,340.25411452002083,101.75614598729531,237.83798488298575
2045,288.08158679035074,340.3129388167203,100.4310224885295,237.6702103502324
2046,288.09258616975177,340.36245475504643,100.76065494631898,237.6237229053421
2047,288.21570707700937,340.42119090638204,100.4086407191282,237.67002670322486
2048,288.4671664443175,340.43128348178504,100.7844422891298,237.8576435475587
2049,288.5409791319629,340.3766506937127,100.8681634587618,237.67629046004743
2050,288.70606693849595,340.313954024011,101.44614428296875,237.93404303223863
2051,288.5676830245386,340.2806797583011,101.13296453056068,238.07814574258245
2052,288.2697407551559,340.2591952013304,100.6525013890327,237.5418234846069
2053,288.3504259102447,340.22507031143834,100.89405270219436,237.68152380150934
2054,288.4366253299305,340.2326140479145,100.87223957994547,237.58406540586495
2055,288.59590870458334,340.27631711024,100.81307695107985,237.8168044157719
2056,288.56875179467005,340.33086737115974,101.09824602259432,237.86357402276175
2057,288.6072532125238,340.32683213851027,100.90519708238617,237.65536408414667
2058,288.5382507360686,340.3374940950581,100.98898863823149,237.53179915416976
