,tas,rsdt,rsut,rlut
2015,287.7866982806646,340.34394956041194,100.98070422581854,237.93531665165912
2016,287.6471394608361,340.27736917746796,101.12874820392919,237.4783885386903
2017,287.86244735185886,340.25119696295275,101.28874078311856,237.8012865318593
2018,287.7299766551473,340.24039930698086,101.00724783742379,237.41938501400253
2019,287.9405379617389,340.23799579669804,100.92205992094237,237.69684447901602
2020,287.9689161070268,340.25899541007544,101.27989989950345,237.6355992830263
2021,288.00768156682307,340.31724681280474,101.34909854734839,237.7230252654788
2022,287.79742047704536,340.39684201295745,101.09257566265264,237.9650408176469
2023,287.6595934829348,340.4468983826957,100.68290923366294,237.67751768519284
2024,287.7407355844831,340.4686559146823,101.05304601651369,237.60293612027752
2025,287.8770499002247,340.41755624797025,101.12023618708417,237.60268728499656
2026,287.93817514475285,340.36812073179175,101.52128454707396,237.60115641904224
2027,287.9806178238793,340.3208208155904,101.13035827554874,237.7106323311169
2028,287.9621305975035,340.3098045921981,101.52533576734108,237.62600346653616
2029,287.9438948224202,340.26500974455394,101.1437925916794,237.7260386948506
2030,288.11099106379226,340.2457551440845,101.06593747327385,237.60599627991056
2031,288.08005301791104,340.23192914542545,101.36670027163582,237.41232830020803
2032,288.1984217303532,340.2409082119888,101.38736268568464,237.85148858648867
2033,287.97587153354397,340.2754098772791,100.91321379040966,237.6195874047977
2034,288.1276498963706,340.3535615421285,100.80264886456605,237.7458725721054
2035,288.0729699161306,340.3599164687222,100.76794530684641,237.6939325084452
2036,288.13014927352907,340.4066265549944,100.86905604268549,237.57499084043897
2037,288.33971459783487,340.35709419159394,101.14881757240062,237.59831367888467
2038,288.48292481811677,340.35691485553735,101.74561454066476,237.87657517325366
2039,288.3325975361033,340.31686708531976,101.34287966436882,237.88825351504045
2040,288.0911433740251,340.2747777542756,100.97620085017208,237.62045953340194
2041,288.2947630949957,340.227225059316,100.84296031195684,237.64582053684344
2042,288.2960902078833,340.21633835600795,100.9579015404484,237.62973771494163
2043,288.2775775431597,340.21864266885683,101.17629305391814,237.65508704998888
2044,288.2587291405278,340.25411452002083,100.39743394990957,237.69998878264335
2045,288.4068897483588,340.3129388167203,101.26590585173484,237.79552106849675
2046,288.395001240622,340.36245475504643,101.0473666624779,237.98445821575558
2047,288.2758079082959,340.42119090638204,100.8563952414181,237.8877935575723
2048,288.304500667075,340.43128348178504,101.00779141363785,237.51952825754378
2049,288.42418819368714,340.3766506937127,100.62039983920836,237.8715451070534
2050,288.6208289439217,340.313954024011,100.66467627801478,238.0025229523353
2051,288.5717241832532,340.2806797583011,101.04175978005277,237.8549464142504
2052,288.5504605481436,340.2591952013304,101.10864297109907,237.81869696478017
2053,288.4839808738121,340.22507031143834,100.76771106142404,237.96176591572683
2054,288.544366173092,340.2326140479145,100.73407156472187,237.6374905737998
2055,288.545973408006,340.27631711024,101.08659602867846,237.7806773228183
2056,288.48410516184697,340.33086737115974,100.84436656387044,237.5466580447737
2057,288.54031700551957,340.32683213851027,101.33004491652349,237.37130107101203
2058,288.8048729645665,340.3374940950581,101.4588554566347,237.97808879965035
2059,288.483289082894,340.3424196882,100.80805246744676,238.0372650706379
2060,288.405536587346,340.3103689551939,100.78042772894544,237.6255597285345
2061,288.6605624568552,340.262401156907,100.7735362668409,237.50696045068435
2062,288.54980211715116,340.23421154874103,101.3935485237459,237.70858653708297
2063,288.4949167762098,340.22823331510205,100.54678624768646,237.6403755270256
2064,288.4626644128798,340.2306712590774,100.7815928374305,237.47001193180185
2065,288.55162581857263,340.2328848694735,100.7000478269941,237.54890668163918
2066,288.81484354128895,340.28885520365264,100.84858447726036,237.51189387758268
2067,288.9058997555083,340.33614708924523,101.1183955236637,237.7944610407918
2068,288.7910357631492,340.3752248943071,100.9487238728842,237.589823949658
2069,288.71958705720505,340.3544836109492,100.425585268863,237.86789947618823
2070,288.68780721290676,340.32441324336895,100.74142129816175,237.7198932713052
2071,288.6888376819703,340.2844128609563,100.57162643274067,237.7596070309497
2072,288.92809264941906,340.268159069019,100.45828646221229,237.9152084428589
2073,288.8313056548541,340.24313632272464,100.84455077464646,238.02894160039276
2074,288.65628597988746,340.2221777714435,100.79158264386494,237.7577580239739
2075,288.8934730757883,340.2118775560072,100.58406600298302,237.71436986472418
2076,288.93634822702444,340.21219958828686,100.88909257503015,237.82240996985374
2077,288.9161168757486,340.21249701261,101.02793055572738,237.85644314195486
2078,288.87550401785666,340.2465110092124,100.86449496110578,237.7389980237634
2079,288.7044152471487,340.2891755475827,100.5502250528158,237.97711020177437
2080,288.8721511655669,340.3207774684578,100.43675509149254,237.79815367573278
2081,288.93038978960436,340.31522782762653,100.62998135727395,237.99432856861392
2082,288.9806672453527,340.31696776041184,100.85501034821193,237.76292106003123
2083,289.0332369589043,340.28902002201687,100.840247701004,237.98998887050797
2084,288.95212845255713,340.2825521888082,100.27812772002187,237.89721799763296
2085,289.00573168713856,340.2299329389245,100.60184203047818,237.87697356308902
2086,289.0094592980583,340.20819291695415,100.93401862979914,237.8010127318553
2087,289.02679460425486,340.20953186066515,100.85684150706923,237.78652709623634
2088,288.9057462059814,340.2187697609699,100.92206860906897,237.84768041693704
2089,288.7177217231929,340.2416418928508,100.39413627900986,237.59918734194525
2090,288.79077114650414,340.29627927713153,100.32687793488333,237.7905694330585
2091,288.97683456822205,340.3330676200232,100.54668581842482,237.82990404436796
2092,289.1294321968584,340.395407868768,101.20659185145935,237.97324614038754
2093,288.9190331276413,340.36457869708175,100.79687873280425,237.8938186488251
2094,288.94993793999384,340.32377475161155,100.63073985588953,237.70207836891336
2095,289.2544134592932,340.290453748601,100.64600677095194,238.08189076693114
2096,289.07393544764835,340.25642597926975,100.67011183136115,238.31057507479682
2097,288.8040952100247,340.2340091356004,100.16668023016113,238.0378575632402
2098,288.97026516965724,340.2240692877952,100.61426911444534,237.69590211066657
2099,289.1459628617678,340.24229803968313,101.01600807025606,237.65152539271403
