year,ssp585,ssp245,ssp370,ssp126
1850,0.46498013432962193,0.46498013432962193,0.46498013432962193,0.46498013432962193
1851,0.43045162325599057,0.43045162325599057,0.43045162325599057,0.43045162325599057
1852,-0.44378947265397173,-0.44378947265397173,-0.44378947265397173,-0.44378947265397173
1853,1.2736746252699709,1.2736746252699709,1.2736746252699709,1.2736746252699709
1854,0.10239909814509121,0.10239909814509121,0.10239909814509121,0.10239909814509121
1855,0.056919454783021683,0.056919454783021683,0.056919454783021683,0.056919454783021683
1856,0.17405932846114108,0.17405932846114108,0.17405932846114108,0.17405932846114108
1857,-1.3169469597886294,-1.3169469597886294,-1.3169469597886294,-1.3169469597886294
1858,-0.18652904688085778,-0.18652904688085778,-0.18652904688085778,-0.18652904688085778
1859,0.40821870118343084,0.40821870118343084,0.40821870118343084,0.40821870118343084
1860,-0.966472383886908,-0.966472383886908,-0.966472383886908,-0.966472383886908
1861,-0.056289170780084455,-0.056289170780084455,-0.056289170780084455,-0.056289170780084455
1862,-0.985624852096887,-0.985624852096887,-0.985624852096887,-0.985624852096887
1863,0.06861696628300681,0.06861696628300681,0.06861696628300681,0.06861696628300681
1864,0.411984495869955,0.411984495869955,0.411984495869955,0.411984495869955
1865,-0.1153894110636837,-0.1153894110636837,-0.1153894110636837,-0.1153894110636837
1866,-0.16429623578740718,-0.16429623578740718,-0.16429623578740718,-0.16429623578740718
1867,0.3733242326265207,0.3733242326265207,0.3733242326265207,0.3733242326265207
1868,0.17741669672932528,0.17741669672932528,0.17741669672932528,0.17741669672932528
1869,-0.8613578426872619,-0.8613578426872619,-0.8613578426872619,-0.8613578426872619
1870,0.9775244181233149,0.9775244181233149,0.9775244181233149,0.9775244181233149
1871,0.5781934205695052,0.5781934205695052,0.5781934205695052,0.5781934205695052
1872,-0.7279975292555418,-0.7279975292555418,-0.7279975292555418,-0.7279975292555418
1873,0.20701021902210032,0.20701021902210032,0.20701021902210032,0.20701021902210032
1874,0.23527671715215387,0.23527671715215387,0.23527671715215387,0.23527671715215387
1875,-0.064855267906023,-0.064855267906023,-0.064855267906023,-0.064855267906023
1876,0.25968303547322374,0.25968303547322374,0.25968303547322374,0.25968303547322374
1877,-0.2341110323284816,-0.2341110323284816,-0.2341110323284816,-0.2341110323284816
1878,-0.46087072689327896,-0.46087072689327896,-0.46087072689327896,-0.46087072689327896
1879,0.3168787528430607,0.3168787528430607,0.3168787528430607,0.3168787528430607
1880,-0.7273897137250964,-0.7273897137250964,-0.7273897137250964,-0.7273897137250964
1881,-0.49250573964450783,-0.49250573964450783,-0.49250573964450783,-0.49250573964450783
1882,0.6122919953920701,0.6122919953920701,0.6122919953920701,0.6122919953920701
1883,-1.3280133804425072,-1.3280133804425072,-1.3280133804425072,-1.3280133804425072
1884,-3.0130103169051123,-3.0130103169051123,-3.0130103169051123,-3.0130103169051123
1885,0.11213809505579345,0.11213809505579345,0.11213809505579345,0.11213809505579345
1886,0.18669565847586117,0.18669565847586117,0.18669565847586117,0.18669565847586117
1887,-0.31890278032055747,-0.31890278032055747,-0.31890278032055747,-0.31890278032055747
1888,-0.21386060519855662,-0.21386060519855662,-0.21386060519855662,-0.21386060519855662
1889,-0.7622806004216619,-0.7622806004216619,-0.7622806004216619,-0.7622806004216619
1890,-1.250722066088405,-1.250722066088405,-1.250722066088405,-1.250722066088405
1891,-0.7770576387441244,-0.7770576387441244,-0.7770576387441244,-0.7770576387441244
1892,-0.6912729921322067,-0.6912729921322067,-0.6912729921322067,-0.6912729921322067
1893,0.47037618166836276,0.47037618166836276,0.47037618166836276,0.47037618166836276
1894,0.026902673462895182,0.026902673462895182,0.026902673462895182,0.026902673462895182
1895,-1.0760208273647898,-1.0760208273647898,-1.0760208273647898,-1.0760208273647898
1896,0.46311974524686256,0.46311974524686256,0.46311974524686256,0.46311974524686256
1897,0.36069080869682774,0.36069080869682774,0.36069080869682774,0.36069080869682774
1898,-0.48783455189735947,-0.48783455189735947,-0.48783455189735947,-0.48783455189735947
1899,0.4601651581731032,0.4601651581731032,0.4601651581731032,0.4601651581731032
1900,0.2666001358336142,0.2666001358336142,0.2666001358336142,0.2666001358336142
1901,-0.6376140953212656,-0.6376140953212656,-0.6376140953212656,-0.6376140953212656
1902,-0.727045247304299,-0.727045247304299,-0.727045247304299,-0.727045247304299
1903,-1.4170407871974864,-1.4170407871974864,-1.4170407871974864,-1.4170407871974864
1904,-0.7845914528235232,-0.7845914528235232,-0.7845914528235232,-0.7845914528235232
1905,0.006182329757677074,0.006182329757677074,0.006182329757677074,0.006182329757677074
1906,-0.2780831239641872,-0.2780831239641872,-0.2780831239641872,-0.2780831239641872
1907,0.10190050523991895,0.10190050523991895,0.10190050523991895,0.10190050523991895
1908,-0.06733871640891459,-0.06733871640891459,-0.06733871640891459,-0.06733871640891459
1909,-0.338749559077279,-0.338749559077279,-0.338749559077279,-0.338749559077279
1910,-0.23482244666276664,-0.23482244666276664,-0.23482244666276664,-0.23482244666276664
1911,0.6079886062711233,0.6079886062711233,0.6079886062711233,0.6079886062711233
1912,-0.6121926966240158,-0.6121926966240158,-0.6121926966240158,-0.6121926966240158
1913,-0.5464766442157717,-0.5464766442157717,-0.5464766442157717,-0.5464766442157717
1914,-0.08931410092395303,-0.08931410092395303,-0.08931410092395303,-0.08931410092395303
1915,-0.07369546167545443,-0.07369546167545443,-0.07369546167545443,-0.07369546167545443
1916,-0.13701534956945544,-0.13701534956945544,-0.13701534956945544,-0.13701534956945544
