year,ssp370
1850,0.6086624576464114
1851,0.6350742940559145
1852,0.14561976975498284
1853,0.1164583066399491
1854,0.4183471076880459
1855,0.057271622573537205
1856,0.46628956508339114
1857,0.18376272967435747
1858,0.3565369865503109
1859,0.22781600954491044
1860,0.44527070781393524
1861,-0.552355150844249
1862,-0.14200642441921812
1863,0.46068046517011907
1864,0.24344672876149365
1865,0.26748540982544167
1866,-0.04317707103813682
1867,0.07062424354103614
1868,0.15942694248372377
1869,0.29441479227706824
1870,0.5162878577392919
1871,0.3123321013137224
1872,0.05465959390238506
1873,-0.11569669576700349
1874,0.24965302584513843
1875,0.49458763900622615
1876,0.16489915069740776
1877,0.07132385527848416
1878,0.23163235567454957
1879,-0.23416755037711795
1880,-0.15489169296757543
1881,-0.2192993091620073
1882,-0.08428006575455652
1883,-0.7869229732938059
1884,-2.227172181170836
1885,-0.9305722654601131
1886,-0.17988878271017764
1887,-0.11357795787123481
1888,-0.26859640267002965
1889,-0.07624974438916012
1890,-0.08549485049072461
1891,-0.32303410735511356
1892,-0.4401221868074212
1893,0.25856754080092226
1894,0.3930055415174365
1895,0.09623124413219544
1896,0.0899630355071486
1897,-0.1436130769942366
1898,-0.36071115436028145
1899,-0.39387529475983607
1900,-0.17591854759084788
1901,0.1698883239309418
1902,-0.1741231414671636
1903,-0.7407797252475167
1904,-1.176812494564948
1905,-0.3044685158299665
1906,-0.21801999201964045
1907,-0.2615519221166421
1908,0.058438374820225514
1909,-0.13141822556357807
1910,-0.688873082932659
1911,-0.31516330227986367
1912,-0.32957510487129327
1913,-0.33380410257978055
1914,-0.5201842103526411
1915,-0.4375149846659374
1916,-0.22185582445184496
1917,-0.24593615623928694
1918,-0.19091973721977432
1919,0.02103830085173386
1920,-0.02980642079148177
1921,-0.14877093347526194
1922,-0.12061712045924045
1923,-0.18264984371418794
1924,-0.26578022461899153
1925,-0.1284266963603244
1926,0.30537423953628934
1927,-0.06705164211718889
1928,0.39716863355017457
1929,-0.15555546631301204
1930,-0.25559890189167844
1931,-0.21422201450876527
1932,-0.4659704580498404
1933,-0.5537536269654791
1934,0.13965527568883607
1935,-0.2988635547957299
1936,-0.28486510270944626
1937,-0.1985359749327485
1938,0.22590039796828698
1939,0.034142349339093436
1940,-0.2217733377529587
1941,-0.2034548987778742
1942,-0.22357181467883708
1943,-0.2830573333758772
1944,-0.35486790026302895
1945,-0.208020861361703
1946,0.3302953772510916
1947,0.3440080097336631
1948,-0.04527982565574129
1949,-0.38291348391928914
1950,-0.1206844870260943
1951,-0.11253434127950018
1952,-0.3094789571705898
1953,-0.3517940406042448
1954,-0.30573230200917617
1955,-0.5436675654580652
1956,0.08663538837003992
1957,-0.34938013027205733
1958,-0.32179757111395635
1959,0.09847501093946687
1960,-0.1949456672426444
1961,-0.3934507157236741
1962,-0.5734643004078314
1963,-2.1260531393778743
1964,-1.3631086971105686
1965,-0.677666838783138
1966,-0.23017248131089102
1967,-1.3686411438956836
1968,-1.0768515308194229
1969,-0.5612933482337711
1970,-0.8318583955699584
1971,-1.2773830653139024
1972,-1.4031735571816952
1973,-0.5504004875487092
1974,-0.7951305119443222
1975,-0.916173201845523
1976,-1.1501824804805822
1977,-0.8498494249252163
1978,-0.21665740098092523
1979,-0.7617374431208084
1980,-0.6438778305080997
1981,-0.5917083515621313
1982,-1.0726263790809374
1983,-0.9259869102409992
1984,-1.0593850875296038
1985,-0.774738201056224
1986,-0.4895729526770055
1987,-0.846159904208279
1988,-0.5911412303532798
1989,-0.2368101997698222
1990,-0.3941927991258465
1991,-1.2033369362458162
1992,-2.336505856648796
1993,-1.4407692478512986
1994,-1.0605148694144397
1995,-0.5713755346334334
1996,-0.058990523720401145
1997,-0.3510954254190244
1998,-0.15818849276070512
1999,-0.24497029896719003
2000,-0.2178940824471307
2001,0.24223640429084536
2002,0.0520666251764319
2003,-0.5887317889029837
2004,0.20230858472525504
2005,0.3200954669162732
2006,-0.5524116167567741
2007,-0.6510989621945678
2008,-0.0032136114947196592
2009,0.26040551634850084
2010,-0.23066561385908035
2011,0.036952661015623
2012,0.11273133823067094
2013,0.46901959955416705
2014,0.06988586316730583
2015,0.2880912977104164
2016,0.601438562903172
2017,0.35002426296973477
2018,-0.1361092315666057
2019,-0.20559415080696608
2020,0.4267176074784289
2021,0.45447017671178846
2022,0.18314013953299435
2023,0.09723183777235844
2024,0.12055159737562393
2025,0.35564574298034923
2026,-0.1467630662082673
2027,0.22705184166249825
2028,-0.047619240742936775
2029,-0.1954105630149101
2030,0.08214417012541952
2031,0.18262240419448794
2032,0.25958083878134763
2033,0.5322057217648823
2034,0.24537880022882153
2035,-0.021235732826692555
2036,0.5853664223294843
2037,0.13667686716962413
2038,0.7348090159031542
2039,1.1113764126676569
2040,0.46935937231330005
2041,0.4877150731029576
2042,-0.003869584906369017
2043,-0.060185791301726965
2044,0.5010404204516075
2045,0.6075769328606526
2046,-0.005650581363514817
2047,0.48279407502232363
2048,0.14338128137594053
2049,-0.08366292345031923
2050,0.43701915225005283
2051,0.8419220468552888
2052,0.7064418368002343
2053,0.8280172413338072
2054,0.861767892618297
2055,-0.08188553804627396
