year,ssp126,ssp245,ssp585
1850,-0.6378497946110375,-0.6378497946110375,-0.6378497946110375
1851,0.062267878196235894,0.062267878196235894,0.062267878196235894
1852,-1.1028795872036425,-1.1028795872036425,-1.1028795872036425
1853,-0.11041213864202039,-0.11041213864202039,-0.11041213864202039
1854,0.12241566908201555,0.12241566908201555,0.12241566908201555
1855,-0.7272904419866524,-0.7272904419866524,-0.7272904419866524
1856,-2.3062297615423364,-2.3062297615423364,-2.3062297615423364
1857,-1.5378155325247589,-1.5378155325247589,-1.5378155325247589
1858,-0.7206921896296324,-0.7206921896296324,-0.7206921896296324
1859,-0.525607709191568,-0.525607709191568,-0.525607709191568
1860,-0.19466008190737924,-0.19466008190737924,-0.19466008190737924
1861,-0.3990809911511589,-0.3990809911511589,-0.3990809911511589
1862,-1.1770788687483316,-1.1770788687483316,-1.1770788687483316
1863,-0.800960927528536,-0.800960927528536,-0.800960927528536
1864,0.2705725902108714,0.2705725902108714,0.2705725902108714
1865,-1.173173958950216,-1.173173958950216,-1.173173958950216
1866,-0.09142889332799797,-0.09142889332799797,-0.09142889332799797
1867,0.6035101106004679,0.6035101106004679,0.6035101106004679
1868,-0.2405308247845407,-0.2405308247845407,-0.2405308247845407
1869,-0.09862592247075931,-0.09862592247075931,-0.09862592247075931
1870,0.8588451794242723,0.8588451794242723,0.8588451794242723
1871,-0.9826442542805638,-0.9826442542805638,-0.9826442542805638
1872,0.015050525666259959,0.015050525666259959,0.015050525666259959
1873,0.28224427046522466,0.28224427046522466,0.28224427046522466
1874,-0.6490314684838525,-0.6490314684838525,-0.6490314684838525
1875,0.4893982905456014,0.4893982905456014,0.4893982905456014
1876,-1.0292882703304747,-1.0292882703304747,-1.0292882703304747
1877,0.0072832288316982685,0.0072832288316982685,0.0072832288316982685
1878,0.5913519675640789,0.5913519675640789,0.5913519675640789
1879,-0.9002361644069943,-0.9002361644069943,-0.9002361644069943
1880,-0.4700519308506922,-0.4700519308506922,-0.4700519308506922
1881,0.1439036116818455,0.1439036116818455,0.1439036116818455
1882,0.5734194311082543,0.5734194311082543,0.5734194311082543
1883,-1.4839698151467224,-1.4839698151467224,-1.4839698151467224
1884,-4.017458401538166,-4.017458401538166,-4.017458401538166
1885,-0.835546726274031,-0.835546726274031,-0.835546726274031
1886,-0.5921684770540757,-0.5921684770540757,-0.5921684770540757
1887,-1.22353170781378,-1.22353170781378,-1.22353170781378
1888,-0.10554282209231904,-0.10554282209231904,-0.10554282209231904
1889,-0.9459633123881821,-0.9459633123881821,-0.9459633123881821
1890,-0.41855400316888147,-0.41855400316888147,-0.41855400316888147
1891,-0.6451787167104254,-0.6451787167104254,-0.6451787167104254
