year,ssp126,ssp245,ssp370,ssp585
1850,-0.3044822183777359,-0.3044822183777359,-0.5977466921350675,-0.3044822183777359
1851,-0.19282547966230676,-0.19282547966230676,-0.24045472564373516,-0.19282547966230676
1852,-0.11659606317390309,-0.11659606317390309,-0.2739738023993181,-0.11659606317390309
1853,0.5522940149151292,0.5522940149151292,-0.008438507433909139,0.5522940149151292
1854,0.24114659630848606,0.24114659630848606,-0.13457644025334134,0.24114659630848606
1855,-0.5534868321818673,-0.5534868321818673,-0.19619713615754586,-0.5534868321818673
1856,-0.6615729429992306,-0.6615729429992306,-0.0800910712547915,-0.6615729429992306
1857,-0.0005630532117363897,-0.0005630532117363897,-0.1841172211523795,-0.0005630532117363897
1858,0.27575744006197717,0.27575744006197717,-0.01116612303491265,0.27575744006197717
1859,-0.7442038283846203,-0.7442038283846203,-0.15940824943338483,-0.7442038283846203
1860,0.22625964568120838,0.22625964568120838,-0.06407866974696247,0.22625964568120838
1861,-1.447245376632648,-1.447245376632648,-0.733556262002071,-1.447245376632648
1862,-0.6152855374446251,-0.6152855374446251,-0.6374231744150356,-0.6152855374446251
1863,0.2558496917380902,0.2558496917380902,-0.2541211715147615,0.2558496917380902
1864,-0.4734628130273805,-0.4734628130273805,-0.29737754093437563,-0.4734628130273805
1865,-0.2013691912878777,-0.2013691912878777,0.010485542835041016,-0.2013691912878777
1866,-0.14025934100280427,-0.14025934100280427,-0.04466531708016827,-0.14025934100280427
1867,-0.5320502306507817,-0.5320502306507817,-0.13996274820480556,-0.5320502306507817
1868,0.2021033145604033,0.2021033145604033,0.14882752808764205,0.2021033145604033
1869,-0.10759985457088722,-0.10759985457088722,-0.2622008957909675,-0.10759985457088722
1870,-0.9507097495325806,-0.9507097495325806,-0.16505969916735702,-0.9507097495325806
1871,-0.4239551396679183,-0.4239551396679183,-0.049690382151469654,-0.4239551396679183
1872,0.4646217463105075,0.4646217463105075,0.010482094758843097,0.4646217463105075
1873,-0.21649249139100463,-0.21649249139100463,-0.0850620989720153,-0.21649249139100463
1874,-0.5678227730022363,-0.5678227730022363,-0.10782163097058996,-0.5678227730022363
1875,0.2825708764737718,0.2825708764737718,0.15299016191542542,0.2825708764737718
1876,-0.8485214808094145,-0.8485214808094145,-0.44006084777510956,-0.8485214808094145
1877,-0.6658039997340389,-0.6658039997340389,-0.18556848060468423,-0.6658039997340389
1878,-0.02371018753037385,-0.02371018753037385,-0.2399528174896456,-0.02371018753037385
1879,0.4733935664280037,0.4733935664280037,0.0733084535212769,0.4733935664280037
1880,-0.5106095134876779,-0.5106095134876779,0.05992778709540135,-0.5106095134876779
1881,-0.7853723556504306,-0.7853723556504306,-0.3953684650285354,-0.7853723556504306
1882,0.5806935489202774,0.5806935489202774,0.014829349089749602,0.5806935489202774
1883,-1.1119008418064042,-1.1119008418064042,-1.3161069122663895,-1.1119008418064042
1884,-2.3847236414828754,-2.3847236414828754,-2.227350919307077,-2.3847236414828754
1885,-0.15949561873737247,-0.15949561873737247,-0.4917124370952305,-0.15949561873737247
1886,-0.10311051645590108,-0.10311051645590108,0.09507588286218722,-0.10311051645590108
1887,-0.9662495951002621,-0.9662495951002621,-0.3003776783591101,-0.9662495951002621
1888,0.4421747494077742,0.4421747494077742,0.17613212261046768,0.4421747494077742
