year,ssp585,ssp245,ssp370,ssp126,ssp119
1850,0.16054222669202747,0.16054222669202747,0.1605422266920275,0.1605422266920275,0.16054222669202747
1851,0.09008843458285193,0.09008843458285196,0.0900884345828519,0.09008843458285194,0.09008843458285193
1852,0.08376389064247847,0.08376389064247848,0.08376389064247848,0.0837638906424785,0.08376389064247848
1853,0.15758482920776837,0.1575848292077683,0.1575848292077683,0.15758482920776837,0.15758482920776842
1854,0.14743995307426666,0.1474399530742666,0.1474399530742666,0.1474399530742666,0.1474399530742666
1855,0.12151267556433754,0.12151267556433762,0.12151267556433759,0.12151267556433762,0.12151267556433756
1856,0.12861093136381216,0.12861093136381227,0.12861093136381227,0.12861093136381227,0.12861093136381221
1857,0.15565037056350778,0.15565037056350778,0.15565037056350783,0.15565037056350772,0.15565037056350783
1858,0.19734026540956842,0.19734026540956842,0.1973402654095684,0.19734026540956837,0.19734026540956837
1859,0.18046860222397867,0.18046860222397865,0.18046860222397856,0.18046860222397862,0.18046860222397865
1860,0.10493907948657796,0.10493907948657791,0.10493907948657788,0.10493907948657788,0.10493907948657794
1861,-0.33724790944622296,-0.33724790944622296,-0.337247909446223,-0.337247909446223,-0.33724790944622307
1862,-0.30149118131070635,-0.30149118131070635,-0.30149118131070635,-0.30149118131070635,-0.30149118131070624
1863,-0.01930850454213576,-0.019308504542135778,-0.019308504542135764,-0.019308504542135764,-0.01930850454213577
1864,0.020140220741266535,0.02014022074126654,0.020140220741266555,0.020140220741266535,0.020140220741266535
1865,0.2446970985784299,0.24469709857842994,0.24469709857843,0.24469709857843,0.2446970985784299
1866,0.14392651720662045,0.14392651720662036,0.14392651720662036,0.1439265172066204,0.1439265172066204
1867,0.0835109015560056,0.08351090155600566,0.08351090155600563,0.08351090155600566,0.08351090155600566
1868,0.08954755529339585,0.08954755529339588,0.08954755529339588,0.08954755529339588,0.0895475552933959
1869,0.1735580207765013,0.1735580207765013,0.1735580207765013,0.17355802077650134,0.1735580207765013
1870,0.16651827072581651,0.16651827072581657,0.16651827072581651,0.16651827072581651,0.16651827072581651
1871,0.1909662218103394,0.19096622181033945,0.1909662218103394,0.19096622181033948,0.1909662218103394
1872,0.13059789598003566,0.13059789598003566,0.1305978959800357,0.13059789598003566,0.1305978959800357
1873,-0.040501780193945736,-0.040501780193945736,-0.04050178019394572,-0.040501780193945736,-0.04050178019394573
1874,0.1408990049011324,0.1408990049011325,0.14089900490113244,0.14089900490113244,0.1408990049011325
1875,0.1440862235223832,0.14408622352238315,0.1440862235223831,0.1440862235223831,0.14408622352238315
1876,0.1292010165398138,0.1292010165398138,0.12920101653981386,0.12920101653981375,0.12920101653981392
1877,0.11188875852762586,0.11188875852762584,0.11188875852762586,0.11188875852762589,0.11188875852762578
1878,0.10288738466221464,0.10288738466221464,0.10288738466221459,0.10288738466221467,0.10288738466221459
1879,0.0835994283636597,0.08359942836365962,0.08359942836365959,0.08359942836365962,0.08359942836365965
1880,0.02065139525699415,0.02065139525699422,0.020651395256994207,0.020651395256994207,0.020651395256994193
1881,-0.00715880430475771,-0.007158804304757682,-0.007158804304757682,-0.007158804304757724,-0.007158804304757654
1882,0.09666905467536872,0.09666905467536883,0.09666905467536886,0.0966690546753688,0.0966690546753688
