year,ssp370
1850,0.19242800088108006
1851,0.04510798345280991
1852,0.05569026745719755
1853,-0.03296208450502311
1854,0.11047758018290806
1855,0.01944597295960205
1856,0.10568526700512229
1857,0.12336520218321938
1858,0.04302886394530477
1859,0.334658161207095
1860,-0.04545595860181598
1861,-0.6102926669633995
1862,-0.655480743666666
1863,-0.02039285774441478
1864,-0.06777816153373814
1865,0.04089441822197893
1866,-0.07693509162861936
1867,0.2800355981617276
1868,0.21328223966296586
1869,0.032216998827485965
1870,0.19649793446764754
1871,0.12612988356505248
1872,-0.17199516729012326
1873,-0.08926493612164514
1874,-0.06471467519882829
1875,0.14238256794947174
1876,0.1060985291525092
1877,0.2509538509240318
1878,0.0731345435199173
1879,0.026627660970386144
1880,-0.30867571444635633
1881,0.11009707980420848
1882,-0.08467506648876175
1883,-1.2731147907413658
1884,-2.2219844185003352
1885,-0.5238212822078784
1886,-0.22255285061250643
1887,-0.3859381475177707
1888,-0.1192191816132094
1889,-0.021163758570279412
1890,-0.17786898634314313
1891,-0.3130768645914311
1892,0.004031644756974068
1893,-0.015049790327673382
1894,-0.056779984960298985
1895,0.07794356811848796
1896,-0.1077026476115151
1897,-0.06958402981343435
1898,-0.27084328523729506
1899,0.0104376134618209
1900,0.031390367677257
1901,-0.21002278170579555
1902,-0.7430516212954009
1903,-1.2848544568916804
1904,-0.61719860750751
1905,-0.2721488762937486
1906,0.053456815125950435
1907,-0.03594069895403457
1908,-0.03582793899407438
1909,-0.08728714008241636
1910,-0.45057864250047935
1911,0.022345560084091887
1912,-1.1806377843617484
1913,-0.5980368984532746
1914,-0.5006807469166433
1915,-0.153714762890708
1916,0.05776300002841461
1917,-0.04708153209802446
1918,-0.18873884508344724
1919,0.06237270069881745
1920,-0.1318721628368629
1921,0.17952965922015746
1922,-0.27596968210021144
1923,-0.036352948339798685
1924,-0.4403533599808205
1925,-0.05378883508235216
1926,-0.081143132756544
1927,-0.24623303315115064
1928,-0.13745258708632016
1929,-0.39012523048128434
1930,-0.14356462491195693
1931,0.04799942315759442
1932,-0.4584580109180992
1933,-0.11281517359703092
1934,-0.2968890695193625
1935,-0.3175400612461779
1936,-0.15703027299793693
1937,-0.5091202623913673
1938,-0.14511903339758256
1939,-0.448317809826223
1940,-0.5756725632206413
1941,-0.38390273017412474
1942,-0.5136262807257366
1943,-0.42717453358171215
1944,-0.5388190386526095
1945,-0.4502493719976698
1946,-0.5002997314104122
1947,-0.2142593855264456
1948,-0.5658158513919527
1949,-0.43824376934343956
1950,-0.3761624740841679
1951,-0.6830156609064321
1952,-0.6761604562765294
1953,-0.6042763421283361
1954,-0.5666597650475208
1955,-0.6692812643565866
1956,-0.5967755789623616
1957,-0.3402653445406723
1958,-0.2888073568626581
1959,-0.7179086197446987
1960,-0.5163216705133165
1961,-0.723384074487504
1962,-0.8392464676700448
1963,-2.722526807574506
1964,-1.5170334969632435
1965,-1.3111359662707502
1966,-0.7926981212689816
1967,-0.8422952259406759
1968,-0.746123586913262
1969,-0.880191371687498
1970,-0.8192154139509774
1971,-1.1354014034510582
1972,-1.0267025412617259
1973,-0.7660677439704258
1974,-1.0746561783165964
1975,-1.0888225212916824
1976,-1.0053035195573043
1977,-0.5664229179462026
1978,-0.9169727216698532
1979,-0.8195742118836907
1980,-0.8211899512901712
1981,-0.6558462419112157
1982,-0.8611518040312075
1983,-1.2470778645518583
1984,-1.0179066495751798
1985,-0.8547782171207968
1986,-0.5712154138719119
1987,-0.4358364828716694
1988,-0.43907506049888023
1989,-0.13657177482470262
1990,-0.3365917251356817
1991,-1.5190599081876828
1992,-2.6004969826796485
1993,-1.3218116652626561
1994,-0.3632279589166403
1995,-0.21090046574048993
1996,-0.03296527003351568
1997,-0.05008664476390634
1998,-0.041048241428566
1999,0.22444635431308124
2000,0.030299636204481617
2001,0.11626856590267987
2002,0.10579041784692023
2003,-0.0855615109417287
2004,-0.12172835671959414
2005,-0.31833649107855355
2006,-0.3875694206412573
2007,-0.03829993539647081
2008,-0.18385212069325552
2009,-0.28908564848652385
2010,-0.20487776771546096
2011,-0.03169706329320432
2012,0.1852450217358661
2013,0.13619925714226788
2014,0.036519873792540736
2015,0.008045204994896915
2016,0.1559007369720482
2017,0.10892303922490632
2018,0.009651133358621777
2019,0.051351614648869504
2020,0.0916248112838629
2021,0.0533638093379496
2022,0.12503555656450027
2023,-0.04425974894244811
2024,0.10122562703615468
2025,0.15345981524315966
2026,0.24282854436426038
2027,0.3303837531057092
2028,0.1282040977099066
2029,0.028923651922386995
2030,0.23690628080707032
2031,0.037396479397949545
2032,-0.06066465669168508
2033,0.14919152042593353
2034,0.0901365089439281
2035,0.2535841233934053
2036,0.32357287951231184
2037,0.0824640600430393
2038,0.11765099494480857
2039,0.11782147730565695
2040,0.18082448345331903
2041,0.14501691893979674
2042,0.018707852300085204
2043,0.3777252019624102
2044,0.2583301957244668
2045,0.4507485130677944
2046,0.43560171126243885
2047,0.4559752721025023
2048,0.5600294235386443
2049,0.28262925574934883
2050,0.2199960987509284
2051,0.6000621066817171
2052,0.44811694572583693
2053,0.46077854684539243
2054,0.44978429816124077
2055,0.7209271959138404
