year,ssp126,ssp245,ssp370,ssp585
1850,-0.029338517402925115,-0.029338517402925115,-0.2013974855426718,-0.029338517402925115
1851,0.4975144464751298,0.4975144464751298,-0.14048844893232837,0.4975144464751298
1852,-0.01860700197961046,-0.01860700197961046,-0.16191556060865817,-0.01860700197961046
1853,-0.3436171512826778,-0.3436171512826778,-0.12186512178728319,-0.3436171512826778
1854,-0.24656966292025878,-0.24656966292025878,-0.2665034043414479,-0.24656966292025878
1855,-0.018481337106449506,-0.018481337106449506,-0.18786653494779304,-0.018481337106449506
1856,-0.4773422691443934,-0.4773422691443934,-0.19155132977378853,-0.4773422691443934
1857,-0.849931608582805,-0.849931608582805,-0.5075277467313267,-0.849931608582805
1858,-0.34639069777458026,-0.34639069777458026,-0.49154586059763244,-0.34639069777458026
1859,-0.2914383698328705,-0.2914383698328705,-0.23783690474624594,-0.2914383698328705
1860,0.10056929381894694,0.10056929381894694,-0.011046478295796119,0.10056929381894694
1861,-0.33095312237630026,-0.33095312237630026,-0.4762986381089857,-0.33095312237630026
1862,-0.4902387714042789,-0.4902387714042789,-0.680557150738984,-0.4902387714042789
1863,-0.030609818118868246,-0.030609818118868246,-0.4220421699342663,-0.030609818118868246
1864,-0.23332154241417077,-0.23332154241417077,-0.26124165626811935,-0.23332154241417077
1865,0.14565678462919796,0.14565678462919796,-0.16608639825100902,0.14565678462919796
1866,-0.09439305337458617,-0.09439305337458617,-0.2098693644787533,-0.09439305337458617
1867,-0.046896011775880715,-0.046896011775880715,-0.19432989153748015,-0.046896011775880715
1868,-0.27969262524653987,-0.27969262524653987,-0.007572054458666919,-0.27969262524653987
1869,-0.1969169662557762,-0.1969169662557762,-0.02478709891636339,-0.1969169662557762
1870,0.0872852202714943,0.0872852202714943,-0.09854676687895227,0.0872852202714943
1871,0.01850589662699416,0.01850589662699416,-0.09156634399650047,0.01850589662699416
1872,-0.13700247001990784,-0.13700247001990784,0.0033902490877540242,-0.13700247001990784
1873,0.2999059052434662,0.2999059052434662,0.14855064437929705,0.2999059052434662
1874,0.18842355325509869,0.18842355325509869,-0.006072521119052293,0.18842355325509869
1875,-0.044643794306396506,-0.044643794306396506,0.04841791884453195,-0.044643794306396506
1876,0.043743252268938326,0.043743252268938326,-0.09611664191036375,0.043743252268938326
1877,-0.3678548446098797,-0.3678548446098797,-0.2646087687605091,-0.3678548446098797
1878,-0.1197907385579588,-0.1197907385579588,-0.14564045222146113,-0.1197907385579588
1879,0.2916750307716859,0.2916750307716859,-0.07110115104460649,0.2916750307716859
1880,-0.039873918208244916,-0.039873918208244916,-0.0815343382486935,-0.039873918208244916
1881,-0.4001927953314689,-0.4001927953314689,-0.14716151357543522,-0.4001927953314689
1882,0.03847720614409131,0.03847720614409131,-0.04833784556808947,0.03847720614409131
1883,-0.9480024375414232,-0.9480024375414232,-1.111927136052568,-0.9480024375414232
1884,-1.429894277616347,-1.429894277616347,-1.5877575172458909,-1.429894277616347
1885,-0.541858873888764,-0.541858873888764,-0.5605292306247389,-0.541858873888764
1886,-0.21065150714284564,-0.21065150714284564,-0.201249266988663,-0.21065150714284564
1887,-0.032589898144654766,-0.032589898144654766,-0.26771668295270884,-0.032589898144654766
1888,0.050324212160477166,0.050324212160477166,-0.07325255052550275,0.050324212160477166
1889,-0.18043326244669444,-0.18043326244669444,-0.18543028268155817,-0.18043326244669444
1890,0.12076655190636126,0.12076655190636126,-0.15405800894952687,0.12076655190636126
1891,-0.30882611756735584,-0.30882611756735584,-0.29173340345422694,-0.30882611756735584
1892,-0.3418205687314516,-0.3418205687314516,-0.15172448857304743,-0.3418205687314516
1893,-0.31535298478375257,-0.31535298478375257,-0.2130883130371514,-0.31535298478375257
1894,0.0002446992252045366,0.0002446992252045366,-0.07407957930766315,0.0002446992252045366
1895,-0.15313865258364573,-0.15313865258364573,0.019659188027874225,-0.15313865258364573
1896,0.00885931878967039,0.00885931878967039,0.029723336918728,0.00885931878967039
1897,0.10231492395944886,0.10231492395944886,-0.16203817426434397,0.10231492395944886
1898,-0.059676348039866045,-0.059676348039866045,-0.011394049246325005,-0.059676348039866045
1899,-0.027342536032096243,-0.027342536032096243,-0.23006918265423196,-0.027342536032096243
1900,0.2568972021715692,0.2568972021715692,-0.198902995803482,0.2568972021715692
1901,-0.03137481564929118,-0.03137481564929118,-0.17441156704281827,-0.03137481564929118
1902,-0.17495304648818702,-0.17495304648818702,-0.42613507500739684,-0.17495304648818702
1903,-1.1216730647955109,-1.1216730647955109,-1.0775733052316956,-1.1216730647955109
1904,-0.39102340397535473,-0.39102340397535473,-0.4847832118836237,-0.39102340397535473
1905,-0.06944277994881937,-0.06944277994881937,-0.11146301954442517,-0.06944277994881937
1906,0.015925487637556246,0.015925487637556246,-0.18241671865478198,0.015925487637556246
1907,-0.3043239704368042,-0.3043239704368042,-0.26260689605857124,-0.3043239704368042
1908,-0.24590575000699155,-0.24590575000699155,-0.17857028994376542,-0.24590575000699155
1909,-0.2830485930002731,-0.2830485930002731,-0.2541650957237206,-0.2830485930002731
1910,-0.13323575644206287,-0.13323575644206287,-0.3191295922389096,-0.13323575644206287
1911,-0.2911876702202548,-0.2911876702202548,-0.16408550356373233,-0.2911876702202548
1912,-0.6276803697010565,-0.6276803697010565,-0.503021623063932,-0.6276803697010565
1913,-0.47867526377268854,-0.47867526377268854,-0.6628036507823258,-0.47867526377268854
1914,-0.1386409776297097,-0.1386409776297097,-0.34399484675469194,-0.1386409776297097
