year,ssp245,ssp585,ssp370,ssp126
1850,0.06760042031805184,0.5921843331885058,0.023885094245514025,0.5921843331885058
1851,0.3668831456406238,0.25155606284876225,0.37649373587327895,0.25155606284876225
1852,0.18245860084038626,-0.1704698375101154,0.21186930403626142,-0.1704698375101154
1853,0.5990090226678212,1.3168394810401554,0.53918981780346,1.3168394810401554
1854,-0.34414687688569084,-0.9383979134726722,-0.29462595717010914,-0.9383979134726722
1855,-0.06788995393233435,-0.5940422754150236,-0.02404392714211026,-0.5940422754150236
1856,0.7812669405882356,0.9423438756314576,0.7678438626679671,0.9423438756314576
1857,0.44577136370405435,0.27293853576520083,0.4601740993656254,0.27293853576520083
1858,-0.12954959434019686,-0.8885285533856513,-0.06630134775307565,-0.8885285533856513
1859,-0.21322768404696982,-0.7259361546060423,-0.17050197816704715,-0.7259361546060423
1860,0.2213765932913165,0.728842497204388,0.17908776796522716,0.728842497204388
1861,-0.19726471800799217,0.42866012395869557,-0.2494251215052162,0.42866012395869557
1862,0.2301361961336795,0.7303110464694964,0.18845495860569472,0.7303110464694964
1863,0.5817367152184469,2.1569491724878027,0.4504690104460007,2.1569491724878027
1864,-0.30342979011754345,-0.9549894520279049,-0.24913315162501334,-0.9549894520279049
1865,-0.5267465315030235,-0.42318446153929246,-0.535376704000001,-0.42318446153929246
1866,0.20369534405824613,0.25693560624367084,0.1992586555427941,0.25693560624367084
1867,1.2157091295717402,1.581936096511112,1.185190215660126,1.581936096511112
1868,1.1081431580154024,0.4758204437136389,1.1608367175405494,0.4758204437136389
1869,-0.6222067069237129,-0.5752902750854879,-0.6261164095768983,-0.5752902750854879
1870,-0.44683155481090997,-0.09884294694292403,-0.47583060546657535,-0.09884294694292403
1871,0.44340329906447823,0.4856714929834169,0.4398809495712333,0.4856714929834169
1872,0.34018408890762775,-0.5899000051930776,0.41769109674935323,-0.5899000051930776
1873,0.06872223129126658,-0.524991627090573,0.11819838615641988,-0.524991627090573
1874,0.4707473989816316,0.9004762496987658,0.4349366614218703,0.9004762496987658
1875,0.6952568525260795,0.18594068261279187,0.7376998666855201,0.18594068261279187
1876,-0.28254806611416683,0.7057093507353761,-0.36490285085162877,0.7057093507353761
1877,-0.5003897043215725,0.4299875806080847,-0.5779211447323772,0.4299875806080847
1878,-0.3900220413060459,0.40018016123814887,-0.45587222485139545,0.40018016123814887
1879,-0.4045868163870573,-0.0698309701818918,-0.43248313690415446,-0.0698309701818918
1880,0.20242425448413065,0.19719151006409202,0.20286031651913383,0.19719151006409202
1881,-0.12576998761462413,-0.9948788006348968,-0.053344253196268065,-0.9948788006348968
1882,0.4290443711112214,0.5072323381507211,0.4225287071912631,0.5072323381507211
1883,-1.411791248740369,-0.38860947233714394,-1.4970563967739714,-0.38860947233714394
1884,-1.2122107663629778,-0.5704606963857239,-1.2656899388610825,-0.5704606963857239
1885,-0.4320719633931126,-0.603004584896644,-0.41782757826781836,-0.603004584896644
1886,-0.630464168712922,-0.9369983193420737,-0.6049196561604926,-0.9369983193420737
1887,-0.8800581112211874,-0.6115459498297015,-0.902434124670478,-0.6115459498297015
1888,-0.6550750209803057,-0.3163871884972592,-0.6832990070205596,-0.3163871884972592
1889,0.7971868717605761,0.296293880542829,0.8389279543620549,0.296293880542829
1890,0.0704301810501973,-0.14741988450446397,0.08858435317975241,-0.14741988450446397
1891,-0.8032517226708156,-0.5654448584253418,-0.8230689613579385,-0.5654448584253418
1892,-1.0942751823940993,-1.5635205897570361,-1.0551713984471878,-1.5635205897570361
1893,1.3715945106222218,1.170701838142407,1.3883355666622064,1.170701838142407
1894,0.6980803875193595,1.1666430315162422,0.6590335005196193,1.1666430315162422
1895,-0.4874776186275801,-0.39103388271601125,-0.4955145966202108,-0.39103388271601125
1896,0.1776489088275076,-0.06303028053484933,0.19770550794103736,-0.06303028053484933
1897,0.6176432373272923,1.3070892874912188,0.5601893998136317,1.3070892874912188
1898,0.08199427682565943,0.3731900167586034,0.05772796516458076,0.3731900167586034
1899,-0.28316979723918706,-0.057176893392645256,-0.30200253922639886,-0.057176893392645256
1900,-0.6373708847216194,-0.5038720954717972,-0.6484957838257713,-0.5038720954717972
1901,-0.40091576002017915,0.3038031865153228,-0.45964233889813766,0.3038031865153228
1902,-0.11536871262356929,0.12295778753445086,-0.1352292543034043,0.12295778753445086
1903,-0.2650365052318958,-0.07892021937266744,-0.2805461957201648,-0.07892021937266744
1904,-0.6395827581392236,-0.467417698410043,-0.6539298464499886,-0.467417698410043
1905,0.03921630300282436,0.2980770800515691,0.01764457158209559,0.2980770800515691
1906,0.07064613976923284,0.276186936589939,0.05351774003417392,0.276186936589939
1907,-0.17157688070303895,-0.22736553367615497,-0.1669278262886126,-0.22736553367615497
1908,-0.16034449746045196,-0.18518063740202617,-0.1582748191319874,-0.18518063740202617
