year,ssp585,ssp245,ssp370,ssp126
1850,0.16827223646035888,0.16827223646035888,0.16827223646035888,0.16827223646035888
1851,0.5329693734783518,0.5329693734783518,0.5329693734783518,0.5329693734783518
1852,0.1835481989167507,0.18354819891675073,0.18354819891675073,0.18354819891675073
1853,-0.21810635033143516,-0.21810635033143513,-0.21810635033143513,-0.21810635033143513
1854,-0.45187561086981054,-0.45187561086981054,-0.45187561086981054,-0.45187561086981054
1855,-0.07872994571584191,-0.07872994571584194,-0.07872994571584194,-0.07872994571584194
1856,-0.3896783597053844,-0.3896783597053844,-0.3896783597053844,-0.3896783597053844
1857,0.3675024234885765,0.3675024234885764,0.3675024234885764,0.3675024234885764
1858,0.4802379180468223,0.4802379180468222,0.4802379180468222,0.4802379180468222
1859,0.09508604394890291,0.09508604394890297,0.09508604394890297,0.09508604394890297
1860,0.2028650655440385,0.2028650655440385,0.2028650655440385,0.2028650655440385
1861,0.06574254195362772,0.06574254195362772,0.06574254195362772,0.06574254195362772
1862,-1.2070333499268078,-1.2070333499268078,-1.2070333499268078,-1.2070333499268078
1863,0.014474796285969628,0.014474796285969628,0.014474796285969628,0.014474796285969628
1864,0.7210804179269383,0.7210804179269383,0.7210804179269383,0.7210804179269383
1865,-0.7015767274487601,-0.7015767274487601,-0.7015767274487601,-0.7015767274487601
1866,-0.36931708309213,-0.36931708309213,-0.36931708309213,-0.36931708309213
1867,0.6922472215166602,0.6922472215166601,0.6922472215166601,0.6922472215166601
1868,0.16262497580498436,0.16262497580498436,0.16262497580498436,0.16262497580498436
1869,-0.06609528229006027,-0.06609528229006026,-0.06609528229006026,-0.06609528229006026
1870,0.20645873066669335,0.20645873066669335,0.20645873066669335,0.20645873066669335
1871,-0.07364962954767916,-0.07364962954767916,-0.07364962954767916,-0.07364962954767916
1872,0.06154894078589619,0.06154894078589619,0.06154894078589619,0.06154894078589619
1873,0.4313816776448446,0.4313816776448446,0.4313816776448446,0.4313816776448446
1874,-0.07708841931636946,-0.07708841931636946,-0.07708841931636946,-0.07708841931636946
1875,-0.031394786054076,-0.031394786054076,-0.031394786054076,-0.031394786054076
1876,-0.6560327150164758,-0.6560327150164758,-0.6560327150164758,-0.6560327150164758
1877,-0.4158829309022181,-0.4158829309022181,-0.4158829309022181,-0.4158829309022181
1878,-0.3432631495408452,-0.34326314954084514,-0.34326314954084514,-0.34326314954084514
1879,0.43780334301329255,0.43780334301329255,0.43780334301329255,0.43780334301329255
1880,0.013913841995271334,0.01391384199527132,0.01391384199527132,0.01391384199527132
1881,-0.25152921545197,-0.25152921545197,-0.25152921545197,-0.25152921545197
1882,0.46127461025598804,0.46127461025598804,0.46127461025598804,0.46127461025598804
1883,-0.4587532239186841,-0.4587532239186841,-0.4587532239186841,-0.4587532239186841
1884,-1.8050442304325602,-1.8050442304325602,-1.8050442304325602,-1.8050442304325602
1885,-1.2130927729957182,-1.2130927729957182,-1.2130927729957182,-1.2130927729957182
1886,-0.34498483439707783,-0.3449848343970778,-0.3449848343970778,-0.3449848343970778
1887,-0.19953333049632097,-0.19953333049632097,-0.19953333049632097,-0.19953333049632097
1888,0.1299480892217283,0.1299480892217283,0.1299480892217283,0.1299480892217283
1889,-1.0378646555304474,-1.0378646555304474,-1.0378646555304474,-1.0378646555304474
1890,-0.03322102512174244,-0.033221025121742465,-0.033221025121742465,-0.033221025121742465
1891,0.5449976904749052,0.5449976904749052,0.5449976904749052,0.5449976904749052
1892,0.16048026174265212,0.16048026174265212,0.16048026174265212,0.16048026174265212
1893,-0.0736873398919495,-0.07368733989194949,-0.07368733989194949,-0.07368733989194949
1894,-0.39462651536825905,-0.394626515368259,-0.394626515368259,-0.394626515368259
1895,-0.7038790609884147,-0.7038790609884147,-0.7038790609884147,-0.7038790609884147
1896,0.48088005402605805,0.48088005402605805,0.48088005402605805,0.48088005402605805
1897,-0.5239807556972087,-0.5239807556972087,-0.5239807556972087,-0.5239807556972087
1898,-0.21071051094081616,-0.21071051094081616,-0.21071051094081616,-0.21071051094081616
1899,0.022100294569312534,0.022100294569312534,0.022100294569312534,0.022100294569312534
1900,0.07377642542894919,0.07377642542894919,0.07377642542894919,0.07377642542894919
1901,-0.1280406590492118,-0.1280406590492118,-0.1280406590492118,-0.1280406590492118
1902,-1.2625221274346619,-1.2625221274346619,-1.2625221274346619,-1.2625221274346619
1903,-0.5544116892435633,-0.5544116892435633,-0.5544116892435633,-0.5544116892435633
1904,-0.4498676600818221,-0.4498676600818221,-0.4498676600818221,-0.4498676600818221
1905,-0.2482041938514262,-0.24820419385142617,-0.24820419385142617,-0.24820419385142617
1906,-0.1106625014814469,-0.1106625014814469,-0.1106625014814469,-0.1106625014814469
1907,-0.6872945371893249,-0.6872945371893249,-0.6872945371893249,-0.6872945371893249
1908,0.24861994190332753,0.24861994190332742,0.24861994190332742,0.24861994190332742
1909,-0.9341078730233581,-0.9341078730233582,-0.9341078730233582,-0.9341078730233582
1910,-0.5690934329040849,-0.5690934329040849,-0.5690934329040849,-0.5690934329040849
1911,-0.1490812135896806,-0.1490812135896806,-0.1490812135896806,-0.1490812135896806
1912,-0.6190327499296404,-0.6190327499296404,-0.6190327499296404,-0.6190327499296404
1913,-1.0683724787484608,-1.0683724787484608,-1.0683724787484608,-1.0683724787484608
1914,-0.8969988920321386,-0.8969988920321386,-0.8969988920321386,-0.8969988920321386
1915,-0.523209039226363,-0.523209039226363,-0.523209039226363,-0.523209039226363
1916,-0.8939083854401584,-0.8939083854401584,-0.8939083854401584,-0.8939083854401584
