year,ssp126,ssp245,ssp585
1850,0.4012147130417509,0.4012147130417509,0.4012147130417509
1851,0.3212279821900329,0.3212279821900329,0.3212279821900329
1852,0.03279275684654963,0.03279275684654963,0.03279275684654963
1853,0.11489284547072424,0.11489284547072424,0.11489284547072424
1854,0.4016062291383395,0.4016062291383395,0.4016062291383395
1855,0.2866346378237948,0.2866346378237948,0.2866346378237948
1856,0.5677897531350972,0.5677897531350972,0.5677897531350972
1857,0.25392012120679913,0.25392012120679913,0.25392012120679913
1858,-0.09417075486750014,-0.09417075486750014,-0.09417075486750014
1859,0.08452046022249546,0.08452046022249546,0.08452046022249546
1860,0.1860776393487599,0.1860776393487599,0.1860776393487599
1861,-0.27905516822469956,-0.27905516822469956,-0.27905516822469956
1862,-0.2128054571061,-0.2128054571061,-0.2128054571061
1863,-0.1659779016556658,-0.1659779016556658,-0.1659779016556658
1864,0.09327209261055269,0.09327209261055269,0.09327209261055269
1865,0.37305352914052425,0.37305352914052425,0.37305352914052425
1866,0.14117551751704166,0.14117551751704166,0.14117551751704166
1867,0.23830845364915598,0.23830845364915598,0.23830845364915598
1868,0.06393754947872132,0.06393754947872132,0.06393754947872132
1869,0.31144938863643645,0.31144938863643645,0.31144938863643645
1870,0.7496136829495053,0.7496136829495053,0.7496136829495053
1871,0.25632384223244953,0.25632384223244953,0.25632384223244953
1872,0.05280743151095128,0.05280743151095128,0.05280743151095128
1873,0.1242162496131166,0.1242162496131166,0.1242162496131166
1874,0.6835034510303696,0.6835034510303696,0.6835034510303696
1875,0.31775462480413025,0.31775462480413025,0.31775462480413025
1876,0.17378418459856698,0.17378418459856698,0.17378418459856698
1877,0.21458835138688195,0.21458835138688195,0.21458835138688195
1878,0.3088902227406295,0.3088902227406295,0.3088902227406295
1879,0.03539467626695411,0.03539467626695411,0.03539467626695411
1880,0.24450504182640165,0.24450504182640165,0.24450504182640165
1881,0.28795548774980995,0.28795548774980995,0.28795548774980995
1882,-0.1774623518074519,-0.1774623518074519,-0.1774623518074519
1883,-0.6635834685062818,-0.6635834685062818,-0.6635834685062818
1884,-1.6202030228596427,-1.6202030228596427,-1.6202030228596427
1885,-0.7603994395547536,-0.7603994395547536,-0.7603994395547536
1886,-0.34179492959991087,-0.34179492959991087,-0.34179492959991087
1887,-0.31023117625868313,-0.31023117625868313,-0.31023117625868313
1888,-0.4513544549981481,-0.4513544549981481,-0.4513544549981481
1889,0.19489742486715597,0.19489742486715597,0.19489742486715597
1890,-0.101669175836266,-0.101669175836266,-0.101669175836266
1891,-0.4736413820411275,-0.4736413820411275,-0.4736413820411275
1892,0.158566417938985,0.158566417938985,0.158566417938985
1893,0.08228385233253327,0.08228385233253327,0.08228385233253327
1894,0.26472987652099056,0.26472987652099056,0.26472987652099056
1895,0.16101055575985362,0.16101055575985362,0.16101055575985362
1896,-0.15051176471459596,-0.15051176471459596,-0.15051176471459596
1897,0.31154115425476314,0.31154115425476314,0.31154115425476314
1898,0.24859018784762965,0.24859018784762965,0.24859018784762965
1899,0.02093942440505453,0.02093942440505453,0.02093942440505453
1900,0.011552396474180049,0.011552396474180049,0.011552396474180049
1901,0.09399122115355452,0.09399122115355452,0.09399122115355452
1902,-0.20565507003422973,-0.20565507003422973,-0.20565507003422973
1903,-0.8397467516361121,-0.8397467516361121,-0.8397467516361121
1904,-0.568898606331665,-0.568898606331665,-0.568898606331665
1905,-0.42321864154920247,-0.42321864154920247,-0.42321864154920247
1906,0.1300191564569409,0.1300191564569409,0.1300191564569409
1907,0.08019234899474553,0.08019234899474553,0.08019234899474553
1908,0.23799315839751534,0.23799315839751534,0.23799315839751534
1909,0.15542788021431742,0.15542788021431742,0.15542788021431742
1910,0.002316838223101192,0.002316838223101192,0.002316838223101192
1911,0.07482409345337548,0.07482409345337548,0.07482409345337548
1912,-0.6770484335810374,-0.6770484335810374,-0.6770484335810374
1913,-0.5060027446127825,-0.5060027446127825,-0.5060027446127825
1914,-0.04162539117190167,-0.04162539117190167,-0.04162539117190167
1915,0.04674801062485995,0.04674801062485995,0.04674801062485995
1916,0.4233359284587892,0.4233359284587892,0.4233359284587892
1917,0.20030882505921765,0.20030882505921765,0.20030882505921765
1918,0.08119470839988474,0.08119470839988474,0.08119470839988474
1919,-0.325636979628312,-0.325636979628312,-0.325636979628312
1920,0.05855213640059309,0.05855213640059309,0.05855213640059309
1921,-0.32652703475787503,-0.32652703475787503,-0.32652703475787503
1922,-0.3524912221598969,-0.3524912221598969,-0.3524912221598969
1923,-0.16252472606507673,-0.16252472606507673,-0.16252472606507673
1924,0.09724793859236258,0.09724793859236258,0.09724793859236258
1925,0.05924714967048683,0.05924714967048683,0.05924714967048683
1926,-0.1020717018493148,-0.1020717018493148,-0.1020717018493148
1927,0.028394989637844592,0.028394989637844592,0.028394989637844592
1928,0.031489968147098146,0.031489968147098146,0.031489968147098146
1929,0.022157359583652836,0.022157359583652836,0.022157359583652836
1930,-0.17769556373992257,-0.17769556373992257,-0.17769556373992257
1931,-0.42557850154209387,-0.42557850154209387,-0.42557850154209387
1932,0.1633184446243131,0.1633184446243131,0.1633184446243131
1933,0.24729168807807445,0.24729168807807445,0.24729168807807445
1934,0.16387048001363447,0.16387048001363447,0.16387048001363447
1935,-0.23096036348396842,-0.23096036348396842,-0.23096036348396842
1936,0.13539505184435763,0.13539505184435763,0.13539505184435763
1937,0.007214646554092208,0.007214646554092208,0.007214646554092208
1938,-0.18797662684683225,-0.18797662684683225,-0.18797662684683225
1939,0.14774617205829432,0.14774617205829432,0.14774617205829432
1940,0.021379930620557097,0.021379930620557097,0.021379930620557097
1941,0.38153192421717264,0.38153192421717264,0.38153192421717264
1942,-0.437268726674519,-0.437268726674519,-0.437268726674519
1943,-0.3341142270457246,-0.3341142270457246,-0.3341142270457246
1944,0.12101678103284874,0.12101678103284874,0.12101678103284874
1945,0.1382895544544166,0.1382895544544166,0.1382895544544166
1946,0.7381331974992568,0.7381331974992568,0.7381331974992568
1947,-0.11319641808522052,-0.11319641808522052,-0.11319641808522052
1948,-0.09244363909951892,-0.09244363909951892,-0.09244363909951892
1949,0.2256747142835468,0.2256747142835468,0.2256747142835468
1950,-0.07925653505769503,-0.07925653505769503,-0.07925653505769503
1951,0.010212768373963566,0.010212768373963566,0.010212768373963566
1952,-0.12062574439989449,-0.12062574439989449,-0.12062574439989449
1953,-0.8511012458056982,-0.8511012458056982,-0.8511012458056982
1954,-0.3491308309115577,-0.3491308309115577,-0.3491308309115577
1955,-0.2550692587464173,-0.2550692587464173,-0.2550692587464173
1956,-0.1332157265429178,-0.1332157265429178,-0.1332157265429178
1957,-0.39590268199370265,-0.39590268199370265,-0.39590268199370265
1958,-0.1972230902599289,-0.1972230902599289,-0.1972230902599289
1959,-0.5057136502255895,-0.5057136502255895,-0.5057136502255895
1960,-0.11884036722069868,-0.11884036722069868,-0.11884036722069868
1961,-0.3586770116846931,-0.3586770116846931,-0.3586770116846931
1962,-0.520982857793487,-0.520982857793487,-0.520982857793487
1963,-2.235405915959392,-2.235405915959392,-2.235405915959392
1964,-1.1500105827192555,-1.1500105827192555,-1.1500105827192555
1965,-1.607661547738184,-1.607661547738184,-1.607661547738184
1966,-0.9594642108915861,-0.9594642108915861,-0.9594642108915861
1967,-0.8787637000876356,-0.8787637000876356,-0.8787637000876356
1968,-0.6254906363778804,-0.6254906363778804,-0.6254906363778804
1969,-0.3926326263440688,-0.3926326263440688,-0.3926326263440688
1970,-0.6746274636298601,-0.6746274636298601,-0.6746274636298601
1971,-1.1313106580706291,-1.1313106580706291,-1.1313106580706291
1972,-1.1822090883480891,-1.1822090883480891,-1.1822090883480891
1973,-0.27854610167176785,-0.27854610167176785,-0.27854610167176785
1974,-0.5961542185969662,-0.5961542185969662,-0.5961542185969662
1975,-1.0518934197631007,-1.0518934197631007,-1.0518934197631007
1976,-0.8960825157833292,-0.8960825157833292,-0.8960825157833292
1977,-0.6870849764901035,-0.6870849764901035,-0.6870849764901035
1978,-0.07834435311345023,-0.07834435311345023,-0.07834435311345023
1979,-0.5093821526515705,-0.5093821526515705,-0.5093821526515705
1980,-0.49625713635643187,-0.49625713635643187,-0.49625713635643187
1981,-0.6845141842892526,-0.6845141842892526,-0.6845141842892526
1982,-1.3184703008845857,-1.3184703008845857,-1.3184703008845857
1983,-2.735580402374097,-2.735580402374097,-2.735580402374097
1984,-1.5625499387171966,-1.5625499387171966,-1.5625499387171966
1985,-0.5512763398503424,-0.5512763398503424,-0.5512763398503424
1986,-0.44426471106452237,-0.44426471106452237,-0.44426471106452237
1987,-0.43144107125399245,-0.43144107125399245,-0.43144107125399245
1988,-0.3731480650980661,-0.3731480650980661,-0.3731480650980661
1989,0.08297193712403494,0.08297193712403494,0.08297193712403494
1990,-0.45789833249536094,-0.45789833249536094,-0.45789833249536094
1991,-1.3966225092885978,-1.3966225092885978,-1.3966225092885978
1992,-2.662731327749575,-2.662731327749575,-2.662731327749575
1993,-1.4474612075700046,-1.4474612075700046,-1.4474612075700046
1994,-0.30938398716132864,-0.30938398716132864,-0.30938398716132864
1995,-0.34475954932051867,-0.34475954932051867,-0.34475954932051867
1996,-0.4236432934955756,-0.4236432934955756,-0.4236432934955756
1997,-0.004085359719381065,-0.004085359719381065,-0.004085359719381065
1998,0.1285628654308364,0.1285628654308364,0.1285628654308364
1999,-0.07864445667580977,-0.07864445667580977,-0.07864445667580977
2000,0.04165987690349615,0.04165987690349615,0.04165987690349615
2001,0.12885999995273467,0.12885999995273467,0.12885999995273467
2002,0.15589934698913854,0.15589934698913854,0.15589934698913854
2003,0.09903981331933265,0.09903981331933265,0.09903981331933265
2004,-0.07939902710584201,-0.07939902710584201,-0.07939902710584201
2005,-0.11611559396061288,-0.11611559396061288,-0.11611559396061288
2006,-0.5077636476049354,-0.5077636476049354,-0.5077636476049354
2007,-0.1684907638614921,-0.1684907638614921,-0.1684907638614921
2008,-0.2724073688606916,-0.2724073688606916,-0.2724073688606916
2009,-0.3313567735284426,-0.3313567735284426,-0.3313567735284426
2010,-0.260492433022427,-0.260492433022427,-0.260492433022427
2011,-0.10070153828966033,-0.10070153828966033,-0.10070153828966033
2012,0.263193889562626,0.263193889562626,0.263193889562626
2013,-0.16906901298704113,-0.16906901298704113,-0.16906901298704113
2014,0.15404211177167548,0.15404211177167548,0.15404211177167548
2015,0.0843333196820586,0.023963875821130465,0.19091554984002856
2016,-0.06369743045973708,-0.31978744738485165,0.1243411622466799
2017,0.13164305714340285,0.13268119076810292,0.22965287202358686
2018,0.049431499768947784,0.33797403864027586,0.2746451810689279
2019,-0.15693115936974422,-0.008987041780646354,-0.02573475364690836
2020,-0.19277267238718787,0.1217530318590323,-0.21960378064646902
2021,-0.10143467426015684,-0.14777267952494855,-0.15246299910874583
2022,-0.3129356001246073,-0.24739482233254861,0.25659066922880003
2023,0.07165522990494644,0.03647025580311869,0.15242276428459522
2024,-0.37031068928924826,-0.07963698407608222,0.1796232912676552
2025,-0.4542212355808748,-0.5465315035524618,-0.04146603897666301
2026,0.03782975508975106,-0.3110305934181463,0.07787759862654475
2027,-0.40466665068368224,-0.23105443533197567,0.2874420783196827
2028,-0.19324729385248318,-0.3010757560270845,0.23360103199224147
2029,-0.020893444475787337,-0.05900515507964421,0.1381910588363553
2030,-0.5254654109198889,0.21432914898024968,0.07975488699347943
2031,-0.26523205164598807,0.1580817315856966,0.3426036597371649
2032,-0.09291313993856232,-0.31404036064394036,0.32926544092181453
2033,-0.14572254413860364,-0.24738207825511793,0.42552787439383266
2034,-0.16236111451573443,0.15716108579980537,0.2929899352352665
2035,-0.5479970118064279,0.45016073437387183,0.4926027889697524
2036,-0.14502777262833444,-0.2043581712319016,0.2028823641308346
2037,0.03274247837945321,-0.17843995223719844,0.1541932342150769
2038,-0.2360800626392754,-0.22714832719007383,0.3865405219175502
2039,-0.2991746506656008,-0.21640172263552104,0.4383031396950239
2040,-0.2883962774581308,-0.12326983827518845,0.40002831285871654
2041,-0.13142778679207412,-0.09610276614308777,0.12706893552306653
2042,-0.5305466511424952,-0.48017011438819557,0.19626561435877932
2043,0.014053081925792466,-0.41503444185279825,-0.129524651436018
2044,-0.8217947783571127,-0.27774773989589985,-0.1369179102797773
2045,-0.1120722095754676,-0.23204953981194087,0.004733153270501056
2046,-0.14394685957467557,-0.5834760981245841,0.0031617022825889407
2047,-0.425097219193189,-0.0027445298626727066,0.4150555606684039
2048,-0.3072680294321133,-0.0009264394130852338,0.5053197430713743
2049,-1.124480542864204,0.18998866844675444,-0.5470564840956005
2050,-0.6429333226398697,-0.21355211371883343,-0.07747932825646942
2051,-0.6491577715318781,-0.5217272763584875,0.46113490839123283
2052,-0.2804497540737372,-0.046768544997398465,0.4444144757502082
2053,-0.5727315561360826,-0.5672000498359004,0.2740034179334101
2054,-0.49276008053858167,-0.4610535524650432,0.3249370494591366
2055,-0.3601474951347141,-0.44397288274434477,0.04366542651123595
2056,-0.7509879011573988,-0.11459155528013376,0.17129686584985748
2057,-0.6021713214853914,-0.3461708626040263,0.1160104615332962
2058,-0.7372374549563818,-0.7402363219739598,-0.15994732114985322
2059,-0.6661469552666479,-0.4679860085228995,-0.1251860278200443
2060,-0.6396082696537446,-0.3272291135016987,-0.5028697548254506
