year,ssp585,ssp126
1850,0.3112110843746408,0.6685293065761133
1851,0.46360682497394456,0.16336967189951812
1852,-0.22021583652808055,-0.5441042766083612
1853,0.18416425480520923,0.4276403591707115
1854,0.06389966433216504,0.23704006066210576
1855,0.24378128561942453,0.22000667348207306
1856,0.20603326039786593,0.18962888666802255
1857,-0.12735189504099456,-0.05812696038043386
1858,0.1347958311152076,0.4250963550829472
1859,0.19405660832988686,-0.6505347752204839
1860,0.029616386422779924,-0.15228620119659272
1861,-0.49303458241240233,-0.8306208011855459
1862,-0.5535878930757372,-0.10461847208210677
1863,0.06760688770462514,0.04868310297437183
1864,-0.05485842581737207,-0.11459293304999543
1865,0.116030784050698,0.09941291094594362
1866,0.17947708985759334,0.15963952873139567
1867,0.14493956602507638,-0.3825251253753107
1868,0.2457625051703542,-0.30391080016860367
1869,0.05578134820334774,0.27396788127254557
1870,0.09548001785774868,0.18977089530596872
1871,0.16960692572461064,0.25244852329725487
1872,0.018004899673682448,-0.6142497486691585
1873,-0.295139397441221,-0.5818666238156405
1874,0.11284532827100126,0.32944703395060776
1875,-0.06603029459673743,0.1266979467657065
1876,0.2816216824415949,-0.04875918988719571
1877,-0.12381189535650933,-0.6034810453268616
1878,-0.3504509617568155,-0.37635747604741565
1879,0.3294138122422324,0.1342036912645007
1880,0.15145987860316149,0.38999685920214344
1881,-0.2401411796427496,-0.03344748062019606
1882,-0.04669368343292776,-0.22980574643588147
1883,-0.8025172546684657,-1.2520550617645916
1884,-1.8839012767147731,-2.3424829522173227
1885,-0.9836332744606388,-0.4059696063207373
1886,-0.24155881272200513,-0.34229077826557264
1887,0.043011317287681566,-0.17859175153968707
1888,-0.016476761051611083,-0.1306939816873346
1889,0.07231707560219508,0.14294789386858803
1890,-0.3826616365440325,-0.014885197665005345
1891,-0.4247941564032973,-1.014020255924227
1892,0.018449063888532596,-0.1375275453961433
1893,-0.03610962777909213,-0.257861954468763
1894,0.05889555132151977,0.17369403508748188
1895,0.21830929216952155,0.22982091630693124
1896,-0.04710339476162673,-0.22642757720194384
1897,-0.06858923705907263,0.1381678058056642
1898,-0.04546016160446942,-0.2983208812418725
1899,-0.2649883162033203,-0.23962691898055336
1900,0.2446506623486788,0.4017466794413498
1901,-0.3380784071496822,-0.6117335903349344
1902,-0.3878550213729275,-0.7461961194970732
1903,-1.2146038859880226,-1.4435015634835648
1904,-0.6828955082695469,-0.6882491052777441
1905,-0.357350935367618,-0.683195308891239
1906,-0.29319131384261,-0.36553798991489383
1907,-0.2207827953576123,-0.31934696281950986
1908,-0.038874968159005735,0.09558807555706378
1909,-0.2636699455524717,0.06620816517173023
1910,-0.1635274225781764,-0.4576750348423366
1911,-0.09143298201280115,-0.38370517751845007
1912,-0.7466511366997952,-0.9395082606874338
1913,-0.6904312925108014,-0.5329357561638886
1914,-0.605166026131902,-0.7374432998573588
1915,-0.0810209278007476,0.2175108444293804
1916,-0.16493932129872702,-0.3223684853679073
1917,0.03753422983719118,-0.2435349728357827
1918,-0.24799191065365644,-0.9684158403388962
1919,-0.26665419671343454,-0.19061279016836785
1920,-0.10831840959898048,-0.06275614730280721
1921,-0.24686205185578486,-0.24483630030490217
1922,-0.35102394289574346,-0.46460411003410135
1923,-0.18472310816265713,-0.5391610635484266
1924,-0.20527381360831004,-0.44274916269601566
1925,-0.3829561290113247,-0.7806491052616754
1926,0.024541926463844732,-0.07381765685814068
1927,0.16771389893629113,0.5475251201880711
1928,-0.4768056077510577,-0.539887203769471
1929,-0.48817797010858943,-0.2778305449454077
1930,-0.2558010815142067,-0.2553279258350377
1931,0.016782558535115455,-0.64844147428818
1932,-0.5597233195170327,-0.36019083595623136
1933,-0.22464519325120902,-0.4104058433805199
1934,-0.008936516553996576,-0.17255519724374263
1935,-0.2660642164015655,0.44470479898637016
1936,-0.1116042551076849,0.14632587922254103
1937,-0.2855048121803165,-0.8852514285235382
1938,-0.31284990346335306,-0.25778719007135326
1939,-0.36146403483717743,-0.19779263582719903
1940,-0.30480540675768353,-0.5039611647820901
1941,-0.3426392405094252,-0.42617354373919925
1942,-0.14398214964266276,-0.2995383442035007
1943,-0.23002611917934823,-0.2683424203170221
1944,-0.5953930210650162,-0.8881570369634708
1945,-0.11752016558764433,-0.20777971136857143
1946,-0.04019276349486123,0.22128458395990547
1947,-0.2485599083889692,-0.35458340869084326
1948,-0.20888452184486628,-0.4182856051359235
1949,-0.6002208251766123,-0.6065071480560145
1950,-0.2445115384234256,-0.14527178578134964
1951,-0.2964253688634002,-0.39656738390536733
1952,-0.5483943729054187,-0.7370505290063455
1953,-0.6162746070375794,-0.6583238854906165
1954,-0.7230317264159433,-0.5586025170420912
1955,-0.4298344608920383,-0.4775761436239324
1956,-0.3508120232693307,-0.28569989319580263
1957,-0.5751075955701962,-0.6982295394878315
1958,-0.26945416807802963,-0.77941956415837
1959,-0.760716347331597,-0.77682837413845
1960,-0.8734838537969404,-0.8175585691328142
1961,-0.6721287303838659,-0.5476339317973572
1962,-1.0367094925010454,-1.3430134289332496
1963,-2.357062099661383,-2.237069146197604
1964,-1.4790084806820079,-1.252375658006625
1965,-1.0879681422799758,-0.8663193292413879
1966,-0.7182202200583164,-1.1445728426484088
1967,-1.0505729599570723,-0.6510839043468702
1968,-1.1773519666947632,-0.894794870199867
1969,-0.8016193659380052,-1.2946329147725248
1970,-0.7237057716500996,-0.628521135703044
1971,-0.9497203298215713,-0.7963202665876855
1972,-0.866530885892037,-0.7137441307164395
1973,-0.5293176452004253,-0.5199472527159119
1974,-1.1421975499798607,-1.2931956604991355
1975,-1.231879407305917,-1.0110438608854506
1976,-0.8203235090861652,-0.6245543030171541
1977,-0.6269895879887519,-0.6894780896755605
1978,-0.4826875195884046,-0.18589994569623602
1979,-0.5433361194863594,-0.8077778458213132
1980,-1.0235461922777351,-0.8538645873931487
1981,-0.8496082916269653,-1.1034672384010744
1982,-1.095790236486513,-0.865123773808851
1983,-1.2787122840212202,-0.9250876935160613
1984,-1.4292546677590832,-1.2280346389209817
1985,-0.7547412324909588,-0.6610736136990547
1986,-0.7174449246245918,-0.8412794614807286
1987,-0.7293460679921615,-1.19010684296997
1988,-0.37819163943909573,-0.7350118498308935
1989,-0.37154672516432874,-1.0144454608425257
1990,-0.45471855837006636,-0.2967963312984675
1991,-1.3844341326008145,-1.50457851621487
1992,-2.359179467660261,-2.3710826584031848
1993,-1.6208530553537968,-1.7078179181393303
1994,-0.6587076832884791,-0.5280741322019319
1995,-0.2738401569115154,-0.39283597580249396
1996,-0.48131418565652695,-0.09075595706658746
1997,-0.2638196741279968,-0.042670543016430695
1998,-0.2031792802722372,-0.4331131250413195
1999,-0.26535900563541737,-0.09768415400337926
2000,-0.19624736817244215,0.49184951150512557
2001,-0.1887699551884452,-0.0543608151280941
2002,-0.2908040430977159,-0.926084398767447
2003,-0.5848574579333823,-0.44418572780760424
2004,-0.30380328564473946,-0.25854855599130233
2005,-0.2876967220822473,-0.12735544929878362
2006,-0.6340885103505012,-0.5637957072645214
2007,-0.4147808439356111,-0.27347399467774336
2008,-0.5557908069036288,-0.4973969396673066
2009,-0.3768102392139605,-0.9524955746780891
2010,0.019059821417260814,0.04013524664555512
2011,-0.021653023669414795,0.17044652716911046
2012,-0.0081053291310893,-0.22090512225716452
2013,-0.31451543078239297,-0.6649718320132012
2014,0.1057738768127714,0.3810958667337556
2015,0.16307970490851287,-0.07048866408459942
2016,-0.1376358187233222,0.0018277092513885318
2017,-0.10529023417480365,-0.7680687727096456
2018,0.025161909209739264,0.10240834167343627
2019,0.3033519784411287,0.10787115111177847
2020,0.07034310945179456,-0.36966539146936217
2021,-0.15346802040172225,0.009123476872812564
2022,0.3925855239006233,0.4339349125331986
2023,0.4229869053909838,0.8841223516268593
2024,0.08372296206392482,-0.10703017342642074
2025,0.24918997692686196,0.2648319508541155
2026,0.3678186166926922,0.2270046392668581
2027,0.41770946861538416,0.4157579620821812
2028,0.35579378878230417,0.005899818071764429
2029,0.08496005848741683,0.4308254860586529
2030,0.5374567380128643,0.38647056528951973
2031,0.4636891353763546,0.472152868939375
2032,0.20025903871039352,-0.17050813007247578
2033,0.7582972478277243,0.2754651203667482
2034,0.6747786880956395,0.45576086755651257
2035,0.6041563536893144,0.29005395489354013
2036,0.6539067229144275,0.37252106296139686
2037,0.6556457414491099,0.2244011917396933
2038,0.6872147764103511,0.7913686183109196
2039,0.9017608101901682,0.3719423298736708
2040,0.6724955150790559,0.24290978213375025
2041,0.6286853955697951,-0.11833413801663228
2042,0.6898748145364939,0.36126686009650166
2043,0.6381182946282733,0.6519731589562636
2044,0.6104927015857462,0.48626061006247845
2045,0.8449199558986988,0.5678156139225368
2046,0.8379680533444787,0.6188767591148698
2047,1.0674590635654675,-0.033121367011331504
2048,0.8019886890230619,0.965953044905806
2049,1.0620333585909538,0.22666420461414072
2050,0.7651701911914346,0.2693940974093545
2051,1.1438807887440308,0.694265153744059
2052,0.8982483122125302,0.4732592959514954
2053,1.0487639966495381,0.4740518693887279
2054,1.0053542076981685,0.5293856334050582
2055,0.81972648954594,0.4298448420610752
2056,1.2262496634372244,0.5339224259655908
2057,0.9556888362032225,0.6333404655637898
2058,1.1927494152346947,0.39607833970992035
2059,1.3624140077525402,0.8536739962478155
2060,1.231049113564577,0.771404434878801
2061,1.2322284521226745,0.527808703464451
2062,1.0013132774154538,0.8566906824652842
2063,1.012349580890918,0.8686923451313353
2064,0.9251964522685148,0.5732910857059448
2065,1.1438442162389064,0.9523219624898216
2066,1.0644346009910146,0.3898211901253914
2067,1.4901243877574224,0.6428589759288537
2068,1.2951629206442163,1.4860727690539695
2069,1.3414618225712251,1.0054873555209367
2070,1.3464085655259366,0.5408230433379346
2071,1.0741724971914044,1.326767963876832
2072,1.390003515109182,1.060302018290777
2073,1.1523391515911214,0.6356267277769625
2074,1.2119628180714583,0.5424140546344027
2075,1.3863180098643406,1.0808231014423297
2076,1.3374483156479045,0.5577279366599912
2077,1.2498654864443024,0.902767677657514
2078,1.508482121289532,0.8216228613073615
2079,1.3569764723683537,0.5906889229064256
2080,1.774373006786342,0.7499427047887397
2081,1.4270321692319623,0.7645357751943371
