,tas,rsdt,rsut,rlut
2015,287.67907484836996,340.34394956041194,100.9667387367259,237.87581002699423
2016,287.6928459452573,340.27736917746796,101.25523452198154,237.8621116753509
2017,287.7270570327218,340.25119696295275,101.29386969573572,237.4570446440049
2018,287.9752895130624,340.24039930698086,101.40978401202744,237.59692044102175
2019,287.92097548857635,340.23799579669804,101.75164383523713,237.86512188454125
2020,287.6815434821329,340.25899541007544,100.92093944244812,237.75919947588704
2021,287.68373461599157,340.31724681280474,101.26680644807902,237.458641193107
2022,287.78298042669456,340.39684201295745,101.08843851432363,237.57652292256117
2023,288.00162839539814,340.4468983826957,101.35526122927342,237.459102496564
2024,288.112462205591,340.4686559146823,101.30699652908407,238.18885436280053
2025,287.91669731164114,340.41755624797025,100.91174866103029,237.91399300200123
2026,288.0154725663954,340.36812073179175,101.1195923389871,237.71199319618646
2027,288.0992991692974,340.3208208155904,101.15796301339238,238.0089522306624
2028,288.0415721868804,340.3098045921981,100.90284360652653,237.72548473747278
2029,288.103176787942,340.26500974455394,101.10024236394337,237.45530242194124
2030,288.2545752164178,340.2457551440845,101.2190437482473,237.64391837341807
2031,288.327822706349,340.23192914542545,101.18590292659854,237.89827132294715
2032,288.172606580558,340.2409082119888,100.85791871273689,237.73055344148062
2033,288.18117270375205,340.2754098772791,100.89577463425326,237.5008620020983
2034,288.3414305440187,340.3535615421285,101.10440524771111,237.87901620542195
2035,288.3970581350624,340.3599164687222,100.9724858562022,237.94456064946667
2036,288.2613219599925,340.4066265549944,100.98387360604072,237.75621212075347
2037,288.3303663001936,340.35709419159394,101.01405051423878,237.77139839697762
2038,288.4125834915016,340.35691485553735,101.16929252518975,237.5343918173244
2039,288.44142686817514,340.31686708531976,100.76924082840979,237.93565890674145
2040,288.38022316489736,340.2747777542756,100.84281107201014,237.56166867054972
2041,288.5341297437949,340.227225059316,100.76253708095071,237.78547243976425
2042,288.5385813556417,340.21633835600795,100.59003325588408,237.82435579622515
2043,288.49959032835136,340.21864266885683,100.7297300613853,237.5906546317592
2044,288.6628399080299,340.25411452002083,100.70904763902801,237.76857797358218
2045,288.69409722066405,340.3129388167203,100.77075188323472,237.76284656275791
2046,288.6856596997266,340.36245475504643,100.82013193157796,237.7223173696935
2047,288.58878763412037,340.42119090638204,100.43671202286941,237.98667754642804
2048,288.7289811197178,340.43128348178504,100.97046366053979,237.70113207790962
2049,288.836702120332,340.3766506937127,100.89533333583388,237.94885885503803
2050,288.8370012734992,340.313954024011,101.47615168676214,237.7070418950899
2051,288.68588894865724,340.2806797583011,100.85218865590338,237.8771415006651
2052,288.59858281679413,340.2591952013304,100.69365880175833,237.63113804071247
2053,288.6075676786193,340.22507031143834,100.37298698255184,237.69924410353897
2054,288.68555157204565,340.2326140479145,100.7626820924905,237.66362623108049
2055,288.83905646065637,340.27631711024,100.73656277101735,237.93584927492563
2056,288.8864207610775,340.33086737115974,101.01344330666699,237.82864949290172
2057,288.97182751165866,340.32683213851027,101.38420493957148,237.78582308902358
2058,288.7178800924142,340.3374940950581,101.2923997670142,238.01144943724344
2059,288.5919385459194,340.3424196882,100.33534742464504,237.65666707431365
2060,288.6724537375358,340.3103689551939,100.56332585200717,237.97228990084636
2061,288.7109016226714,340.262401156907,100.50169513110224,237.84128144126169
