,co2
2015,403.3109303740568
2016,405.86549235594106
2017,408.5353786700245
2018,411.72927641135556
2019,414.8868296570381
2020,417.6100855066272
2021,420.40108139451957
2022,423.3684250212759
2023,426.47816301248815
2024,429.3816292467237
2025,431.95210033640865
2026,434.8551943731501
2027,437.43296638321436
2028,440.7396659106345
2029,443.6761584691949
2030,446.1096261614258
2031,448.6317187472005
2032,451.23774738721096
2033,453.8070740521542
2034,456.9471867553777
2035,459.8584431916671
2036,462.7277284873994
2037,465.2375152522433
2038,467.7973772509686
2039,470.50810792368907
2040,472.9798600671775
2041,475.7559422043201
2042,478.6636339415154
2043,481.35663367281944
2044,483.6389629540118
2045,485.89051570085365
2046,488.7393461733299
2047,490.97524945432406
2048,493.2116642827996
2049,496.11130844030765
2050,498.6866445144772
2051,500.9687567983979
2052,503.2869753527015
2053,505.46490951080324
2054,507.7523373787605
2055,510.32018336753777
2056,512.9479374913499
2057,515.3273355016606
2058,517.5669729283139
2059,519.6671202631263
2060,522.3829886764674
2061,524.9813507085227
2062,526.707175957084
2063,528.7371204289061
2064,531.4705926987396
2065,533.9384146442513
2066,535.7213608394129
2067,537.9464498255056
2068,540.3600726455073
2069,542.402819484626
2070,544.0990146048581
2071,545.8836470575138
2072,547.9272882084316
2073,549.9690414830859
2074,551.4265078096416
2075,552.9874927790038
2076,554.78584087443
2077,556.3341433910748
2078,557.8237238986412
2079,559.0649588595296
2080,560.3156757520713
2081,561.7310736666846
2082,562.9595073924363
2083,563.5684212665519
2084,564.4658152762107
2085,565.6514820474982
2086,566.1749487172474
2087,566.9727306010703
2088,567.4454169844983
2089,567.5666360004096
2090,567.9491482241204
2091,568.7323644019476
2092,568.719961592671
2093,568.5562396041937
2094,568.4374204837605
2095,568.7059415876404
2096,568.7934113952724
2097,568.8605035551998
2098,569.2101564481386
2099,569.1635013742988
2100,568.7548360733241
