,nonCO2_erf
1850,0.3025992562223143
1851,-0.06539834639504542
1852,-0.2184189132777168
1853,0.09214970678333698
1854,-0.16114189053628342
1855,-0.19779385899646054
1856,0.4637007453381132
1857,-0.014451142896810952
1858,0.45947602071196514
1859,0.23441796516230134
1860,0.7061131028871022
1861,-0.44381948647427205
1862,-0.6613595918892315
1863,-0.25013119877142914
1864,-0.026712334267307843
1865,-0.4186418952099177
1866,-0.15288052967466698
1867,0.1862221306067734
1868,0.25261602594875054
1869,0.04267976585441356
1870,-0.2524895726595966
1871,-0.3801683930854975
1872,0.3822556329793106
1873,-0.2775278133795267
1874,0.27176167458847694
1875,-0.14325743716378483
1876,-0.5177705868011662
1877,-0.14775834166203222
1878,0.11391838953554913
1879,0.34831464027097186
1880,-0.24848990555214667
1881,-0.3198477234130189
1882,0.03201851751190782
1883,-1.2944740533459191
1884,-2.756475844439929
1885,-1.2823612795444406
1886,-0.12303957600559748
1887,-0.40528079274334333
1888,-0.1935301234279264
1889,0.3190419891812734
1890,-0.45131553999819723
1891,-0.30958487129881407
1892,-0.4942872254221735
1893,-0.23647755835605205
1894,0.29302389255612316
1895,0.19261428520955579
1896,-0.10941755058288688
1897,-0.3078782509984638
1898,-0.972300373857103
1899,-0.7554750313201
1900,-0.03829289524999918
1901,-0.2954620911638624
1902,-1.1511317858167127
1903,-1.4803855391329868
1904,-0.603294464103011
1905,-0.6028768524880492
1906,-0.3756680825664694
1907,-0.43436181611216784
1908,-0.8127490028236596
1909,-0.3947973097059539
1910,0.15788494985971385
1911,-0.02587621987419758
1912,-0.6968645287859584
1913,-0.6991579685861908
1914,-0.9753394702138616
1915,-0.9995272796359549
1916,0.598156827646023
1917,0.2451791527645399
1918,0.4979885731259123
1919,0.13505647356000822
1920,0.09408194949293897
1921,0.4180665127940223
1922,-0.3794272094065917
1923,-0.1205393984620009
1924,-0.5256171384903034
1925,-0.6912047643643043
1926,-0.0678768606836555
1927,0.33619371625031763
1928,0.14105061112587886
1929,-0.5078692921750193
1930,0.2554692786459538
1931,0.22012544200422696
1932,-0.9089370910072667
1933,-0.46968455090187755
1934,-0.5211133902324261
1935,0.1964223426415711
1936,0.9836588198889908
1937,0.49197618362530104
1938,-0.35797927356956144
1939,-0.5397615368387062
1940,0.23850306220889084
1941,0.43031234933054086
1942,0.7024592570995185
1943,0.05203352784087889
1944,-0.8463840962257447
1945,-0.21116168778993272
1946,-0.5521129709252217
1947,-0.004954580223152871
1948,0.24498830000865313
1949,0.11061297283939331
1950,0.6835798346911904
1951,0.02237116982795795
1952,-0.4048271086817991
1953,-1.0344797097798724
1954,-0.3239399529599724
1955,0.0996297839940653
1956,0.19518274446309736
1957,0.38776036341305664
1958,0.1494283323718686
1959,0.4402038754947152
1960,0.0522150061640555
1961,-0.12358367077636534
1962,0.6289574655688419
1963,-1.180839305664565
1964,-1.1108047314266343
1965,-0.979301893374951
1966,-0.07135511379384651
1967,0.27170393070665666
1968,0.12381161263023632
1969,0.10972952099585731
1970,-0.2327983666781217
1971,0.19483402634594227
1972,0.006223440811895298
1973,0.41925683060260055
1974,0.18017315334302286
1975,-0.5457859697374282
1976,-0.573232594754671
1977,-0.49454337527730663
1978,-0.2857847952440489
1979,0.3378280981813606
1980,0.03157540630921862
1981,0.058176721604088044
1982,-0.525021430115902
1983,-1.0325492830271543
1984,-0.7428860218885102
1985,-0.12866754628835153
1986,0.07562609362176032
1987,0.09442639388268415
1988,0.21734071358744278
1989,0.2534318925869612
1990,0.3658730872549263
1991,-1.0953160311769221
1992,-1.241845461407146
1993,-0.8314575421617189
1994,-0.2251582266959018
1995,0.4682292655026128
1996,0.20286872238842157
1997,0.1796362247269736
1998,0.35458474635888004
1999,0.7681448224689011
2000,0.6062422348510279
2001,0.7304265897494662
2002,0.6877063485096588
2003,1.2053284906725406
2004,0.7251514099393854
2005,-0.8640278723428587
2006,0.265321907625347
2007,0.39983557082134835
2008,0.43558791906290795
2009,0.4535458449459977
2010,0.8439954015801114
2011,0.7412520657615747
2012,0.5150857531274751
2013,0.5420931159871452
2014,0.574187952475167
2015,0.987019904955972
2016,0.5264160273930543
2017,0.2660929897571238
2018,0.4783072829266075
2019,0.9163681809024431
2020,-0.07833448091312922
2021,0.0797904388570605
2022,0.6306137853995724
2023,0.5731235739463565
2024,1.1195786110300898
2025,0.7622307735895997
2026,0.27303633787341974
2027,0.2674418704269539
2028,0.530733879359155
2029,0.6026268705403548
2030,0.260767638108391
2031,0.38123408122074665
2032,0.4145959583521597
2033,0.3521690417290775
2034,1.1153163130129324
2035,0.7944182887982283
2036,0.8014307836145429
2037,0.8092631546433453
2038,0.8362011525656219
2039,0.4288062530089869
2040,0.3236198441681335
2041,0.23149705628654793
2042,0.7214986192821611
2043,0.6265321397460424
2044,0.6914192673128898
2045,1.3679514905842396
2046,0.7556551683421056
2047,1.0369577450852407
2048,0.8165220523597316
2049,0.8703915331873189
2050,0.7347469399379243
2051,0.19347588488548695
2052,1.3730373407950722
2053,1.085718569022224
2054,0.6717339191074725
2055,0.9363565121685156
2056,-0.028810347713255524
2057,0.00847993585114537
2058,1.0342812550594145
2059,1.4333565439534022
2060,0.9696964876191787
2061,0.7407271795667691
2062,-0.1621691221413819
2063,0.45667162625023394
2064,0.24370339661058082
2065,0.5658708387204383
2066,0.6054766079139604
2067,0.091817033266401
2068,0.027178526892937427
2069,0.21910071611083914
2070,0.8880700115334381
2071,0.33773408359465407
2072,0.1778258077391799
2073,0.8213073284827415
2074,0.5830636394406934
2075,0.267976940047439
2076,0.44278862847677836
2077,0.5189640340902866
2078,0.3678374146172887
2079,0.5965863281632489
2080,0.2919960290807122
2081,0.22063869723384144
2082,0.5111931152046525
2083,0.7613029279967556
2084,0.4651240625976145
2085,0.16847611948064767
2086,0.7804432991243537
2087,0.3043748726715756
2088,0.3753562252746301
2089,0.6065191066642024
2090,0.8190452564189652
2091,0.8786253156299364
2092,0.6884307426010188
2093,0.22133305547002635
2094,-0.2658051388804994
2095,0.14367599440190526
2096,0.46059618358143695
2097,0.14782097577998643
2098,0.43067089799523206
2099,-0.33923248929379834
2100,-0.6081856598983064
2101,0.8786256732567037
2102,0.7956913074860816
2103,0.3624930100773862
2104,0.1745623735193882
2105,0.7656430881208056
2106,-0.10707697790063753
2107,0.002602204054222401
2108,0.07166611483337393
2109,-0.08517320926834815
2110,-0.4110743615553325
2111,-0.11331009674379544
2112,0.5423010358577462
2113,1.0193819727470292
2114,0.5609165601459374
2115,0.29919570840730936
2116,0.39915815997880744
2117,0.016286077016316902
2118,0.3386111902757385
2119,0.44044188180818633
2120,0.24545099381427482
2121,1.2792295561773082
2122,1.1648793766253394
2123,0.3827706934167221
2124,0.32098704119346966
2125,0.40116628643487795
2126,-0.007481251113945486
2127,0.855947101370508
2128,0.6572501326525488
2129,0.6009406182072441
2130,0.7882475873027777
2131,1.235719480309906
2132,1.0319797139979787
2133,0.35332713398087456
2134,1.0226363859246157
2135,1.211960136102145
2136,0.5050385529062145
2137,0.7916604634821613
2138,1.147883793447681
2139,1.0570286945564176
2140,0.9086349421427062
2141,1.3606739314856071
2142,1.173256932023833
2143,0.9443824241216485
2144,0.8470511913923813
2145,0.5073991904998627
2146,0.3639200502571609
2147,1.477960814327538
2148,1.0148102647961992
2149,1.3911110166504956
2150,1.0746818704314702
2151,0.6033393075947702
2152,1.0657457941832083
2153,1.0849212820525944
2154,0.5325246845463179
2155,0.39462873177545865
2156,0.9431162439907379
2157,1.1420571920502025
2158,1.0982917402246748
2159,0.9045559076403109
2160,0.4476638916211104
2161,1.0790040488293315
2162,0.9108193250622179
2163,0.5445885997690187
2164,0.5319040775928279
2165,0.4327908856333087
2166,0.5616433383254424
2167,0.577496612090328
2168,1.6663726630292897
2169,1.722487297247203
2170,0.808312948747038
2171,0.3158619487212275
2172,0.5812411736219634
2173,1.616211748035722
2174,1.6760833183379562
2175,1.3577362364335468
2176,1.1020041258846718
2177,0.5169859884680563
2178,1.0752470932005918
2179,0.7111214420975713
2180,1.0085258602741427
2181,1.29859197446032
2182,1.3351450989969347
2183,0.74293089798579
2184,0.5353446652575851
2185,1.2139831798340768
2186,1.30504884156742
2187,1.337229485985953
2188,1.7791808482729197
2189,1.1373201118554739
2190,0.708751363872967
2191,1.7424670479401385
2192,1.5374580779414366
2193,1.5978138758285516
2194,1.540796471681178
2195,1.2390443160187217
2196,1.0001451583412158
2197,0.6127030968533596
2198,0.5136399225334272
2199,0.9690398127729449
2200,1.2425967093652739
2201,2.0185260332511943
2202,1.633980526216962
2203,0.8366462847575946
2204,1.0413254366760625
2205,1.126195429212484
2206,0.781314279385628
2207,1.1213332797966435
2208,1.3939858292062999
2209,1.2796797571702496
2210,2.026287991724887
2211,1.9125185753208693
2212,1.6536055146363882
2213,0.9048040036035618
2214,1.5254925001712416
2215,1.107914889219966
2216,1.0785711318391065
2217,1.3906308506366156
2218,0.6215158937953682
2219,0.45210503570477156
2220,0.629836657301907
2221,1.4708793074860915
2222,1.6875386691924101
2223,1.5701878170740895
2224,1.251300105431744
2225,1.1774373712262065
2226,1.1820551648864766
2227,0.705927346255278
2228,0.7949237106990856
2229,1.3206894848526398
2230,1.0716726242125332
2231,1.539736010964723
2232,2.1127286521476134
2233,1.8641334848105635
2234,1.84760502851778
2235,1.3291395435731714
2236,1.5306098665269885
2237,1.259776694595023
2238,0.6358074323990497
2239,1.1786007931566906
2240,1.2210219776755955
2241,1.7891398746367997
2242,1.965542607154564
2243,1.3837449646504456
2244,1.0916729771791047
2245,1.000297427320028
2246,1.3968869017814285
2247,1.6176656309250448
2248,0.7624191824062942
2249,0.5888376718425958
2250,2.1512499297307794
2251,1.6996170910500168
2252,0.9724516849602391
2253,1.8654441327266378
2254,1.5926298803464998
2255,1.4341815523152905
2256,1.4939390435109854
2257,0.6924707396297927
2258,1.9677119490174435
2259,2.4455013858360797
2260,2.042500721519299
2261,1.2015350579806485
2262,1.619665055501518
2263,1.7028447198997525
2264,2.1170481310942906
2265,1.307848928222523
2266,1.7136320276194545
2267,1.562481376403566
2268,0.6171612541813802
2269,1.4623337139478176
2270,1.8652624176581256
2271,1.8326980569729214
2272,0.858944091381743
2273,1.2240529950655312
2274,1.6200833730281918
2275,1.366531699978118
2276,1.8887727952546747
2277,1.5788762432229007
2278,0.7942008635699287
2279,0.9788968701174543
2280,1.3701379136017258
2281,1.9723760150562386
2282,2.2399906838011114
2283,1.659045579543571
2284,1.6452403239517592
2285,1.251554688112414
2286,1.7790592215635035
2287,1.2433212802230258
2288,1.0556515317049047
2289,0.23429621778445764
2290,1.1426744087029783
2291,1.5175960785580196
2292,1.5205689836316791
2293,1.5164238856836896
2294,0.6352953918009143
2295,0.9553119111002073
2296,2.3428441587326514
2297,2.2389413011933286
2298,1.1922728991732943
2299,1.3053853884422097
