,co2
1850,279.56737254387923
1851,279.63895149978543
1852,280.0613754655983
1853,280.38715625281196
1854,280.6520524644413
1855,280.9345331443287
1856,281.14474340178646
1857,281.4731795751791
1858,282.0171448921983
1859,282.42297177451275
1860,282.29531680821646
1861,282.4408997117132
1862,282.6885687929831
1863,282.7925082218031
1864,282.9482449937221
1865,283.3657235917132
1866,283.52480669742823
1867,283.49529629498477
1868,283.76871785768566
1869,284.0738943293924
1870,284.24279934487726
1871,284.39650143716085
1872,284.45520702992405
1873,284.58596255701957
1874,285.01825013381716
1875,285.4345637866726
1876,285.513103637668
1877,285.494981440736
1878,285.8087482683492
1879,286.35126984591193
1880,286.2257073937412
1881,285.9693889427417
1882,286.3519825404295
1883,286.91702098140905
1884,286.9183548542035
1885,286.88526277027086
1886,287.10597163877287
1887,287.2028723365256
1888,287.2100892883955
1889,287.44363906479634
1890,287.7766556732077
1891,288.0616824858652
1892,288.5219011967016
1893,288.8612072823396
1894,288.8655899668012
1895,288.94509578586894
1896,289.30876623082565
1897,289.5204967900382
1898,289.6840808437278
1899,290.30929149598734
1900,290.61283312911854
1901,290.75330678468003
1902,291.1505780306516
1903,291.48242035360994
1904,291.92934595310254
1905,292.2574292228887
1906,292.32189864057455
1907,292.58136407092
1908,293.0068884560122
1909,293.3458712157154
1910,293.4803998064591
1911,293.9299290901721
1912,294.6135292739512
1913,294.9308750470009
1914,295.1311944744684
1915,295.65025883565477
1916,296.0865479836623
1917,296.3814735042545
1918,297.008230592288
1919,297.21393645811855
1920,297.3638301539374
1921,297.556405797898
1922,298.0416562290102
1923,298.41331972129626
1924,298.9651622751445
1925,299.64419325115495
1926,299.91039569201325
1927,300.09869469713544
1928,300.5197484666976
1929,300.71528706688315
1930,300.8175891097683
1931,301.39303200384563
1932,301.8654376116733
1933,302.3982061996866
1934,302.7874942103794
1935,303.1189298993199
1936,303.37625630264637
1937,304.00423631182576
1938,304.51713474271054
1939,305.0577464612425
1940,305.4148359450287
1941,305.8729012409835
1942,306.74399782301936
1943,307.40645766085726
1944,307.97721133824
1945,308.1531782940654
1946,308.5102717404104
1947,309.0617222839701
1948,309.7855838584986
1949,310.40924014986626
1950,311.12812484479525
1951,311.8253638731799
1952,312.6732108957939
1953,313.3468422249114
1954,313.8480969595838
1955,314.6328900471499
1956,315.51653652487397
1957,316.65731439141996
1958,317.6659784694697
1959,318.58290166750066
1960,319.37698431392107
1961,319.9133418481149
1962,320.7962089282471
1963,321.47021811565753
1964,322.16331759087143
1965,323.0181038088474
1966,324.1401677363363
1967,325.2588511293721
1968,326.4157641582679
1969,327.5441912005358
1970,328.85953582442494
1971,330.15184316883176
1972,331.45996319877327
1973,332.6404023170926
1974,333.8209833327581
1975,335.05769173055927
1976,336.160347988148
1977,337.57180655316023
1978,339.1146767789749
1979,340.64897778253055
1980,342.07089165347935
1981,343.5597195578995
1982,345.11607248463065
1983,346.6897433975356
1984,348.1817221023407
1985,349.71193299036486
1986,351.1542697954053
1987,352.61926913507455
1988,354.19927448138003
1989,355.61216692662487
1990,356.9546764954905
1991,358.4900753165476
1992,359.5582859933082
1993,360.77765527128827
1994,362.146034405765
1995,363.4653102654441
1996,365.05362490901575
1997,366.4270049814851
1998,367.62927185536364
1999,368.98522336739734
2000,370.4414737544586
2001,372.2670774619822
2002,374.5750268562698
2003,376.24469104094544
2004,377.96904504800494
2005,379.68741785548355
2006,381.31383665388404
2007,383.52724033689645
2008,386.17984979994117
2009,388.42488904346
2010,390.7828414964496
2011,393.0767760747717
2012,395.3839479584002
2013,398.37044017918356
2014,401.0693173287648
