,co2
1850,280.4660064570791
1851,280.78244466262674
1852,281.0628975973568
1853,281.76983956439847
1854,282.1882094550964
1855,282.12974869186365
1856,282.0757267965166
1857,282.21439111939213
1858,282.51495668211544
1859,282.83277876417657
1860,283.1208498598626
1861,283.32889023895
1862,283.8795798296857
1863,284.0350441285088
1864,283.8949237067669
1865,283.8140291051605
1866,283.97120447464414
1867,284.1588659795207
1868,284.45462811894186
1869,284.72002182040325
1870,284.8376649099704
1871,285.37838201369914
1872,285.71347556904044
1873,285.83577608048455
1874,286.0106814007449
1875,286.1934891483869
1876,286.3980677605644
1877,286.6179643988438
1878,287.00027033362664
1879,287.1686505459273
1880,287.125511441142
1881,287.1322217987291
1882,287.32212092286335
1883,287.68354879536383
1884,287.63075755758723
1885,287.57975315082297
1886,287.6895109840967
1887,287.72975878893
1888,287.8820320013529
1889,288.2991660454152
1890,288.39874194214144
1891,288.4080823066614
1892,288.667011329186
1893,288.93529175478733
1894,289.03305294106906
1895,289.1008033103296
1896,289.5998620326124
1897,290.0817974058396
1898,290.23400929294655
1899,290.7511898347747
1900,291.08040215080024
1901,291.1345912755664
1902,291.51571650932465
1903,291.9885317702626
1904,292.3643580249928
1905,292.7511379246114
1906,293.06632674478055
1907,293.31181217307073
1908,293.3471525374314
1909,293.5323068747002
1910,294.0813927140782
1911,294.28354256070565
1912,294.5639427556642
1913,294.8697905980602
1914,295.2896522978277
1915,296.00485756814857
1916,296.3291700857792
1917,296.7892372287386
1918,296.9234096609169
1919,297.0533023408175
1920,297.61752572117535
1921,298.1458986048907
1922,298.37703211667133
1923,298.9913945092393
1924,299.1817513089234
1925,299.2303653963934
1926,299.5323488004205
1927,299.981164351803
1928,300.29882448785673
1929,300.8009846672319
1930,301.30837382042824
1931,301.8350396903886
1932,302.0967598167336
1933,302.50595411931806
1934,303.0694335764206
1935,303.4997301089038
1936,303.8896125034277
1937,304.67527848610564
1938,305.1254819709071
1939,305.36796576085004
1940,306.22560171908316
1941,307.1050928877476
1942,307.87652507590917
1943,308.326412782507
1944,308.88871734090327
1945,309.3373859945674
1946,309.7036621050239
1947,310.04505730830846
1948,310.4571248434634
1949,311.01000134213797
1950,311.72906859781506
1951,312.4890957867631
1952,313.2021982591747
1953,314.14019387356626
1954,314.9235963860072
1955,315.71649111388507
1956,316.4821434381951
1957,317.27676725694175
1958,318.07532429275784
1959,318.96885763791323
1960,320.03637618772393
1961,320.9481263594911
1962,321.72209939701077
1963,322.57767218292327
1964,323.0568106500117
1965,323.8188054381341
1966,324.97349745278086
1967,326.16837330523896
1968,327.15193032722095
1969,328.5403009486052
1970,330.4011986962893
1971,331.479943647124
1972,332.397701246838
1973,333.5908308373389
1974,335.1367468557283
1975,336.49883627711165
1976,337.9041518380556
1977,339.2172185566719
1978,340.5925223571282
1979,342.12831828319247
1980,343.90773421578353
1981,345.3096663175287
1982,346.68374144169394
1983,347.8368744724635
1984,348.6788889858009
1985,349.8753309924808
1986,351.5979772310121
1987,353.17601478945
1988,354.48953135284506
1989,356.1183299508896
1990,357.45149005078446
1991,358.9397670651744
1992,360.52970824481736
1993,361.568926576534
1994,362.6500925564943
1995,363.896772922396
1996,365.5005626792249
1997,367.1548727030356
1998,368.8467072159198
1999,370.98909193750694
2000,372.6323458559783
2001,373.79963541136635
2002,375.3398040211485
2003,377.1626160115985
2004,378.837800323826
2005,380.6756519234436
2006,382.48426710325987
2007,384.728659977949
2008,386.8677252073591
2009,389.10641822414743
2010,391.7651347451906
2011,394.6057489461877
2012,396.87017189556
2013,399.16822008172693
2014,401.7729808915909
