,co2
1850,279.9361611053553
1851,280.0999956493739
1852,280.71770385683135
1853,280.91027775537907
1854,281.21305400139437
1855,281.7278619610966
1856,282.06653144278215
1857,282.31718668955045
1858,282.52538703336575
1859,282.5789300251688
1860,282.62765893249946
1861,282.880624869998
1862,282.9342099875757
1863,282.87409240300036
1864,283.0365025957969
1865,283.222620400952
1866,283.41754145520633
1867,283.55848986305966
1868,283.7995995413662
1869,283.898194846291
1870,283.92303400507484
1871,284.190332989755
1872,284.6100552451888
1873,284.835915534574
1874,285.06534108913314
1875,285.721402432202
1876,286.0846554404506
1877,286.0115174063207
1878,286.3753183326804
1879,286.63379982191867
1880,287.0450913087875
1881,287.23719521954865
1882,287.28251986424635
1883,287.5465973829084
1884,287.4880493018604
1885,287.32806042122945
1886,287.53103514052924
1887,287.652483654642
1888,287.8317636398996
1889,287.99049771022044
1890,288.6122245656296
1891,289.110359162575
1892,289.329540936364
1893,289.4350326032764
1894,289.55560543905125
1895,289.8070349886929
1896,290.4944887609773
1897,290.8593337272537
1898,291.12178475701774
1899,291.6998419964857
1900,292.1067685832344
1901,292.354743725004
1902,292.3846900089237
1903,292.63335557940377
1904,292.77142018786304
1905,292.5607190448381
1906,292.5543209274556
1907,293.079045803994
1908,293.5509933588852
1909,294.2305410714421
1910,294.5517278848941
1911,294.6990983741764
1912,295.381136271946
1913,295.7073198721385
1914,295.7167578382573
1915,296.19285400359666
1916,297.0935194829928
1917,297.5617980857529
1918,298.0908899852107
1919,298.5131204460653
1920,298.64235798289866
1921,298.8884335494212
1922,299.234291726158
1923,299.5597547067152
1924,299.90816628091324
1925,300.34148652885744
1926,300.5783140490472
1927,300.6984226050073
1928,301.14931010294777
1929,301.58404923000893
1930,301.8922547005885
1931,302.2434401603453
1932,303.09164966274955
1933,303.38398555677065
1934,303.6244164581767
1935,304.3103057744789
1936,304.7492015314526
1937,305.1074961048698
1938,305.4665977194444
1939,305.77753990300664
1940,306.0466464277867
1941,306.32612306348744
1942,306.9452520369946
1943,307.54184263605106
1944,308.1209426889294
1945,308.45422153382634
1946,308.85499964440163
1947,309.2145335552802
1948,309.7415615276443
1949,310.4726574138243
1950,311.08996361024924
1951,311.93390468197265
1952,312.85027463130757
1953,313.58751455936897
1954,314.2812565352004
1955,314.92122545494743
1956,315.7342266782868
1957,316.84393166768655
1958,317.8737391107699
1959,318.63939888846454
1960,319.48530463461657
1961,320.5930880660021
1962,321.20329260215124
1963,321.8646660384311
1964,322.70814056602046
1965,323.7300411002566
1966,324.45985198520174
1967,325.8830425548811
1968,326.92449058073765
1969,327.8719339732986
1970,329.1895396144122
1971,330.6928128385154
1972,331.8383140752396
1973,332.995987726746
1974,334.4868175725174
1975,335.5793026962489
1976,336.8106260708865
1977,338.23669081660273
1978,339.806889678814
1979,340.94552238580945
1980,342.0975102370643
1981,343.5134386628333
1982,344.8434958904364
1983,346.1490670515553
1984,347.298442255659
1985,348.6953134149485
1986,350.05415514194783
1987,351.52620651556043
1988,353.1243268884532
1989,354.89844035119063
1990,356.94853094406295
1991,358.6138650897019
1992,359.827929633509
1993,361.1156156908019
1994,362.3079107852732
1995,363.6953519979082
1996,364.7947119725933
1997,366.0545195412725
1998,367.4335959808171
1999,369.2887328283244
2000,371.09481055526146
2001,372.47795899578256
2002,374.1527217672231
2003,375.9106109100361
2004,378.036287407783
2005,380.24118102387956
2006,382.0555054962606
2007,384.24253212308616
2008,386.0867659898507
2009,388.11242485990346
2010,390.56617679666545
2011,393.19339437113666
2012,395.45972576434025
2013,398.36191482811205
2014,401.49770258701756
