,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
0,MPI-ESM1-2-LR,esm-hist,r10i1p1f1,esm-piControl,r1i1p1f1,0,66474,days since 1850-1-1 00:00:00,standard
1,MPI-ESM1-2-LR,esm-hist,r11i1p1f1,esm-piControl,r11i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
2,MPI-ESM1-2-LR,esm-hist,r12i1p1f1,esm-piControl,r12i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
3,MPI-ESM1-2-LR,esm-hist,r13i1p1f1,esm-piControl,r13i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
4,MPI-ESM1-2-LR,esm-hist,r14i1p1f1,esm-piControl,r14i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
5,MPI-ESM1-2-LR,esm-hist,r15i1p1f1,esm-piControl,r15i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
6,MPI-ESM1-2-LR,esm-hist,r16i1p1f1,esm-piControl,r16i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
7,MPI-ESM1-2-LR,esm-hist,r17i1p1f1,esm-piControl,r17i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
8,MPI-ESM1-2-LR,esm-hist,r18i1p1f1,esm-piControl,r18i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
9,MPI-ESM1-2-LR,esm-hist,r19i1p1f1,esm-piControl,r19i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
10,MPI-ESM1-2-LR,esm-hist,r1i1p1f1,esm-piControl,r1i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
11,MPI-ESM1-2-LR,esm-hist,r20i1p1f1,esm-piControl,r20i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
12,MPI-ESM1-2-LR,esm-hist,r21i1p1f1,esm-piControl,r21i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
13,MPI-ESM1-2-LR,esm-hist,r22i1p1f1,esm-piControl,r22i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
14,MPI-ESM1-2-LR,esm-hist,r23i1p1f1,esm-piControl,r23i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
15,MPI-ESM1-2-LR,esm-hist,r24i1p1f1,esm-piControl,r24i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
16,MPI-ESM1-2-LR,esm-hist,r25i1p1f1,esm-piControl,r25i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
17,MPI-ESM1-2-LR,esm-hist,r26i1p1f1,esm-piControl,r26i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
18,MPI-ESM1-2-LR,esm-hist,r27i1p1f1,esm-piControl,r27i1p1f1,0,0,days since 1850-1-1 00:00:00,standard
