,tas,rsdt,rsut,rlut
2015,288.18546158281157,340.3169237395829,102.93407626629404,237.2531925062544
2016,288.27606979879823,340.2453429383945,102.02225472229084,236.9976495456804
2017,288.38272482762585,340.2265131040048,102.14885917706312,237.23764693408683
2018,288.50321818037906,340.2188949421272,102.42552216517993,237.6345554553612
2019,288.4714643442498,340.2176799919802,101.14362894104096,237.59667803701453
2020,288.51357181766406,340.2276168244644,102.45489597444912,237.74501611620292
2021,288.370332321093,340.29783724359453,102.26665095219806,237.63222370153258
2022,288.4727914075641,340.37406793259896,101.25733494566269,237.2959708858906
2023,288.66028151201357,340.4174606591719,101.76566326028552,237.69538264775
2024,288.53568826856264,340.43639748363984,101.80526080993077,237.8406182245255
2025,288.48278010490566,340.3933750540762,100.73103531743949,237.5758863710072
2026,288.67960681181506,340.3450250399341,100.18523309801373,237.88940274895984
2027,288.799940105418,340.29548734151547,101.62834039910861,238.0015839848121
2028,288.8088782483318,340.27607697954846,101.26676087888865,238.2219520063362
2029,288.951523338804,340.24360257122186,100.91524490244369,238.3355285733226
2030,288.99537790791305,340.2257361463016,100.70691188859969,238.4386286993171
2031,288.92506491045356,340.2085500055218,100.74852196057277,238.26917528979308
2032,289.0550906224224,340.2123105548163,100.75231156450805,238.8006042944081
2033,288.95280902018646,340.2542702351388,100.79239706207494,238.2404405509517
2034,289.0389514718215,340.3281603927395,101.2336156776105,238.4701839177867
2035,288.85231973173103,340.33582095927284,102.44440733359374,238.7450844507231
2036,288.7793986110974,340.3703106842492,100.77091529697105,237.95320035265345
2037,288.81635766914127,340.3351595988593,101.03526071169762,238.36753867427885
2038,288.68609366154095,340.3364134722972,101.69000388883894,238.05374223622633
2039,288.6965880347593,340.2882695823001,100.99452965335894,237.795556475681
2040,288.9015973350725,340.2442449751085,101.02177747591765,238.24431429830722
2041,288.8562793569051,340.20461201941015,101.9089721814617,238.52855902369473
2042,288.6311498034194,340.1937398946293,100.54309139357315,238.19171698807705
2043,288.7601106864917,340.19905886093125,99.88331665659804,238.20262624716318
2044,288.88206369784194,340.22301286098747,101.48205195043039,238.68900901389756
2045,288.6485451240996,340.2926566514082,101.98179300123293,237.9743342446002
2046,288.69942510912296,340.34004972532153,100.82878286861795,237.8798246391349
2047,288.6680139406054,340.3921171712282,102.323351342769,238.1551383748011
2048,288.7040330062426,340.3987943184414,101.24747870783578,238.42622531315735
2049,288.7434768084388,340.35471689094106,101.11856472624392,238.2930568534391
2050,288.7428302709712,340.2886001051029,101.43846340518293,238.2491297246098
2051,288.6881396621454,340.25586281195774,101.64228596075098,238.261049276879
2052,288.7232609104024,340.2254072258593,100.78676890705607,238.37076419135454
2053,288.5421924243739,340.2038668642187,101.73267847654843,238.35663599638556
2054,288.3988259418979,340.2121421631845,101.58005319278796,238.09037943764545
2055,288.51030962985556,340.2520753124201,100.83169799104842,238.03868997897789
2056,288.64575576721114,340.30267853881634,100.67538069363762,238.21293766571043
2057,288.7312614685653,340.30381434619636,101.49381504936707,238.5171777998294
2058,288.5962241379239,340.3125074679468,100.72262036538899,238.4474494421075
2059,288.7515180883831,340.3183423052064,100.84749877654188,238.275944599887
2060,288.755908492808,340.27651013142673,101.66532073346576,238.94996044352968
2061,288.47875802803173,340.2417045342775,101.52197092666118,238.24033721811125
2062,288.4415114600203,340.2124317084593,100.26724186834906,237.8574203007851
2063,288.675522714038,340.2024501901787,100.41900541158311,238.17142230104
2064,288.76146043333887,340.1985886289762,101.45773804241416,239.3961926653883
2065,288.43308805844873,340.2112113945882,101.70995759698947,238.06714830589283
2066,288.422632795031,340.26571341914166,101.21806068579265,238.155414560534
2067,288.462030301359,340.31459174965823,100.431036327688,238.09444494413307
2068,288.7546668386076,340.34379083630205,100.61759780321553,238.72838810256033
2069,288.705783769118,340.3313769088256,101.17466643938378,239.00051016482018
2070,288.58777172867923,340.3015138532528,100.65657667158837,238.681120354956
2071,288.6908947708174,340.2579711765559,100.83540148479621,238.45923300100011
2072,288.68951790554877,340.2367121552598,101.34773087406302,238.74640841041898
2073,288.69040962958394,340.2213395573417,101.41347184339482,238.9272724698709
2074,288.51767600536635,340.19839331561496,100.91098738349136,238.6114752338051
2075,288.53839135294135,340.1889946447053,100.31990220828767,238.4119526099605
2076,288.71834311200286,340.1793090606598,100.66106042765988,238.48824092532584
2077,288.70690919495604,340.1919542027715,101.83632125113064,238.9464234039199
2078,288.54749929215797,340.2269465873467,100.98976480072001,238.79508923766966
2079,288.64016577791386,340.2635966353981,100.69521777302195,238.57845173353496
2080,288.58983157283643,340.2908363171005,101.34434138072832,238.80793114352616
2081,288.56193383375256,340.29270184860223,100.47358473886528,238.72030731758116
2082,288.74574734576413,340.2920602508179,100.20985043696248,238.8114162271654
2083,288.7716914488994,340.26379186654714,100.60468303714616,239.24559224384825
2084,288.7546468665052,340.2505610995901,100.2821888809184,239.2848891955608
2085,288.6218834816555,340.2090140632359,100.48516108765769,238.9053744532259
2086,288.80389306206536,340.18589468877195,100.04660976702922,239.04992631172138
2087,288.8938747933698,340.18394248419173,100.39843305333869,239.3187285585134
2088,288.69956243830273,340.1871894655165,100.77470350629825,239.47754994230684
2089,288.5008670381297,340.21952140835805,100.42349934909811,238.94339652871722
2090,288.7376386702403,340.2725930849109,99.1337665735273,238.76652083453953
2091,288.9704885201199,340.3119106754522,100.07092131723779,239.7738787838896
2092,288.711446874208,340.3627647709301,100.57460564494595,239.50107349548057
2093,288.80116048780326,340.342392114274,99.50754973506275,239.13994212559763
2094,288.9087623168245,340.2990459751472,100.76631141997929,239.79476213435603
2095,288.74222572413737,340.2660424226697,100.75526754561558,239.15497532406675
2096,288.80581597886476,340.22485409707866,99.60790864889013,239.6075551656609
2097,288.8415830755123,340.21219806961955,100.42406400885626,239.8330870621044
2098,288.72326553046224,340.1991245200084,100.63526807465138,239.3630308235735
2099,288.7155058359137,340.21745892533005,99.93383756293535,239.4987202019951
2100,288.9083327046253,340.2592146739849,100.45503040579645,239.84087324950852
