year,tas,rlut,rsut,rsdt
1850,286.7032316475723,238.85354401794177,101.15551931785247,340.25231386053224
1851,286.5270889500429,238.74144749379255,101.25138810703443,340.2428112838316
1852,286.5679062710845,238.49568379014318,101.15618639266968,340.27591279317534
1853,286.77316615640234,238.86521472961965,101.29584944904906,340.2196765809169
1854,286.6675201632858,239.16652096493326,100.89176566647501,340.19265969096756
1855,286.5952073014626,238.89419659910115,100.82610669185301,340.17854700106744
1856,286.5112830240169,238.70453311394223,100.86847117587229,340.2049444985394
1857,286.50777183199244,238.5596904970508,100.93568604316873,340.1888193055777
1858,286.552021903408,238.5133077702814,101.0051331012187,340.2171137840015
1859,286.72342943416123,238.87172165995312,100.82624050406127,340.24510227187915
1860,286.8603263531998,238.8528933826194,101.37128178723492,340.30189576634206
1861,286.64611085419057,238.80779017666123,102.0326038157816,340.2626622640209
1862,286.5099981827314,238.24105778906207,101.55703038835047,340.2398268299076
1863,286.5826684862449,238.57282324883235,101.46785793743625,340.22767499795003
1864,286.6430215283158,238.78033383076357,100.93052324472637,340.24144690844787
1865,286.6503104239182,238.7076539457349,100.8064443065585,340.2003485152609
1866,286.74722218448875,238.78720731296923,100.82609936132741,340.1914405774218
1867,286.722381357625,238.75342325413746,100.85776489929678,340.183098257058
1868,286.5814104096701,238.62120408889052,101.3830063274837,340.2402002055499
1869,286.57948721723886,238.80886305080915,100.59629092067023,340.2394239044785
1870,286.6391560822201,238.6033460645855,100.54319776923636,340.24137011211263
1871,286.9118940272277,238.9334439759642,100.37985535910504,340.2650340613989
1872,286.90853227528874,238.94445014418156,100.98707557340991,340.2824226712211
1873,286.9739801883422,238.87358276862903,101.21885041985792,340.2357995633963
1874,286.78585274719086,239.06216400764126,100.73680999131095,340.2177720676589
1875,286.82582908202244,238.90374821858015,100.91562296233235,340.18476779739507
1876,286.84149619292236,238.95719606430657,101.24868014807875,340.2073889553935
1877,286.8256490159104,238.98872989412698,100.61769738193591,340.1610386226345
1878,286.73051248506886,238.84428007271148,100.88019228435722,340.15018208851154
1879,286.8707444085768,238.84643654705437,100.92170558818891,340.15618370794067
1880,286.86109989619246,239.01798040924663,101.40602991072751,340.21403148137557
1881,286.5564039072943,238.70189069430023,101.13162098090119,340.2226444667873
1882,286.6087780574831,238.5917420673508,101.02123652480931,340.20943581591706
1883,286.57637153866875,238.00150080657303,102.87972002918242,340.20506725680485
1884,286.45675392679516,237.0749415349156,104.2611639048096,340.28668997341657
1885,286.6028229866003,238.42847114149694,101.87464566966192,340.22242663030204
1886,286.484861793507,238.36559729375412,101.41581135703477,340.19231545844985
1887,286.3169880112724,238.14539278299029,101.36344277748866,340.1739216566505
1888,286.4338975126335,238.31395382730747,101.26374940207002,340.1934151577479
1889,286.4802599871146,238.6144841570905,100.70929397082158,340.15996996242114
1890,286.5720252142746,238.33471166949536,101.06768957974867,340.16402465553864
1891,286.55177704733165,238.11905095500106,101.53553219139722,340.21495408234614
1892,286.7612610563653,238.4475590659313,101.38406380886352,340.2920783142383
1893,286.8329796673113,239.1180844441474,100.92874967521068,340.29193054300714
1894,286.59332674471545,238.84776337858352,100.36523717011109,340.32724133822853
1895,286.53601491345245,238.58681404386417,100.39858337901381,340.295298453672
1896,286.6415414944609,238.64921748579602,101.16130000001455,340.2731326200211
1897,286.6960705953176,238.64905655218502,101.34550493323763,340.21310193235706
1898,286.64422435746354,238.5234537914215,101.43034368337992,340.1943565669502
1899,286.6551799737546,238.64707556266782,100.70468752154655,340.1757350884805
1900,286.68745575441864,238.56808915133868,100.81996076719243,340.1674246704205
1901,286.713483517045,238.28995386605206,100.89483029030879,340.14638975745765
1902,286.918625136673,238.53590952202114,101.67569481969872,340.1504507350907
1903,286.52830128365775,238.0711826142319,102.40906547702821,340.1907053603795
1904,286.4950526997748,238.11489270194474,101.33502659773784,340.28631868981813
1905,286.6916001733402,238.49768370413423,101.0412989827799,340.2261957049613
1906,286.8260232454476,238.81209716746537,101.06735188282015,340.2721005577883
1907,286.8471942850481,238.77776991886324,101.30515188004091,340.2443458191585
1908,286.7677633090427,238.74222961632267,101.4003906536176,340.29609703347995
1909,286.5658517546835,238.45097560999542,101.09631349668126,340.2311544780625
1910,286.57078108292006,238.63538167391187,100.68132532731437,340.2059481923821
1911,286.62059668179097,238.45105614727663,100.81052266234093,340.17279909671186
1912,286.69335278770143,237.9705459129251,101.83509678735969,340.1879181107252
1913,286.94648490554084,238.24392875245974,102.10380176948108,340.15913479448903
