year,tas,rlut,rsut,rsdt
1850,286.8920030236853,239.14728569041668,101.28818099510947,340.25231386053224
1851,286.67035083622574,238.93869781073124,101.06942946973743,340.2428112838316
1852,286.52615775684063,238.4940763064196,101.12931638500872,340.27591279317534
1853,286.7488309217899,239.05341935629755,100.87711669974856,340.2196765809169
1854,286.6228612465077,238.6983315695604,101.38537597782185,340.19265969096756
1855,286.7231421903175,238.69908826472968,101.23617524490656,340.17854700106744
1856,286.8380139556424,238.7401539692148,101.28801270506136,340.2049444985394
1857,286.8365450840192,239.04114616853562,101.3793664452548,340.1888193055777
1858,286.57477571040465,238.8405602026635,100.87299083611403,340.2171137840015
1859,286.5485209383285,238.6021757348857,100.97235807082849,340.24510227187915
1860,286.5043774777439,238.75217595350065,100.96407624951263,340.30189576634206
1861,286.47623648372274,238.54306998593776,101.44327986375593,340.2626622640209
1862,286.5618042081826,238.19364903019428,101.7856409294025,340.2398268299076
1863,286.7772094957044,238.56887735426824,101.22868785615405,340.22767499795003
1864,286.69286249036935,238.8870760492848,101.46149847283982,340.24144690844787
1865,286.5452254920212,238.78683516726372,101.16036122157999,340.2003485152609
1866,286.55666163397166,238.59769356877942,100.85423431675146,340.1914405774218
1867,286.5806657018791,238.68084150193894,101.21222277282838,340.183098257058
1868,286.6315522762906,238.73298030206786,101.0850579648283,340.2402002055499
1869,286.521203929474,238.47244353516052,101.10285502217194,340.2394239044785
1870,286.5752908884145,238.70100732843557,101.0872843758912,340.24137011211263
1871,286.7464719265453,238.75128926883363,100.8429345780586,340.2650340613989
1872,286.64653253085004,238.78046610504006,101.41953370961009,340.2824226712211
1873,286.41825175535,238.47268709743867,101.06657692337235,340.2357995633963
1874,286.59575554415306,238.44241950103728,100.62347757705919,340.2177720676589
1875,286.7443054559507,238.60552717451068,101.16742349692872,340.18476779739507
1876,286.73901076154067,238.8372552720194,101.03833354600528,340.2073889553935
1877,286.69357141290163,238.67187585584648,100.81895081258482,340.1610386226345
1878,286.7185045716318,238.73599811334375,100.82868725858725,340.15018208851154
1879,286.6834871186228,238.8025918462146,100.83368759562889,340.15618370794067
1880,286.66708672860716,238.69598968684716,100.9373082008608,340.21403148137557
1881,286.62258786445466,238.7198122573209,101.17215002385889,340.2226444667873
1882,286.66370955657186,238.73553175837137,100.7215613165212,340.20943581591706
1883,286.6406613606528,238.00786861732675,102.35655894736034,340.20506725680485
1884,286.456890001994,237.47550048337266,104.1642678260418,340.28668997341657
1885,286.44247069993116,238.00794646486938,102.52450396138515,340.22242663030204
1886,286.41297113332075,238.2551942544775,101.66912621759512,340.19231545844985
1887,286.3000844617105,238.15436475878678,101.35953433776643,340.1739216566505
1888,286.36332314333526,237.91473551577124,100.9906469684313,340.1934151577479
1889,286.5366332276063,238.62650088614126,100.86714333709453,340.15996996242114
1890,286.6666192423706,238.38680742713794,100.90556966242008,340.16402465553864
1891,286.65812628421764,238.28688896610845,101.52303342340531,340.21495408234614
1892,286.7027755377017,238.4115695894553,101.49370686844152,340.2920783142383
1893,286.6984727520421,238.8769682851072,101.25856012031363,340.29193054300714
1894,286.6287726667736,238.37224679152408,101.0853299023759,340.32724133822853
1895,286.7913833842044,238.70288466704451,101.2691453996995,340.295298453672
1896,286.8125050384903,238.90567665719345,101.18471031595834,340.2731326200211
1897,286.84952051042563,238.71797216501372,101.37075846227096,340.21310193235706
1898,286.75617797969505,238.60601952665104,101.26188083477719,340.1943565669502
1899,286.664243932409,238.70144143673255,100.86637316025138,340.1757350884805
1900,286.74465269969187,238.76908170433754,101.09450373250367,340.1674246704205
1901,286.7219556770604,238.65881511764056,101.21600802682916,340.14638975745765
1902,286.5735352615597,238.402552803693,101.42411432285651,340.1504507350907
1903,286.37205970042857,237.89045701414088,101.9240122426366,340.1907053603795
1904,286.46231156698633,238.00928944231418,101.48329815684552,340.28631868981813
1905,286.7493462200419,238.6398540540355,101.03157633188518,340.2261957049613
1906,286.6711212719397,238.6193575561218,100.73981308770453,340.2721005577883
1907,286.725832770018,238.5300234980673,100.8196665044785,340.2443458191585
1908,286.8557434204127,238.40521460639482,101.37906817311527,340.29609703347995
1909,287.0901310917106,239.02256253671592,101.0703850606933,340.2311544780625
1910,286.70128568649585,238.861758494613,101.21932775283592,340.2059481923821
1911,286.67871061152437,238.61862192859917,100.61563852940458,340.17279909671186
1912,286.7450500751639,238.25379521167346,101.46359487896581,340.1879181107252
1913,286.68708983116136,238.421449433833,101.55415123590866,340.15913479448903
1914,286.6786361300641,238.45742053534192,100.79485458381076,340.1837700708032
1915,286.85762570759294,238.66376961607227,100.70764340569288,340.2629561600722
1916,286.99693798835665,238.6508871622583,101.44060892079813,340.360989799569
1917,286.9692305546801,238.91670250921734,101.89426152252535,340.3675738518172
1918,286.5875774150651,238.58513214025058,101.01551638330248,340.3746165787043
1919,286.7206994507458,238.4187601489242,101.00973192964817,340.3115379817903
1920,286.7150128650924,238.46472239858034,101.33656394812483,340.28541854630953
1921,286.7469702183468,238.71919364432605,100.87714894755074,340.2168335027333
1922,286.6975964758772,238.31304960433405,101.44565811863856,340.17893090051746
1923,286.77786297947927,238.41210078364136,101.31708430260447,340.1706230446771
1924,286.7372789767816,238.47878825713335,101.06372314078003,340.21838747886017
1925,286.6929216198458,238.56581783165007,100.7776122685388,340.2258437892505
1926,286.8512977061646,238.58411077933974,101.29167621231453,340.27956313014835
1927,286.8500065734674,238.51723300170116,101.16628788724783,340.33083572342923
1928,286.8446532143539,238.70667085111165,101.13551157125467,340.33382578229265
1929,286.8186119444485,238.49708185355152,101.09792312328163,340.28632950574956
1930,286.71971104734075,238.62240903658065,101.01678457823182,340.28106682411345
1931,286.8380662411449,238.3159680717816,101.22435665510669,340.2401521929724
1932,286.85741951734775,238.51304730986783,101.24091540688319,340.24259685899796
1933,286.8449589298262,238.69203151053844,100.49648342584665,340.19459569972025
1934,286.9749758018176,238.71356636149366,101.15555233158706,340.20985783934924
1935,287.04493158095255,238.5346775872362,101.51323760738084,340.26333672761365
1936,286.9392082989952,238.89731619196075,100.9291532313398,340.4040716532672
1937,286.8273388827127,238.62707733152217,100.9358966488292,340.3795315418138
1938,286.8587110288561,238.64848722136685,100.68944042808953,340.3599507698946
1939,286.90468104925515,238.94483946542354,100.52184467718882,340.35301696261797
1940,286.94481027810207,238.93294742219214,100.86992795259124,340.3537127854668
1941,286.89491948995914,238.64653896095297,101.04449856677796,340.2852602430074
1942,287.0586150375595,238.94109655137382,101.0233830584919,340.2493241154633
1943,286.92718643561216,238.80548296187135,100.92677120633647,340.2158113204299
1944,286.833139164683,238.60597976989027,101.23268289810575,340.25701059094484
1945,286.89941264533235,238.55504557338543,101.32437623843627,340.29474062972565
1946,286.94283804967245,238.25053773828552,101.46821698278681,340.3260627812421
1947,287.05473027514483,238.59927631748235,101.35653199492562,340.4138354569939
1948,286.8707886509066,238.57723989816904,101.6524917269166,340.4778866663574
1949,286.89606213698005,238.75159188322849,100.98075677398242,340.4096577784882
1950,286.99811635487936,238.756760770898,101.21966791073658,340.34810597011887
1951,286.8099636486675,238.28366996712603,101.213918888718,340.2668765398998
1952,286.93048023074516,238.2852362706244,101.2636530545073,340.2918593418254
1953,286.99381304603776,238.51674843790497,101.59004297781475,340.2362367674926
1954,286.8443978329387,238.6515159310957,101.37455703997345,340.2329472005338
1955,286.8138223902778,238.20550513382182,101.01158652709746,340.2879256662987
1956,286.94902782912817,238.287815657583,101.48079522429622,340.44107122643646
1957,287.06640630281527,238.64698360397378,101.17007684647285,340.51387459679114
1958,287.01768042782004,238.6567584696271,101.2648305509544,340.52697546222026
1959,286.9386736267234,238.6446289665005,101.13185944624068,340.4689595356065
1960,286.805879162601,238.38415505105084,101.40122005633623,340.45431135063177
1961,286.8428147991506,238.281422679918,100.91956430267375,340.32973678809554
1962,286.9618286229821,238.36935266600423,101.3263987721359,340.2634067822848
1963,286.89415096866173,237.72389345491186,103.21982962788927,340.24328358104316
1964,286.79704846746205,237.71807193487962,102.45309140045241,340.267478022887
1965,286.7500223895085,237.95762919579215,101.32611492636646,340.2370081606225
1966,286.86385084145815,237.97734024894268,101.0917776095295,340.28682898684536
1967,286.96585348545386,237.75664226600296,101.78146268425648,340.3538322506776
1968,287.01242416243616,238.28626207057115,102.0101216804772,340.41584049769864
1969,286.83823413695615,238.08864854829062,101.15533638629687,340.38980372985003
1970,286.9109947004825,238.11150496868152,100.9394405196896,340.3907542553863
1971,286.9913220473504,238.0849000424189,101.72169246771931,340.3362766784001
1972,286.91887305636556,237.91504630780358,101.3696044451434,340.36554215157486
1973,287.072696559601,237.84845503731344,101.5892351323995,340.2729932134301
1974,287.0430645723716,237.7998850622679,101.48270405068597,340.2486947428044
1975,287.03204221785387,238.00733375756872,101.40639099044188,340.25361347089574
1976,287.04776295260734,237.84657743408036,101.59083890130609,340.2728093645897
1977,287.30312107046035,238.34896972225593,101.33493995106556,340.30156846403446
1978,287.1541085721375,238.11958378202192,101.47552569447289,340.38844320537584
1979,287.2142215975161,238.1605411281079,101.35284306013382,340.4628929480488
1980,287.0733150367683,238.14422809463397,101.4010965946137,340.48566848815295
1981,287.17607346098913,237.98521359849966,101.25020409072529,340.45420396961026
1982,287.2481523909658,237.7898682241533,101.9100462440055,340.36990313022363
1983,287.22127129838833,237.5948406622067,102.82139930534811,340.3670568245368
1984,287.23568718116235,237.6329651915241,101.93307015260739,340.29709493986616
1985,287.24105715055174,237.95990648133446,102.12426893488787,340.2344307917011
1986,286.9543020087063,237.56042935009577,101.63336765247622,340.2365472190574
1987,287.1421267773098,237.7557269045146,101.09868994920826,340.26001685772627
1988,287.24027916161634,237.73036933656635,101.17628661377113,340.38255040062114
1989,287.3377579832791,238.07165551379163,101.11359291493721,340.4652451792228
1990,287.3768452195325,237.89448202991795,101.03986564464385,340.44396592275683
1991,287.27209828070824,237.64208814119718,102.22805301181812,340.4475167060928
1992,287.2560025763643,236.60253461998028,104.05996696269015,340.43258781361806
1993,287.37313122692933,237.1509541618797,103.07791914352572,340.3074815419626
1994,287.25321241659077,237.67316454803085,101.3912177415217,340.2494841858003
1995,287.200150605074,237.74149203501875,100.80249323303242,340.2354318188607
1996,287.43703434195356,237.69557579029677,100.96311910781672,340.24581129278977
1997,287.6662785142791,237.91846297847158,101.51220146626798,340.24271766629295
1998,287.5796501276688,237.9839805380616,101.83742009500567,340.33650447287374
1999,287.3144694354724,237.51789418649457,101.40810620978387,340.40876376534374
2000,287.4967333164513,237.83352849511405,100.96881393353992,340.48476709035043
2001,287.51985749527586,238.053327587896,101.08561215026246,340.4360877904803
2002,287.4751636155055,237.85618118640625,100.978400548536,340.4436239836917
2003,287.534272136455,237.81340653640802,101.05028976805023,340.32382436138363
2004,287.73219198265843,237.89740777849124,101.5685789914931,340.3070628916957
2005,287.64965778837274,237.94074277369745,101.23709402624455,340.22023775839335
2006,287.47329008309094,237.99948913043679,101.18026732871324,340.2066136228215
2007,287.4808427376625,237.6651054059208,101.16343588721993,340.18799391327536
2008,287.53748325756646,237.80982386655987,101.32748478931462,340.2094537791517
2009,287.6072580935425,237.6976222945068,101.14380933126465,340.1808266340178
2010,287.5749167534182,237.83251558596385,101.4518599475852,340.2243962656882
2011,287.58679269043586,237.58163747858148,101.46794143513507,340.2901638316175
2012,287.6988115486136,237.81719496271228,101.56115349247666,340.3542741646294
2013,287.5821141692923,237.63734823569303,101.1322955696487,340.3321090164324
2014,287.6900369049,237.88913533084815,100.58380153625946,340.353089282637
