,nonCO2_erf
1850,0.05414660263881489
1851,-0.7483944520871703
1852,-0.9771512902546065
1853,-0.1602028015700078
1854,-0.3781965755675799
1855,-0.5027144610532972
1856,-0.4031618732936925
1857,-0.3590524567913439
1858,-0.375216305606528
1859,-0.4528144254755717
1860,-0.5537819364367603
1861,-1.3356240273847133
1862,-1.3782530837847355
1863,-1.1833857720405492
1864,-0.30883023176427093
1865,-0.2826422439342541
1866,-0.45721663281227354
1867,-0.40024864400623217
1868,-0.07950780520638677
1869,0.30301489264523723
1870,-0.07393717659235725
1871,0.016044813648241285
1872,-0.27586394992717383
1873,-0.682203330229401
1874,0.4407686709940175
1875,0.042074671117846074
1876,-0.2645086047952676
1877,-0.5457558870587167
1878,-0.3783308838909401
1879,0.3798949069348099
1880,-0.659010474699278
1881,-0.3001399928675976
1882,-0.17696894992357265
1883,-1.2597689424962057
1884,-2.3864311657385806
1885,-1.7656205261955926
1886,-0.945880248631775
1887,-0.23326282472192447
1888,-0.11751895343399549
1889,0.18798158306406215
1890,-0.28016991417681486
1891,-1.0084972778353865
1892,-0.6694732090063769
1893,-0.11735218038615931
1894,-0.4321021649556782
1895,0.02776882805324804
1896,0.03635929246494493
1897,0.5867635390151242
1898,-0.3400856507062203
1899,-0.07911616259916038
1900,-0.864917379058415
1901,-0.4249809604264236
1902,-0.2314316059958786
1903,-1.0737983958737307
1904,-0.9125775585283145
1905,0.13052663388881747
1906,-0.5950770095280928
1907,-0.5756068266641838
1908,-0.5182597567009916
1909,-0.4949742792487299
1910,-0.24207264235916806
1911,0.151942593989847
1912,-0.1459724713778145
1913,-0.8378057146403046
1914,-0.5960349924309388
1915,-0.4510849934940617
1916,-0.2736334653845167
1917,-0.0378312391972469
1918,-0.053318556284398244
1919,-0.053736499616680145
1920,-0.34952936858182987
1921,0.06384653562437592
1922,-0.09933373982304428
1923,-0.12961238989980672
1924,-0.3760263968552712
1925,-0.5107284919837499
1926,0.2785574126249289
1927,0.014625162550174764
1928,-0.280011171508059
1929,-0.22846836119782107
1930,-0.2841378171046222
1931,-1.0660975048693864
1932,0.3381375221043419
1933,0.3673109307820298
1934,0.12788425811940735
1935,-0.5505677015425531
1936,-0.8844278908320629
1937,-0.12210992102488372
1938,0.023100640150016893
1939,-0.22145943572444138
1940,-0.4820448772539273
1941,-0.6395508376557352
1942,-0.33805160534040013
1943,0.2825030446834933
1944,-0.020868772174066463
1945,-0.5377231496432037
1946,-0.1096953724664389
1947,0.6912496427713919
1948,0.359291938242004
1949,0.1726383665569814
1950,0.13787969196873995
1951,0.24355271755166885
1952,-0.5450324101548253
1953,-0.590164858340313
1954,0.00522968048009953
1955,0.45644749279803887
1956,0.4224631724168285
1957,-0.14167900039149717
1958,-0.18970059328998412
1959,-0.2935945262007409
1960,-0.006776418317096855
1961,-0.3217593873218857
1962,0.24824629728436998
1963,-1.8820215887037088
1964,-0.7796094250003117
1965,-0.6751690822591789
1966,-0.9722651320493103
1967,-1.5361725525733887
1968,-0.41739443534436715
1969,-0.20800164020313194
1970,-0.7722531146121276
1971,-0.8976527631425513
1972,0.07062985751418416
1973,0.19027562183446944
1974,0.007407372212736574
1975,-0.6947676372705268
1976,0.14707035080484965
1977,0.21802903869386925
1978,-0.17274716732206175
1979,-0.001459424919904695
1980,0.17886348625325454
1981,-0.02733794983149429
1982,0.15721905289622917
1983,-0.6454348477492395
1984,-0.17727166532324135
1985,0.22878456785359136
1986,-0.03412599190753407
1987,0.07568036464836014
1988,0.26538378489397796
1989,0.8878005501267234
1990,0.37996300242126435
1991,-1.5355841985306238
1992,-1.946377756703252
1993,-0.3700859411048474
1994,0.33956042807392417
1995,-0.4851227752814571
1996,0.020744823862267836
1997,-0.02159072640077553
1998,-0.15662702128902106
1999,0.4503277404938857
2000,0.8315126474794334
2001,0.6247549384866211
2002,0.39541821438440117
2003,-0.06280984591209249
2004,0.21776370806445655
2005,0.27102936649162945
2006,0.633097495930043
2007,0.6749675049784636
2008,0.5645358608730247
2009,0.16558681711000167
2010,0.5926792526129105
2011,0.8717970018486141
2012,0.5429333935516394
2013,0.03905563520497335
2014,0.13635959167123746
2015,0.28266521209174744
2016,0.5041202079052747
2017,-0.02685393457115337
2018,0.22601695851014458
2019,-0.14081341659991775
2020,0.24580791083507192
2021,1.3032533779120574
2022,0.7482331179279402
2023,0.5103403423397039
2024,0.6876139606546388
2025,0.9136440400257508
2026,-0.08461674453821555
2027,-0.37714854571383816
