model,a1,b1,d1
CAMS-CSM1-0,1.3368037414297402e-06,-0.0014310650346160546,6.609236226531389
GISS-E2-2-G,-2.3126206866172723e-06,0.002653820017536917,4.625643916049124
NorESM2-LM,1.9294004700893297e-06,-0.0009558259733735332,6.374614955494881
ACCESS-ESM1-5,1.7971674859199867e-07,-0.00010625518537622281,5.39569248386716
HadGEM3-GC31-LL,-4.4553017602363015e-07,0.001071914542541061,5.338850626195458
GISS-E2-2-H,1.1566074428606987e-06,-0.001988917135476675,6.339982679350975
CESM2,2.097508261362186e-06,-0.0011203362217459404,6.103770134194211
NorCPM1,-3.6694274929290764e-07,0.0008548747198370754,4.976799771732676
INM-CM4-8,-1.8061567128578373e-06,0.0015388866848613984,5.00214134594478
CNRM-CM6-1-HR,3.414861620879205e-07,-0.00019894110379877156,5.529627928263681
IPSL-CM5A2-INCA,1.6192855020416083e-07,0.00022182791224139813,5.126100213398437
CMCC-ESM2,-4.511560327261134e-07,0.0010356732385013614,5.341914466316798
CESM2-WACCM,1.119576302171677e-06,-9.034919971293693e-05,5.945123063648839
EC-Earth3-Veg,-1.8524651827415938e-06,0.0020405178731961677,5.788676544800157
MPI-ESM1-2-HR,-3.821089550042302e-07,0.0007418781077360859,5.893290891112132
MPI-ESM1-2-LR,-5.733391714176213e-07,0.0014958912534125187,6.403972656891175
GISS-E2-1-G,1.979197534182868e-06,-0.003943150904430142,6.302540782458926
CNRM-CM6-1,-2.6999704168663055e-07,0.0011132361351623781,5.294222519099618
GISS-E2-1-H,-2.0153771482720084e-06,0.0025070920034980276,5.222597836992142
EC-Earth3-AerChem,-7.604727845186136e-07,0.0012876252481703507,5.611269820504806
CMCC-CM2-SR5,-4.726344005375936e-07,0.001068915613737923,4.630556854608604
MRI-ESM2-0,-5.03216570218551e-07,0.0012620192543363205,5.165679932903658
SAM0-UNICON,2.133435439998683e-06,-0.0017092531039193688,6.331853942892343
EC-Earth3,-5.228492581127202e-07,0.0011257590322854712,5.279151437431484
IPSL-CM6A-LR,4.28877931071472e-08,0.0007587928695366276,6.193754675011385
CESM2-FV2,3.3670377863178057e-06,-0.0020540516278075723,7.039148777492365
BCC-CSM2-MR,5.58305485324554e-07,-0.00014280038749726778,5.318954998867597
ACCESS-CM2,-1.6555874481278177e-07,0.0006534290648447374,6.057858701360712
MIROC6,-2.2291277240079235e-07,0.001395451142188663,4.63743773674607
EC-Earth3-CC,-7.913833311086403e-07,0.0017070926057470399,5.852590170181475
CESM2-WACCM-FV2,1.453528942536636e-06,-0.0008501369147077426,4.393394088135307
BCC-ESM1,-1.0752526871529287e-06,0.0017167634226299727,4.374492055048589
MPI-ESM-1-2-HAM,-7.114432770110074e-07,0.0017322140543108082,5.902759936355695
GFDL-ESM4,-1.5954769589180173e-07,0.0006064166379752803,5.45892722510117
UKESM1-0-LL,6.933252728474967e-08,-0.00025551278517334946,6.278490376411032
E3SM-1-0,5.835806865385391e-07,-0.000404109579575162,6.727146439896174
KIOST-ESM,6.809990762473854e-06,-0.010602231275173606,9.379258422004915
IITM-ESM,9.938393272971266e-07,-0.0029166769309460017,8.743394612342291
GFDL-CM4,-1.5901963275744253e-06,0.0022046990738817957,5.67089163392101
CanESM5,4.135570086864865e-07,0.0005764828939081735,4.646714126243329
AWI-CM-1-1-MR,-1.2194048321168722e-06,0.0024748048777210973,5.120283388613447
ICON-ESM-LR,6.251417145219799e-07,9.961687661475319e-05,6.359338561056428
INM-CM5-0,-4.057772099003104e-07,0.0013271508665446113,4.10595984516995
FGOALS-f3-L,-1.0014924312781292e-06,0.0012744214036458743,6.394012776121142
FGOALS-g3,-2.128716037295923e-06,0.0030599589757852536,4.233169002060277
CNRM-ESM2-1,-8.380184045127766e-07,0.0015661656283462808,3.4894688546435146
TaiESM1,-4.532412875053619e-07,8.964605156288512e-05,6.869572574586076
NorESM2-MM,7.671571047177699e-07,0.00013524807309926723,5.982215227655512
HadGEM3-GC31-MM,-1.0119186083219165e-06,0.0017744816860730984,5.5929637579650615
NESM3,3.0582644364873694e-06,-0.004126662216408967,9.308751608272994
MIROC-ES2L,-5.976514109527492e-07,0.001613620745978112,5.2317831845001965
