model,d1
ACCESS-CM2,6.3891616087541045
ACCESS-ESM1-5,5.408153769844373
AWI-CM-1-1-MR,6.122973444118588
BCC-CSM2-MR,5.478029064045545
BCC-ESM1,4.968087158188301
CAMS-CSM1-0,6.306604731979748
CanESM5,5.190424513865065
CESM2,6.323119971198182
CESM2-FV2,7.233535421551669
CESM2-WACCM,6.3754329716808344
CESM2-WACCM-FV2,4.499882785497465
CMCC-CM2-SR5,5.121565262946145
CMCC-ESM2,5.82182605674052
CNRM-CM6-1,5.863894642425168
CNRM-CM6-1-HR,5.555131293226031
CNRM-ESM2-1,4.0920048172096095
E3SM-1-0,6.731160477277682
EC-Earth3,5.770947622395786
EC-Earth3-AerChem,6.0756065701299695
EC-Earth3-CC,6.614236159253402
EC-Earth3-Veg,6.238830096555343
FGOALS-f3-L,6.745565272826848
FGOALS-g3,5.197057806972878
GFDL-CM4,6.340862458073863
GFDL-ESM4,5.763832158597597
GISS-E2-1-G,4.7210742032417965
GISS-E2-1-H,5.891567199298728
GISS-E2-2-G,5.254054316106626
GISS-E2-2-H,5.612673444374289
HadGEM3-GC31-LL,5.806819831558924
HadGEM3-GC31-MM,6.248537314625518
ICON-ESM-LR,6.867252882248415
IITM-ESM,7.472188421342665
INM-CM4-8,5.167534289792981
INM-CM5-0,4.748673645307919
IPSL-CM5A2-INCA,5.333272910966176
IPSL-CM6A-LR,6.680565027106812
KIOST-ESM,5.788763600953059
MIROC-ES2L,5.967953799839802
MIROC6,5.401683698436432
MPI-ESM-1-2-HAM,6.6627030279601085
MPI-ESM1-2-HR,6.2007876793787915
MPI-ESM1-2-LR,7.145333065437642
MRI-ESM2-0,5.729732871514432
NESM3,8.090242641461804
NorCPM1,5.37447337791525
NorESM2-LM,6.622488036264873
NorESM2-MM,6.398722665247465
SAM0-UNICON,6.203427463788098
TaiESM1,6.728114095751404
UKESM1-0-LL,6.150934000184076
