,co2
2015,403.27445832175096
2016,405.6834434383234
2017,408.19760307557834
2018,411.00899963175544
2019,413.4064599288818
2020,416.069701031733
2021,419.07270674489195
2022,421.7354513013775
2023,424.18429353334744
2024,427.0767514959904
2025,430.2260565810292
2026,433.6453837306414
2027,436.9863805259719
2028,440.1343006023375
2029,443.51111317474687
2030,447.54752320228744
2031,452.0933369668254
2032,456.3806531088495
2033,460.88809911404684
2034,466.00407622904186
2035,471.2586944104655
2036,476.045570349777
2037,481.2414690694816
2038,486.93784039021403
2039,491.9058723505434
2040,496.75166889861015
2041,501.4606080034747
2042,506.12108086205416
2043,510.6233694081832
2044,514.6310001253927
2045,518.4616048457441
2046,522.0437655215259
2047,524.9569897456829
2048,527.7543725237076
2049,530.6058854598485
2050,533.1153035180238
2051,536.4750912392697
2052,539.5077783109834
2053,541.6840746114171
2054,543.7016301429186
2055,545.1758579991663
2056,546.5868397362605
2057,546.9617387522142
2058,547.0278702746546
2059,547.1048638313958
2060,547.4495419203611
2061,546.8088586078571
2062,546.1163116265661
2063,545.4522603496071
2064,544.660128036926
2065,543.1373494941505
2066,541.549598288712
2067,539.8312753906058
2068,538.1693533855442
2069,536.5427524981288
2070,534.4772651940569
2071,532.650342520508
2072,529.395315326889
2073,526.54136598312
2074,523.5905280179682
2075,520.4316867519583
2076,517.554233301533
2077,514.4578824380911
2078,511.41828551282015
2079,509.1500978494773
2080,505.7334457101453
2081,501.91633982398577
2082,498.9163975462232
2083,495.79955987601454
2084,493.149219355312
2085,490.47732109913346
2086,486.8417888122199
2087,483.4541069408183
2088,480.888530177423
2089,478.2809196273019
2090,475.65171030091636
2091,472.97659737167777
2092,470.24477163940315
2093,467.1855604250909
2094,464.1031789968807
2095,461.63160139467584
2096,458.96207831515596
2097,456.2543849438126
2098,453.81912428803787
2099,451.3013031520363
2100,448.29019825157815
