,co2
2015,402.97777191547243
2016,405.65635293284583
2017,408.048038555186
2018,410.91500547093693
2019,413.69454956368253
2020,416.3728732977691
2021,419.02575466782986
2022,421.36971570282077
2023,424.17878321784616
2024,427.30568852364814
2025,430.29552589889465
2026,433.36617673763726
2027,436.76417852754724
2028,440.2405758652672
2029,443.86032735581034
2030,447.3718848558086
2031,451.6359932339723
2032,456.63964907031516
2033,462.10238225901844
2034,467.59296431149073
2035,472.42690035476676
2036,476.96747240868706
2037,482.2259275736075
2038,487.72361383371486
2039,492.53513896485066
2040,497.7595403705384
2041,502.7975402707248
2042,507.43328808278136
2043,511.7637731903023
2044,515.4796936260594
2045,518.9406549100308
2046,522.6854930626398
2047,526.3498245670256
2048,529.2208230090447
2049,531.7897578523925
2050,534.6489014504192
2051,537.5029062700124
2052,540.941738172217
2053,542.8549224503278
2054,544.1206821598228
2055,545.3406134607368
2056,546.7477136827204
2057,547.7868487063538
2058,548.2383624772899
2059,548.4917829297257
2060,548.2693345922246
2061,547.344168233922
2062,546.5259619064612
2063,545.9497714096095
2064,544.7640119899215
2065,543.2066511580367
2066,541.8585315492717
2067,540.792472730673
2068,539.232683416278
2069,537.460432733598
2070,535.5960069876629
2071,533.2170583503978
2072,530.2115252794501
2073,526.9909585734283
2074,524.3736745679752
2075,521.3002370125309
2076,517.9037132570809
2077,514.7405560096838
2078,511.86344890577345
2079,509.3057142350839
2080,506.24127583953646
2081,503.0928999745537
2082,499.99181828754905
2083,496.99515880112057
2084,493.3693808246094
2085,489.82973425429714
2086,486.9289324635179
2087,484.50809137079347
2088,481.98671317777587
2089,479.27579437785545
2090,476.4132760948674
2091,473.3570382149105
2092,470.7546675828208
2093,467.74451114913313
2094,464.81261742318634
2095,463.0430917545056
2096,460.22834372264066
2097,457.10986979865686
2098,454.43687815926893
2099,452.21105015594594
2100,449.72836333124366
